frequency,location,lat,lon,mode,alphatag
422.675,LUDDENHAM 2745,-33.883472,150.708111,10K1F9W,
426.125,LUDDENHAM 2745,-33.883472,150.708111,10K1F9W,
415.4875,LUDDENHAM 2745,-33.883472,150.708111,10K1F9W,
412.875,HAMILTON ISLAND,-20.356653,148.948841,10K1F9W,
412.8875,ROCKHAMPTON,-23.376618,150.477408,10K1F9W,
412.9,MARCOOLA,-26.607150,153.092389,10K1F9W,
412.8875,PROSERPINE 4800,-20.493328,148.556622,10K1F9W,
418.925,ADELAIDE,-34.942609,138.531755,10K1F9W,
419.175,ADELAIDE,-34.942609,138.531755,10K1F9W,
423.4125,MELBOURNE AIRPORT,-37.666976,144.833082,10K1F9W,
412.8875,BRISBANE AIRPORT,-27.393558,153.128623,10K1F9W,
412.9,EAGLE FARM,-27.420318,153.101112,10K1F9W,
412.95,CANBERRA AIRPORT,-35.301655,149.197383,10K1F9W,
417.7375,MASCOT,-33.934259,151.179108,10K1F9W,
415.2125,LAUNCESTON,-41.546059,147.209054,10K1F9W,
426.325,HOBART AIRPORT,-42.838790,147.507606,10K1F9W,
415.5,NATIONWIDE,-27.84,133.21,10K1F9W,
426.325,ALICE SPRINGS,-23.801552,133.899769,10K1F9W,
415.5,NATIONWIDE,-27.84,133.21,10K1F9W,
426.1875,PERTH,-31.928315,115.972078,10K1F9W,
426.1875,NEWMAN,-23.418368,119.800695,10K1F9W,
124.5,SOUTH MACKAY,-21.170404,149.176938,6K00A3E,
131.0,SOUTH MACKAY,-21.170404,149.176938,6K00A3E,
413.3875,PERTH,-31.929566,115.953635,10K1F9W,
413.0875,LUDDENHAM 2745,-33.883472,150.708111,10K1F9W,
131.0,PORT HEDLAND,-20.382089,118.626205,6K00A3E,
131.0,MARCOOLA,-26.607150,153.092389,6K00A3E,
124.9,CAIRNS AIRPORT,-16.886728,145.750858,6K00A3E,
126.0,BROOME,-17.946292,122.227493,6K00A3E,
419.675,ADELAIDE AIRPORT,-34.947327,138.529879,10K1F9W,
415.5625,AVALON AIRPORT,-38.040097,144.470941,10K1F9W,
426.325,BRISBANE AIRPORT,-27.393558,153.128623,10K1F9W,
426.325,GLADSTONE,-23.868397,151.225889,10K1F9W,
426.325,MARCOOLA,-26.607150,153.092389,10K1F9W,
412.65,EAGLE FARM,-27.420318,153.101112,10K1F9W,
412.8875,COOLANGATTA,-28.163539,153.508425,10K1F9W,
412.9375,CANBERRA AIRPORT,-35.311251,149.197642,10K1F9W,
412.85,BALLINA,-28.835351,153.560454,10K1F9W,
412.85,COFFS HARBOUR,-30.321677,153.117575,10K1F9W,
412.6375,MARRARA,-12.409820,130.873977,10K1F9W,
412.8875,ALICE SPRINGS,-23.801552,133.899769,10K1F9W,
131.0,BROOME,-17.946292,122.227493,6K00A3E,
122.0,NEWMAN,-23.418368,119.800695,6K00A3E,
131.0,KARRATHA,-20.708375,116.773968,6K00A3E,
131.0,MELBOURNE AIRPORT,-37.666976,144.833082,6K00A3E,
121.7,PERTH,-31.928315,115.972078,6K00A3E,
118.3,TOWNSVILLE,-19.250327,146.764641,6K00A3E,
424.4,TULLAMARINE,-37.671459,144.832953,10K1F9W,
131.0,PROSERPINE 4800,-20.493328,148.556622,6K00A3E,
124.2,BALLINA,-28.835351,153.560454,6K00A3E,
131.0,COFFS HARBOUR,-30.321677,153.117575,6K00A3E,
118.1,HOBART AIRPORT,-42.838790,147.507606,6K00A3E,
131.0,HOBART AIRPORT,-42.838790,147.507606,6K00A3E,
127.35,KARRATHA,-20.708375,116.773968,6K00A3E,
415.2375,MELBOURNE AIRPORT,-37.666976,144.833082,10K1F9W,
415.5625,MELBOURNE AIRPORT,-37.666976,144.833082,10K1F9W,
415.5,NATIONWIDE,-27.84,133.21,10K1F9W,
124.4,MARCOOLA,-26.607150,153.092389,6K00A3E,
412.6875,CANBERRA AIRPORT,-35.311251,149.197642,10K1F9W,
426.325,LAUNCESTON,-41.546059,147.209054,10K1F9W,
131.0,ROCKHAMPTON,-23.376618,150.477408,6K00A3E,
412.6375,PERTH,-31.929566,115.953635,10K1F9W,
131.0,HAMILTON ISLAND,-20.356653,148.948841,6K00A3E,
412.6375,SOUTH MACKAY,-21.170404,149.176938,10K1F9W,
412.8875,SOUTH MACKAY,-21.170404,149.176938,10K1F9W,
412.6375,PROSERPINE 4800,-20.493328,148.556622,10K1F9W,
415.3,MELBOURNE AIRPORT,-37.677804,144.851983,10K1F9W,
131.0,ALICE SPRINGS,-23.801552,133.899769,6K00A3E,
133.1,MARRARA,-12.409820,130.873977,6K00A3E,
118.7,CANBERRA AIRPORT,-35.311251,149.197642,6K00A3E,
131.0,CANBERRA AIRPORT,-35.311251,149.197642,6K00A3E,
419.425,ADELAIDE AIRPORT,-34.947327,138.529879,10K1F9W,
414.6375,TULLAMARINE 3045,-37.670160,144.854360,10K1F9W,
423.3,MELBOURNE AIRPORT,-37.666976,144.833082,10K1F9W,
424.075,MELBOURNE AIRPORT,-37.666976,144.833082,10K1F9W,
426.325,COOLANGATTA,-28.163539,153.508425,10K1F9W,
426.325,SOUTH MACKAY,-21.170404,149.176938,10K1F9W,
412.6375,CAIRNS AIRPORT,-16.886728,145.750858,10K1F9W,
412.8875,CAIRNS AIRPORT,-16.886728,145.750858,10K1F9W,
412.6375,TOWNSVILLE,-19.250327,146.764641,10K1F9W,
415.5,NATIONWIDE,-27.84,133.21,10K1F9W,
415.7375,SYDNEY AIRPORT,-33.936331,151.166839,10K1F9W,
412.6375,ALICE SPRINGS,-23.801552,133.899769,10K1F9W,
412.6375,YULARA,-25.186431,130.973717,10K1F9W,
426.325,MARRARA,-12.409820,130.873977,10K1F9W,
118.7,LAUNCESTON,-41.546059,147.209054,6K00A3E,
118.1,ROCKHAMPTON,-23.376618,150.477408,6K00A3E,
426.2625,KARRATHA,-20.708375,116.773968,10K1F9W,
127.85,HAMILTON ISLAND,-20.356653,148.948841,6K00A3E,
131.0,ADELAIDE AIRPORT,-34.947327,138.529879,6K00A3E,
412.6375,ROCKHAMPTON,-23.376618,150.477408,10K1F9W,
126.9,YULARA,-25.186431,130.973717,6K00A3E,
131.0,CAIRNS AIRPORT,-16.886728,145.750858,6K00A3E,
131.0,MARRARA,-12.409820,130.873977,6K00A3E,
120.1,AVALON AIRPORT,-38.040097,144.470941,6K00A3E,
426.1875,CANBERRA AIRPORT,-35.311251,149.197642,10K1F9W,
416.3625,SYDNEY AIRPORT,-33.949057,151.185209,10K1F9W,
426.325,BALLINA,-28.835351,153.560454,10K1F9W,
413.0375,PERTH,-31.928315,115.972078,10K1F9W,
131.0,NEWMAN,-23.418368,119.800695,6K00A3E,
412.9375,PORT HEDLAND,-20.382089,118.626205,10K1F9W,
412.6375,KARRATHA,-20.708375,116.773968,10K1F9W,
413.1625,KARRATHA,-20.708375,116.773968,10K1F9W,
120.5,ADELAIDE AIRPORT,-34.947327,138.529879,6K00A3E,
131.0,BRISBANE AIRPORT,-27.393558,153.128623,6K00A3E,
412.625,HAMILTON ISLAND,-20.356653,148.948841,10K1F9W,
412.65,MARCOOLA,-26.607150,153.092389,10K1F9W,
118.3,ALICE SPRINGS,-23.801552,133.899769,6K00A3E,
121.8,MARRARA,-12.409820,130.873977,6K00A3E,
131.0,SYDNEY AIRPORT,-33.945474,151.171840,6K00A3E,
414.9875,MELBOURNE AIRPORT,-37.666976,144.833082,10K1F9W,
426.325,TOWNSVILLE,-19.250327,146.764641,10K1F9W,
426.325,HAMILTON ISLAND,-20.356653,148.948841,10K1F9W,
426.325,ROCKHAMPTON,-23.376618,150.477408,10K1F9W,
412.6375,COOLANGATTA,-28.163539,153.508425,10K1F9W,
120.5,BRISBANE AIRPORT,-27.393558,153.128623,6K00A3E,
412.7,CANBERRA AIRPORT,-35.301655,149.197383,10K1F9W,
413.35,COFFS HARBOUR,-30.321677,153.117575,10K1F9W,
422.8625,SYDNEY AIRPORT,-33.949057,151.185209,10K1F9W,
415.5,NATIONWIDE,-27.84,133.21,10K1F9W,
415.2125,HOBART AIRPORT,-42.838790,147.507606,10K1F9W,
412.8875,MARRARA,-12.409820,130.873977,10K1F9W,
426.1875,BROOME,-17.946292,122.227493,10K1F9W,
131.0,YULARA,-25.186431,130.973717,6K00A3E,
118.8,GLADSTONE,-23.868397,151.225889,6K00A3E,
131.0,LAUNCESTON,-41.546059,147.209054,6K00A3E,
413.0375,BROOME,-17.946292,122.227493,10K1F9W,
412.6,TULLAMARINE,-37.671459,144.832953,10K1F9W,
415.5375,LUDDENHAM 2745,-33.883472,150.708111,10K1F9W,
118.7,HAMILTON ISLAND,-20.356653,148.948841,6K00A3E,
120.5,SYDNEY AIRPORT,-33.945474,151.171840,6K00A3E,
414.8875,TULLAMARINE 3045,-37.670160,144.854360,10K1F9W,
412.6375,BRISBANE AIRPORT,-27.393558,153.128623,10K1F9W,
412.6375,GLADSTONE,-23.868397,151.225889,10K1F9W,
131.0,COOLANGATTA,-28.163539,153.508425,6K00A3E,
417.3625,SYDNEY AIRPORT,-33.949057,151.185209,10K1F9W,
416.2375,SYDNEY AIRPORT,-33.936331,151.166839,10K1F9W,
426.325,COFFS HARBOUR,-30.321677,153.117575,10K1F9W,
414.9625,HOBART AIRPORT,-42.838790,147.507606,10K1F9W,
131.0,GLADSTONE,-23.868397,151.225889,6K00A3E,
127.4,PERTH,-31.928315,115.972078,6K00A3E,
412.7875,NEWMAN,-23.418368,119.800695,10K1F9W,
413.2125,PORT HEDLAND,-20.382089,118.626205,10K1F9W,
412.7875,LUDDENHAM 2745,-33.883472,150.708111,10K1F9W,
415.4875,TULLAMARINE,-37.671459,144.832953,10K1F9W,
424.45,TULLAMARINE,-37.671459,144.832953,10K1F9W,
422.9,LUDDENHAM 2745,-33.883472,150.708111,10K1F9W,
124.7,SYDNEY AIRPORT,-33.945474,151.171840,6K00A3E,
131.0,AVALON AIRPORT,-38.040097,144.470941,6K00A3E,
126.7,PROSERPINE 4800,-20.493328,148.556622,6K00A3E,
121.7,CAIRNS AIRPORT,-16.886728,145.750858,6K00A3E,
118.7,COOLANGATTA,-28.163539,153.508425,6K00A3E,
131.0,BALLINA,-28.835351,153.560454,6K00A3E,
118.2,COFFS HARBOUR,-30.321677,153.117575,6K00A3E,
426.1875,ADELAIDE AIRPORT,-34.947327,138.529879,10K1F9W,
415.5,NATIONWIDE,-27.84,133.21,10K1F9W,
414.9625,AVALON AIRPORT,-38.040097,144.470941,10K1F9W,
415.2125,AVALON AIRPORT,-38.040097,144.470941,10K1F9W,
415.0,MELBOURNE AIRPORT,-37.677804,144.851983,10K1F9W,
415.25,MELBOURNE AIRPORT,-37.677804,144.851983,10K1F9W,
423.7,MELBOURNE AIRPORT,-37.666976,144.833082,10K1F9W,
426.325,CAIRNS AIRPORT,-16.886728,145.750858,10K1F9W,
426.325,PROSERPINE 4800,-20.493328,148.556622,10K1F9W,
415.5,NATIONWIDE,-27.84,133.21,10K1F9W,
412.8875,TOWNSVILLE,-19.250327,146.764641,10K1F9W,
412.8875,GLADSTONE,-23.868397,151.225889,10K1F9W,
416.7375,MASCOT,-33.934259,151.179108,10K1F9W,
413.35,BALLINA,-28.835351,153.560454,10K1F9W,
414.9625,LAUNCESTON,-41.546059,147.209054,10K1F9W,
412.8875,YULARA,-25.186431,130.973717,10K1F9W,
426.325,YULARA,-25.186431,130.973717,10K1F9W,
415.5,NATIONWIDE,-27.84,133.21,10K1F9W,
412.7875,PERTH,-31.928315,115.972078,10K1F9W,
121.7,MELBOURNE AIRPORT,-37.666976,144.833082,6K00A3E,
131.0,PERTH,-31.928315,115.972078,6K00A3E,
131.0,TOWNSVILLE,-19.250327,146.764641,6K00A3E,
412.7875,BROOME,-17.946292,122.227493,10K1F9W,
413.0375,NEWMAN,-23.418368,119.800695,10K1F9W,
426.1375,PORT HEDLAND,-20.382089,118.626205,10K1F9W,
