frequency,location,lat,lon,mode,alphatag
118.2,COFFS HARBOUR,-30.324022,153.114871,6K00A3E,CFS TWR
118.25,TAMWORTH NSW,-31.081479,150.843071,6K00A3E,TW TWR
118.4,KYEEMAGH,-33.948015,151.169014,6K00A3E,SY DEP W
118.4,WENTWORTH FALLS,-33.753987,150.371969,6K00A3E,SY DEP W
118.5,JENOLAN,-33.832338,149.990306,6K00A3E,ML ACC
118.5,CANOBOLAS,-33.345995,148.981072,6K00A3E,ML ACC
118.55,SYDNEY AIRPORT,-33.949717,151.181332,6K00A3E,SY ATIS
118.6,YENDA,-34.121528,146.235101,6K00A3E,ML ACC/FIA
118.7,CANBERRA AIRPORT,-35.301655,149.197383,6K00A3E,CB TWR
119.4,COOMA,-36.293471,148.970082,6K00A3E,ML ACC/FIA
119.4,TAMWORTH NSW,-31.081479,150.843071,6K00A3E,TW TWR
119.45,KYEEMAGH,-33.947789,151.168914,6K00A3E,SY PRM W
119.45,SYDNEY AIRPORT,-33.949717,151.181332,6K00A3E,SY PRM W
119.5,MT GININI,-35.529552,148.772605,6K00A3E,ML ACC/FIA
119.7,JENOLAN,-33.832338,149.990306,6K00A3E,BN ACC
119.75,EBOR,-30.481729,152.397643,6K00A3E,
119.9,BANKSTOWN,-33.921847,150.981887,6K00A3E,BK SMC
120.1,CAMDEN,-34.040788,150.688774,6K00A3E,CN TWR
120.3,MT NARDI,-28.544867,153.288034,6K00A3E,BN ACC/FIA
120.5,SYDNEY AIRPORT,-33.94541,151.18073,6K00A3E,SY TWR
120.55,GLOUCESTER,-32.106585,151.766462,6K00A3E,BN ACC/FIA
120.75,BROWN MOUNTAIN,-36.597889,149.381782,6K00A3E,ML ACC/FIA
120.9,BANKSTOWN,-33.921847,150.981887,6K00A3E,BK ATIS
120.95,MOUNT MOOMBIL,-30.31763,152.859773,6K00A3E,
121.2,MT MACALISTER,-34.449545,149.753686,6K00A3E,ML ACC/FIA
121.5,STATEWIDE,0.0,0.0,6K00A3E,GUARD
121.7,CANBERRA AIRPORT,-35.301655,149.197383,6K00A3E,CB SMC
121.7,SYDNEY AIRPORT,-33.94541,151.18073,6K00A3E,SY SMC E
121.8,ALBURY,-36.069902,146.953233,6K00A3E,AY SMC
121.9,TAMWORTH NSW,-31.081479,150.843071,6K00A3E,TW SMC
121.9,CAMDEN,-34.040788,150.688774,6K00A3E,CN SMC
122.6,BROKEN HILL,-32.004883,141.476284,6K00A3E,ML ACC/FIA
122.6,MOUNT MOOMBIL,-30.31763,152.859773,6K00A3E,BN ACC/FIA
122.75,CANOBOLAS,-33.345995,148.981072,6K00A3E,ML ACC
122.75,MT GININI,-35.529552,148.772605,6K00A3E,ML ACC
123,KYEEMAGH,-33.94757,151.169183,6K00A3E,SY DEP N
123,SYDNEY,-33.870447,151.208787,6K00A3E,SY DEP N
123.4,GLOUCESTER,-32.106585,151.766462,6K00A3E,BN ACC
123.4,WENTWORTH FALLS,-33.753559,150.371766,6K00A3E,BN ACC
123.6,BANKSTOWN,-33.921847,150.981887,6K00A3E,BK TWR
123.8,TAMWORTH NSW,-31.071201,150.831683,6K00A3E,TW ATIS
123.9,DUBBO,-32.219845,148.568704,6K00A3E,ML ACC/FIA
124.1,MT GININI,-35.529552,148.772605,6K00A3E,ML ACC/FIA
124.2,MT NARDI,-28.544867,153.288034,6K00A3E,BNA SFIS INFO
124.2,BALLINA,-28.837701,153.554792,6K00A3E,BNA SFIS INFO
124.4,SYDNEY,-33.870447,151.208787,6K00A3E,SY APP N
124.4,KYEEMAGH,-33.948015,151.169014,6K00A3E,SY APP N
124.5,MT MAJURA 2609,-35.237413,149.182312,6K00A3E,CB APP E
124.55,WENTWORTH FALLS,-33.753987,150.371969,6K00F3E,SY FIA
124.625,MOUNT MOOMBIL,-30.31763,152.859773,6K00A3E,BN ACC
124.625,EBOR,-30.481729,152.397643,6K00A3E,BN ACC
124.7,SYDNEY AIRPORT,-33.94541,151.18073,6K00A3E,SY TWR
124.8,MT HEATON,-32.96753,151.463358,6K00A3E,BN ACC/FIA
124.9,KORREO,-31.63372,144.73862,6K00A3E,ML ACC/FIA
124.95,LORD HOWE ISLAND,-31.528851,159.073332,6K00A3E,BN ACC
125,MT MACALISTER,-34.449545,149.753686,6K00A3E,ML ACC
125,JENOLAN,-33.832338,149.990306,6K00A3E,ML ACC
125.1,CAMDEN,-34.040788,150.688774,6K00A3E,CN ATIS
125.3,KYEEMAGH,-33.948015,151.169014,6K00A3E,SY DIR E
125.3,SYDNEY AIRPORT,-33.949717,151.181332,6K00A3E,SY DIR E
125.35,BOURKE NSW,-30.044842,145.949812,6K00A3E,ML ACC/FIA
125.7,MT HEATON,-32.96753,151.463358,6K00A3E,BN ACC/FIA
125.75,ROUND MOUNTAIN,-30.437669,152.2403,6K00A3E,BN ACC/FIA
125.8,WORONORA,-34.116839,150.952024,6K00A3E,SY FIA
125.9,MT MAJURA 2609,-35.237413,149.182312,6K00A3E,CB APP W
126.05,BALLINA,-28.837701,153.554792,6K00A3E,BN FIA
126.1,SYDNEY AIRPORT,-33.949717,151.181332,6K00A3E,SY DIR W
126.1,KYEEMAGH,-33.948015,151.169014,6K00A3E,SY DIR W
126.25,WORONORA,-34.116839,150.952024,6K00A3E,SY ATIS
126.5,SYDNEY AIRPORT,-33.94541,151.18073,6K00A3E,SY SMC W
126.6,PORT MACQUARIE,-31.435672,152.866742,6K00A3E,BN FIA
127.1,MOUNT DOWE,-30.284506,150.167542,6K00A3E,BN ACC/FIA
127.2,EBOR,-30.481729,152.397643,6K00A3E,BN ACC
127.45,MT MAJURA 2609,-35.237413,149.182312,6K00A3E,CB ATIS
127.6,SYDNEY AIRPORT,-33.94541,151.18073,6K00A3E,SY COORD
127.7,CANOBOLAS,-33.345995,148.981072,6K00A3E,AERIS
128.2,BOURKE NSW,-30.044842,145.949812,6K00A3E,ML ACC
128.25,BROKEN HILL,-32.004883,141.476284,6K00A3E,AERIS
128.3,WORONORA,-34.116839,150.952024,6K00A3E,SY APP S
128.3,SYDNEY AIRPORT,-33.949717,151.181332,6K00A3E,SY APP S
128.4,BINALONG,-34.639833,148.589815,6K00A3E,ML ACC
128.4,MT MAJURA 2609,-35.237413,149.182312,6K00A3E,ML ACC
128.6,KYEEMAGH,-33.94757,151.169183,6K00A3E,BN ACC/FIA
128.6,WENTWORTH FALLS,-33.753559,150.371766,6K00A3E,BN ACC/FIA
128.65,MT GININI,-35.529552,148.772605,6K00A3E,AERIS
