frequency,location,lat,lon,mode,alphatag
505.775,MARRARA,-12.407947,130.876833,10K1F3E,Jetstar
505.775,PROSERPINE,-20.489304,148.551778,10K1F3E,Jetstar
505.775,TOWNSVILLE,-19.256209,146.770545,10K1F3E,Jetstar
505.175,COOLANGATTA,-28.1672,153.512977,10K1F3E,Jetstar
505.475,BALLINA,-28.837446,153.556073,10K1F3E,Jetstar
136.125,AVALON,-38.027198,144.484120,6K00A3E,Jetstar
130.225,MARRARA,-12.407947,130.876833,6K00A3E,Jetstar
130.225,AVALON,-38.027198,144.484120,6K00A3E,Jetstar
130.225,BUSSELTON,-33.685989,115.398856,6K00A3E,Jetstar
136.125,ROCKHAMPTON,-23.377699,150.478015,6K00A3E,Jetstar
507.425,SYDNEY AIRPORT,-33.936331,151.166839,10K1F3E,Jetstar
506.075,MELBOURNE AIRPORT,-37.670321,144.848349,10K1F3E,Jetstar
505.475,ADELAIDE AIRPORT,-34.943444,138.532645,10K1F3E,Jetstar
506.475,MASCOT,-33.934259,151.179108,10K1F3E,Jetstar
505.475,BRISBANE AIRPORT,-27.385853,153.121334,10K1F3E,Jetstar
505.775,BRISBANE AIRPORT,-27.385853,153.121334,10K1F3E,Jetstar
136.125,CAIRNS,-16.877241,145.753806,6K00A3E,Jetstar
130.925,MASCOT,-33.935185,151.187280,6K00A3E,Jetstar
130.925,TOWNSVILLE,-19.256209,146.770545,6K00A3E,Jetstar
136.125,MARCOOLA,-26.605676,153.088440,6K00A3E,Jetstar
505.175,MELBOURNE AIRPORT,-37.670321,144.848349,10K1F3E,Jetstar
505.175,URANGAN,-25.320014,152.885090,10K1F3E,Jetstar
505.775,HAMILTON ISLAND,-20.351766,148.948844,10K1F3E,Jetstar
505.775,CAIRNS,-16.877241,145.753806,10K1F3E,Jetstar
506.8875,MASCOT,-33.934259,151.179108,10K1F3E,Jetstar
508.15,MASCOT,-33.934259,151.179108,10K1F3E,Jetstar
506.025,COOLANGATTA,-28.1672,153.512977,10K1F3E,Jetstar
