frequency,location,lat,lon,mode,alphatag
120.95,TINDAL,-14.513776,132.442940,6K00A3E,
118.3,AMBERLEY,-27.649507,152.720715,6K00A3E,
126.2,BULLSBROOK,-31.651547,116.018078,6K00A3E,
128.25,DARWIN,-12.409831,130.874337,6K00A3E,
132.15,BRADSHAW,-15.354819,130.251364,6K00A3E,
126.05,BRADSHAW,-15.040862,129.755472,6K00A3E,
126.25,STATEWIDE,0.0,0.0,6K00A3E,
122.05,NOWRA HILL,-34.936979,150.571649,6K00A3E,
122.05,NOWRA,-34.942952,150.537481,6K00A3E,
120.7,MT HEATON,-32.967530,151.463358,6K00A3E,
135.85,NOWRA,-34.942952,150.537481,6K00A3E,
130.2,BULLSBROOK,-31.651547,116.018078,6K00A3E,
127.65,STOREY MTN,-27.450972,151.847863,6K00A3E,
129.45,NOWRA,-34.943867,150.545259,6K00A3E,
134.1,STATEWIDE,0.0,0.0,6K00A3E,
118.3,DERBY,-17.586607,123.828598,6K00A3E,
125.65,NOWRA HILL,-34.936979,150.571649,6K00A3E,
134.8,EAST SALE,-38.099074,147.133581,6K00A3E,
136.775,STATEWIDE,0.0,0.0,6K00A3E,
129.65,FAIRBAIRN,-35.299233,149.184341,6K00A3E,
118.225,NOWRA,-34.942952,150.537481,6K00A3E,
136.825,NOWRA,-34.942952,150.537481,6K00A3E,
129.175,EDINBURGH,-34.709737,138.630721,6K00A3E,
126.05,Bradshaw,-15.323760,130.859124,6K80A3E,
127.25,TINDAL,-14.515160,132.368029,6K00A3E,
127.25,EAST SALE,-38.111267,147.157376,6K00A3E,
121.0,STATEWIDE,0.0,0.0,6K00A3E,
132.9,HOLSWORTHY,-33.986275,150.977050,6K00A3E,
121.8,TOWNSVILLE,-19.189145,146.764722,6K00A3E,
123.3,AMBERLEY,-27.649507,152.720715,6K00A3E,
135.575,STATEWIDE,0.0,0.0,6K00A3E,
134.1,BULLSBROOK,-31.651547,116.018078,6K00A3E,
135.9,PEARCE,-31.667692,116.015095,6K00A3E,
126.05,BRADSHAW,-15.322332,130.860233,6K00A3E,
126.05,BRADSHAW,-14.953955,130.627651,6K00A3E,
132.15,BRADSHAW,-14.874825,130.096166,6K00A3E,
119.7,TINDAL,-14.513830,132.443709,6K00A3E,
123.0,DARWIN,-12.409831,130.874337,6K00A3E,
135.35,STATEWIDE,0.0,0.0,6K00A3E,
126.2,AMBERLEY,-27.649507,152.720715,6K00A3E,
134.1,AMBERLEY,-27.649419,152.720615,6K00A3E,
134.1,TOWNSVILLE,-19.189145,146.764722,6K00A3E,
134.1,EDINBURGH,-34.706283,138.630241,6K00A3E,
135.85,OAKEY,-27.412658,151.735004,6K00A3E,
118.85,NOWRA HILL,-34.936979,150.571649,6K00A3E,
118.35,JERVIS BAY,-35.161008,150.730582,6K00A3E,
133.85,OAKEY,-27.428427,151.721086,6K00A3E,
133.85,ROCKHAMPTON,-23.376857,150.477590,6K00A3E,
135.05,STATEWIDE,0.0,0.0,6K00A3E,
135.75,STATEWIDE,0.0,0.0,6K00A3E,
125.4,OAKEY,-27.412658,151.735004,6K00A3E,
119.7,BULLSBROOK,-31.651547,116.018078,6K00A3E,
135.8,STATEWIDE,0.0,0.0,6K00A3E,
121.6,BULLSBROOK,-31.651547,116.018078,6K00A3E,
119.975,NOWRA,-34.943867,150.545259,6K00A3E,
135.925,STATEWIDE,0.0,0.0,6K00A3E,
126.3,RICHMOND,-33.600490,150.767141,6K00A3E,
135.85,TINDAL,-14.519832,132.381883,6K00A3E,
134.1,EAST SALE,-38.111267,147.157376,6K00A3E,
136.8,STATEWIDE,0.0,0.0,6K00A3E,
133.9,EVANS HEAD,-29.195636,153.387738,6K00A3E,
124.0,TINDAL,-14.513776,132.442940,6K00A3E,
126.05,Greenvale,-19.15,145.155556,6K80A3E,
132.95,WOOMERA,-31.196598,136.8164,6K00A3E,
132.4,NOWRA,-34.943867,150.545259,6K00A3E,
121.8,WILLIAMTOWN,-32.793008,151.837614,6K00A3E,
135.7,WILLIAMTOWN,-32.793008,151.837614,6K00A3E,
135.4,OAKEY,-27.398426,151.734407,6K00A3E,
133.5,STATEWIDE,0.0,0.0,6K00A3E,
118.3,TOWNSVILLE,-19.189145,146.764722,6K00A3E,
132.5,STATEWIDE,0.0,0.0,6K00A3E,
134.8,PEARCE,-31.666176,116.017273,6K00A3E,
126.05,BRADSHAW,-15.320424,129.937512,6K00A3E,
