frequency,location,lat,lon,mode,alphatag
119.3,DELAMERE,-15.740003,131.917188,6K00A3E,
134.1,WAGGA WAGGA,-35.158133,147.465778,6K00A3E,
136.725,STATEWIDE,0.0,0.0,6K00A3E,
136.7,STATEWIDE,0.0,0.0,6K00A3E,
134.1,DARWIN,-12.409831,130.874337,6K00A3E,
134.125,NOWRA,-34.944809,150.546538,6K00A3E,
135.675,STATEWIDE,0.0,0.0,6K00A3E,
135.5,RICHMOND,-33.600490,150.767141,6K00A3E,
135.125,EAST SALE,-38.099074,147.133581,6K00A3E,
135.875,STATEWIDE,0.0,0.0,6K00A3E,
120.5,LEARMONTH,-22.232403,114.084244,6K00A3E,
123.85,WILLIAMTOWN,-32.793008,151.837614,6K00A3E,
129.35,AMBERLEY,-27.649507,152.720715,6K00A3E,
135.85,NOWRA HILL,-34.936979,150.571649,6K00A3E,
136.825,COROWA,-35.991648,146.356686,6K00A3E,
118.225,COROWA,-35.991648,146.356686,6K00A3E,
135.0,HMAS CERBERUS,-38.369022,145.186925,6K00A3E,
121.6,AMBERLEY,-27.634218,152.704499,6K00A3E,
136.2,STATEWIDE,0.0,0.0,6K00A3E,
121.4,STATEWIDE,0.0,0.0,6K00A3X,
