frequency,location,lat,lon,mode,alphatag
440.6,PEARCE,-31.668723,116.020031,10K1F2D,
165.34,KAPOOKA,-35.149102,147.284487,16K0F3E,
151.34,DARWIN,-12.398579,130.867544,16K0F3E,
60.75,STATEWIDE,0.0,0.0,26K0F3E,
60.55,STATEWIDE,0.0,0.0,26K0F3E,
492.0,WOOMERA,-31.194379,136.813838,12K0F1D,
60.15,STATEWIDE,0.0,0.0,26K0F3E,
60.0,STATEWIDE,0.0,0.0,26K0F3E,
69.0,STATEWIDE,0.0,0.0,26K0F3E,
68.05,STATEWIDE,0.0,0.0,26K0F3E,
82.325,STONEY HEAD,-41.029054,146.982301,16K0F3E,
82.325,STONEY HEAD,-41.015539,147.029283,16K0F3E,
72.325,STONEY HEAD,-41.015539,147.029283,16K0F3E,
72.325,STONEY HEAD,-41.029054,146.982301,16K0F3E,
72.475,MT STUART,-19.344664,146.7764,16K0F3E,
72.475,MT STUART,-19.340542,146.735466,16K0F3E,
82.475,MT STUART,-19.340542,146.735466,16K0F3E,
82.475,MT STUART,-19.344664,146.7764,16K0F3E,
72.325,COWLEY BEACH,-17.687914,146.114424,16K0F3E,
33.25,STATEWIDE,0.0,0.0,26K0F3E,
402.0,STATEWIDE,0.0,0.0,75K0F9D,
156.025,STATEWIDE,0.0,0.0,16K0F3E,
156.2,GARDEN ISLAND,-33.865064,151.226302,16K0F3E,
627.5,TINDAL,-14.493028,132.396774,6M70V7W,
168.3,STATEWIDE,0.0,0.0,7K60FXW,
461.1,TOWNSVILLE,-19.319588,146.793950,16K0F2D,
425.0,STATEWIDE,0.0,0.0,200KF3D,
157.63,DARWIN,-12.457264,130.824366,16K0F3E,
150.7875,LOWER BEECHMONT ,-28.071944,153.224444,10K1F9W,
150.6625,LOWER BEECHMONT ,-28.071944,153.224444,10K1F9W,
150.75,LOWER BEECHMONT ,-28.071944,153.224444,12K5F2E,
150.7,LOWER BEECHMONT ,-28.071944,153.224444,12K5F2E,
150.8125,LOWER BEECHMONT ,-28.071944,153.224444,10K1F9W,
77.2, BLUEWATER PARK,-19.215134,146.334429,16K0F3E,
150.8,MURRAY BRIDGE,-35.131151,139.356864,10K1F9W,
150.7375,MURRAY BRIDGE,-35.131151,139.356864,12K5F2E,
150.65,MURRAY BRIDGE,-35.131151,139.356864,10K1F9W,
150.775,MURRAY BRIDGE,-35.131151,139.356864,10K1F9W,
150.6875,MURRAY BRIDGE,-35.131151,139.356864,12K5F2E,
150.8125,BUCKLAND,-42.477614,147.711805,10K1F9W,
150.75,BUCKLAND,-42.477614,147.711805,12K5F2E,
150.7,Buckland,-42.450556,147.793333,12K5F2E,
150.6625,BUCKLAND,-42.477614,147.711805,10K1F9W,
150.8125,Buckland,-42.450556,147.793333,10K1F9W,
150.7875,Buckland,-42.450556,147.793333,10K1F9W,
150.75,Buckland,-42.450556,147.793333,12K5F2E,
150.6625,Buckland,-42.450556,147.793333,10K1F9W,
150.7875,BUCKLAND,-42.477614,147.711805,10K1F9W,
150.7,BUCKLAND,-42.477614,147.711805,12K5F2E,
467.9625,PORT ADELAIDE,-34.844069,138.500290,7K60FXE,
142.4,STATEWIDE,0.0,0.0,16K0F3E,
141.9,STATEWIDE,0.0,0.0,16K0F3E,
60.95,STATEWIDE,0.0,0.0,26K0F3E,
60.8,STATEWIDE,0.0,0.0,26K0F3E,
80.64,JERVIS BAY,-35.122599,150.708673,16K0F3E,
156.475,HMAS CERBERUS,-38.369022,145.186925,16K0F3E,
65.2,STATEWIDE,0.0,0.0,26K0F3E,
61.6,STATEWIDE,0.0,0.0,26K0F3E,
61.2,STATEWIDE,0.0,0.0,26K0F3E,
49.1,STATEWIDE,0.0,0.0,36K0F3E,
49.0,STATEWIDE,0.0,0.0,26K0F3E,
151.075,Greenvale,-19.0825,144.974167,10K1F9W,
151.225,Greenvale,-19.0825,144.974167,10K1F9W,
151.075,Basalt,-19.566667,144.631389,10K1F9W,
151.1125,Greenvale,-19.0825,144.974167,12K5F2E,
151.1125,Basalt,-19.566667,144.631389,12K5F2E,
151.2,Basalt,-19.566667,144.631389,10K1F9W,
151.1625,Basalt,-19.566667,144.631389,12K5F2E,
151.1625,Greenvale,-19.0825,144.974167,12K5F2E,
151.2,Greenvale,-19.0825,144.974167,10K1F9W,
151.225,Basalt,-19.566667,144.631389,10K1F9W,
151.225,Greenvale,-19.15,145.155556,10K1F9W,
151.2,Greenvale,-19.15,145.155556,10K1F9W,
151.1125,Greenvale,-19.302222,144.933333,12K5F2E,
151.1125,Greenvale,-19.15,145.155556,12K5F2E,
151.2,Greenvale,-19.302222,144.933333,10K1F9W,
151.075,Greenvale,-19.15,145.155556,10K1F9W,
151.1625,Greenvale,-19.15,145.155556,12K5F2E,
151.075,Greenvale,-19.302222,144.933333,10K1F9W,
151.1625,Greenvale,-19.302222,144.933333,12K5F2E,
151.225,Greenvale,-19.302222,144.933333,10K1F9W,
163.225,WIDE BAY,-25.892845,152.194427,10K1F3E,
