frequency,location,lat,lon,mode,alphatag
80.64,JERVIS BAY,-35.070097,150.831166,16K0F3E,
67.75,STATEWIDE,0.0,0.0,26K0F3E,
67.5,STATEWIDE,0.0,0.0,26K0F3E,
67.35,STATEWIDE,0.0,0.0,26K0F3E,
67.225,STATEWIDE,0.0,0.0,26K0F3E,
49.6,STATEWIDE,0.0,0.0,36K0F3E,
49.55,STATEWIDE,0.0,0.0,26K0F3E,
67.0,STATEWIDE,0.0,0.0,26K0F3E,
63.4,STATEWIDE,0.0,0.0,26K0F3E,
63.025,STATEWIDE,0.0,0.0,26K0F3E,
49.45,STATEWIDE,0.0,0.0,26K0F3E,
61.15,STATEWIDE,0.0,0.0,26K0F3E,
49.25,STATEWIDE,0.0,0.0,26K0F3E,
47.6,STATEWIDE,0.0,0.0,36K0F3E,
151.225,Greenvale,-19.319167,144.6650,10K1F9W,
151.2,Greenvale,-19.478056,144.951944,10K1F9W,
151.2,Greenvale,-19.319167,144.6650,10K1F9W,
151.075,Greenvale,-19.478056,144.951944,10K1F9W,
151.1625,Greenvale,-19.478056,144.951944,12K5F2E,
151.1125,Greenvale,-19.478056,144.951944,12K5F2E,
151.075,Greenvale,-19.319167,144.6650,10K1F9W,
151.225,Greenvale,-19.478056,144.951944,10K1F9W,
151.1125,Greenvale,-19.319167,144.6650,12K5F2E,
151.1625,Greenvale,-19.319167,144.6650,12K5F2E,
55.95,STATEWIDE,0.0,0.0,26K0F3E,
55.6,STATEWIDE,0.0,0.0,36K0F3E,
55.4,STATEWIDE,0.0,0.0,36K0F3E,
55.025,STATEWIDE,0.0,0.0,26K0F3E,
163.65,MT PUCKAPUNYAL,-36.985161,144.963025,10K1F3E,
171.5,STATEWIDE,0.0,0.0,12K5F2D,
151.7,STATEWIDE,0.0,0.0,6K00A3E,
69.9,STATEWIDE,0.0,0.0,16K0F3E,
72.35,MT BUNDEY,-13.065156,132.486834,16K0F3E,
72.35,MT BUNDEY,-12.860045,131.826827,16K0F3E,
72.35,MT BUNDEY,-12.912891,131.867937,16K0F3E,
77.825,SHOALWATER BAY,-22.376575,150.573096,16K0F3E,
77.825,SHOALWATER BAY,-22.540940,150.293748,16K0F3E,
77.825,SHOALWATER BAY,-22.740527,150.782257,16K0F3E,
77.825,SHOALWATER BAY,-22.777034,150.432765,16K0F3E,
82.4,ENOGGERA,-27.426034,152.984974,16K0F3E,
152.375,STATEWIDE,0.0,0.0,11K0F3E,
41.0,STATEWIDE,0.0,0.0,36K0F3E,
33.0,STATEWIDE,0.0,0.0,36K0F3E,
161.0,BONSHAW,-35.349639,149.198462,16K0F3E,
468.7,ALICE SPRINGS,-23.722188,133.856696,10K1F3E,
49.875,STATEWIDE,0.0,0.0,16K0F3E,
45.65,STATEWIDE,0.0,0.0,36K0F3E,
67.85,STATEWIDE,0.0,0.0,26K0F3E,
50.5,STATEWIDE,0.0,0.0,26K0F3E,
50.45,STATEWIDE,0.0,0.0,26K0F3E,
50.4,STATEWIDE,0.0,0.0,36K0F3E,
54.025,STATEWIDE,0.0,0.0,26K0F3E,
54.35,STATEWIDE,0.0,0.0,26K0F3E,
54.15,STATEWIDE,0.0,0.0,26K0F3E,
44.8,STATEWIDE,0.0,0.0,36K0F3E,
42.6,STATEWIDE,0.0,0.0,36K0F3E,
39.45,STATEWIDE,0.0,0.0,36K0F3E,
37.95,STATEWIDE,0.0,0.0,26K0F3E,
37.1,STATEWIDE,0.0,0.0,36K0F3E,
33.5,STATEWIDE,0.0,0.0,36K0F3E,
