frequency,location,lat,lon,mode,alphatag
76.675,YARROWITCH,-31.399461,152.114717,10K1F3E,
79.7125,HILLSTON,-33.539480,145.870175,10K1F3E,
79.05,MT BOBBARA,-34.6398,148.5899,10K1F3E,
79.0625,RANKIN SPRINGS,-33.839107,146.217385,10K1F3E,
79.7375,WAGGA WAGGA,-35.114880,147.303901,10K1F3E,
78.6625,NARRANDERA,-34.553025,146.610701,16K0F3E,
132.75,DUBBO,-32.254398,148.631248,6K00A3E,
412.5125,STATEWIDE,0.0,0.0,10K1F3E,
132.75,LISMORE,-28.812367,153.276456,6K00A3E,
132.75,TAMWORTH,-31.074071,150.925250,6K00A3E,
79.725,COOMEALLA,-34.0845,142.0149,10K1F3E,
76.675,YARROWITCH,-31.277367,151.849914,10K1F3E,
79.7625,MT BIG BEN,-36.405753,146.942427,10K1F3E,
79.025,JERILDERIE,-35.356941,145.732205,10K1F3E,
79.0375,NARRANDERA,-34.553025,146.610701,10K1F3E,
79.0375,TUMORRAMA,-35.239425,148.499888,10K1F3E,
132.75,ALBURY,-36.080450,146.911647,6K00A3E,
78.6625,ANABRANCH SOUTH,-34.018048,141.764968,10K1F3E,
79.05,MALLEE,-34.210845,142.263992,10K1F3E,
467.8,KINGSTOWN,-30.535390,151.142687,10K1F3E,
76.67,STATEWIDE,0.0,0.0,16K0F3E,
132.75,TUMORRAMA,-35.239425,148.499888,6K00A3E,
412.9125,STATEWIDE,0.0,0.0,10K1F3E,
148.6625,GULARGAMBONE,-31.329723,148.469120,16K0F2D,
79.05,KYEAMBA,-35.494368,147.612125,10K1F3E,
79.725,BOOROWA,-34.421647,148.750124,10K1F3E,
76.67,STATEWIDE,0.0,0.0,16K0F3E,
412.65,GLEN INNES,-29.743776,151.751146,10K1F3E,
467.7625,BARRABA,-30.393088,150.608273,10K1F3E,
79.025,ARUMPO,-33.890111,142.649972,10K1F3E,
