frequency,location,lat,lon,mode,alphatag
148.9875,PARKES,-33.136782,148.1774,16K0F2D,
148.9875,MT GRAY,-34.758567,149.763092,16K0F2D,
148.9875,GOULBURN,-34.750096,149.719399,16K0F2D,
421.7,MT PERISHER,-36.409533,148.386463,10K1F9W,
148.9875,DUBBO,-32.237046,148.677689,16K0F2D,
148.9875,Dubbo,-32.253927,148.630498,16K0F2D,
148.9875,DUBBO,-32.244594,148.596590,16K0F2D,
148.9875,BEGA,-36.677023,149.837273,16K0F2D,
148.9875,MUMBULLA MOUNTAIN,-36.544939,149.866163,16K0F2D,
148.9875,Lawson,-33.721489,150.427058,16K0F2D,
423.675,JERILDERIE,-35.358671,145.718304,10K1F9W,
148.9625,BOWRAL,-34.464574,150.428225,16K0F2D,
423.6375,BUNNALOO,-35.781038,144.593693,10K1F9W,
421.5625,GUNDAGAI,-35.108544,148.121356,10K1F9W,
421.5375,MT YOUNGAL,-36.394897,148.118761,10K1F9W,
423.5625,COOKARDINIA,-35.556533,147.170655,10K1F9W,
148.9625,PICKETTS VALLEY,-33.450060,151.402990,16K0F2D,
148.9875,BROKEN HILL,-31.957386,141.463968,16K0F2D,
418.1875,DEEPWATER,-29.376913,152.009964,10K1F3E,
419.175,GUNNEDAH,-31.024321,150.191778,10K1F3E,
419.1875,WOOLGOOLGA,-30.111440,153.208885,10K1F3E,
419.15,YARROWITCH,-31.277367,151.849914,10K1F3E,
148.9875,NAROOMA,-36.220915,150.133773,16K0F2D,
148.9875,BUCKERIDGE LOOKOUT,-36.195511,150.083603,16K0F2D,
148.9875,YOUNG,-34.373760,148.277170,16K0F2D,
148.9875,YOUNG,-34.312461,148.298893,16K0F2D,
148.9875,BALRANALD,-34.637455,143.560694,16K0F2D,
148.9875,COOTAMUNDRA,-34.635972,148.028005,16K0F2D,
148.9875,LEETON,-34.550750,146.406124,16K0F2D,
148.9875,NARRANDERA,-34.746520,146.552431,16K0F2D,
148.9625,WALDALBA,-33.269393,151.470673,16K0F2D,
148.9875,WEE WAA,-30.225032,149.441331,16K0F2D,
148.9875,TAREE,-31.910436,152.456817,16K0F2D,
148.9875,BYRON BAY,-28.647563,153.612859,16K0F2D,
148.9875,CASINO,-28.861687,153.051314,16K0F2D,
148.9875,CORAKI,-28.991097,153.286264,16K0F2D,
148.9875,LISMORE,-28.814759,153.271586,16K0F2D,
148.9875,GOONELLABAH,-28.817789,153.318534,16K0F2D,
148.9875,Coolamon,-34.813368,147.203197,16K0F2D,
119.1,STATEWIDE,0.0,0.0,6K00A3E,
148.9875,MORUYA,-35.909114,150.079602,16K0F2D,
148.9875,COONAMBLE,-30.955631,148.389287,16K0F2D,
148.9625,WENTWORTH FALLS,-33.753987,150.371969,16K0F2D,
418.65,WOLUMLA PEAK,-36.864455,149.728115,10K1F3E,
421.7375,GRIFFITH,-34.277103,146.057769,10K1F9W,
148.9875,PEAK HILL,-32.731169,148.194364,16K0F2D,
148.9875,URALLA,-30.644032,151.500425,16K0F2D,
148.9875,QUIRINDI,-31.504486,150.679919,16K0F2D,
421.6375,WINIFRED,-36.519586,149.343902,10K1F9W,
422.8875,STATEWIDE,0.0,0.0,10K1F3E,
426.2875,STATEWIDE,0.0,0.0,10K1F3E,
148.9625,HASSANS WALLS,-33.505920,150.1478,16K0F2D,
421.575,COOMEALLA,-34.0845,142.0149,10K1F9W,
423.7125,PARINGI,-34.321476,142.391353,10K1F9W,
423.5625,EUSTON,-34.526662,142.809797,10K1F9W,
421.625,NARRANDERA,-34.751195,146.567489,10K1F9W,
421.75,BATLOW,-35.545560,148.199333,10K1F9W,
148.9875,Wollgoolga,-30.110235,153.189575,16K0F2D,
148.9875,GUYRA,-30.216387,151.669237,16K0F2D,
148.9875,OBERON,-33.703565,149.854189,16K0F2D,
148.9875,WALLERAWANG,-33.410587,150.066961,16K0F2D,
148.9875,MACLEAN,-29.457159,153.196914,16K0F2D,
148.9875,SPRINGDALE HEIGHTS,-36.020257,146.961538,16K0F2D,
418.65,DUMARESQ,-30.377312,151.601147,10K1F3E,
419.175,BINGARA,-29.871227,150.591861,10K1F3E,
418.1875,MANILLA,-30.730242,150.648587,10K1F3E,
419.15,WERRIS CREEK,-31.320891,150.749280,10K1F3E,
148.9875,BERRY,-34.776582,150.698981,16K0F2D,
148.9875,LAURIETON,-31.645951,152.795648,16K0F2D,
148.9625,WOLLONGONG,-34.425190,150.883530,16K0F2D,
148.9625,SPRINGWOOD,-33.700330,150.5630,16K0F2D,
148.9875,URUNGA,-30.497024,153.020883,16K0F2D,
132.55,STATEWIDE,0.0,0.0,6K00A3E,
148.9875,BERRIGAN,-35.658409,145.809205,16K0F2D,
148.9875,BATEMANS BAY,-35.711521,150.183749,16K0F2D,
148.9875,BRAIDWOOD,-35.442713,149.793373,16K0F2D,
148.9875,FORBES,-33.3851,148.009279,16K0F2D,
423.525,TIMBILLICA,-37.301730,149.710220,10K1F9W,
419.125,TIMBILLICA,-37.301730,149.710220,10K1F3E,
148.9875,BREWARRINA,-29.972085,146.759671,16K0F2D,
148.9875,COONABARABRAN,-31.277921,149.264852,16K0F2D,
148.9875,WALCHA,-30.983843,151.592416,16K0F2D,
148.9875,NARRABRI,-30.324389,149.784291,16K0F2D,
423.575,MT CRACKENBACK,-36.493124,148.287472,10K1F9W,
148.9625,NELSON BAY,-32.731620,152.131117,16K0F2D,
148.9625,MORISSET,-33.113899,151.513851,16K0F2D,
423.575,DENILIQUIN,-35.597749,145.036934,10K1F9W,
421.5875,YOUNG,-34.373760,148.277170,10K1F9W,
421.725,ALBURY,-36.077661,146.915736,10K1F9W,
421.75,ONE TREE,-34.214960,145.197179,10K1F9W,
148.9625,CORRABARE,-32.978419,151.246156,16K0F2D,
148.9875,BOMBALA,-36.910605,149.240107,16K0F2D,
148.9875,BOMBALA,-36.922009,149.250430,16K0F2D,
148.9875,INVERELL,-29.774898,151.114739,16K0F2D,
421.7125,MORUNDAH,-35.139176,146.039052,10K1F9W,
421.55,TURVEY PARK,-35.132713,147.372072,10K1F9W,
417.2625,BUCKRA BENDINNI,-30.662477,152.653305,10K1F3E,
148.9875,PERISHER VALLEY,-36.405245,148.413821,16K0F2D,
419.1,INVERELL,-29.780698,151.077046,10K1F3E,
148.9875,DUNEDOO,-32.017398,149.397181,16K0F2D,
148.9875,SCONE,-32.163505,150.889692,16K0F2D,
419.2,NARRABRI,-30.329036,149.7859,10K1F3E,
148.9875,COFFS HARBOUR,-30.298540,153.112876,16K0F2D,
148.9875,HAY,-34.502380,144.847294,16K0F2D,
148.9875,HILLSTON,-33.485402,145.531979,16K0F2D,
148.9875,TEMORA,-34.447576,147.537365,16K0F2D,
148.9625,KIRRAWEE,-34.027438,151.0803,16K0F2D,
148.9875,Nambucca Heads,-30.634988,152.979679,16K0F2D,
148.9875,ALSTONVILLE,-28.843831,153.440042,16K0F2D,
148.9875,Jerilderie,-35.359136,145.719991,16K0F2D,
132.35,STATEWIDE,0.0,0.0,6K00A3E,
148.9875,COROWA,-35.996009,146.394369,16K0F2D,
148.9875,TOCUMWAL,-35.812424,145.568988,16K0F2D,
148.9875,BLAYNEY,-33.530067,149.253409,16K0F2D,
148.9875,COOLAH,-31.825278,149.717097,16K0F2D,
423.725,KALKITE,-36.335681,148.663694,10K1F9W,
148.9875,Nowra,-34.870855,150.600641,16K0F2D,
421.575,MULWALA,-35.997808,145.996998,10K1F9W,
421.725,TUMUT,-35.360421,148.216558,10K1F9W,
148.9875,Tweed Heads,-28.187409,153.539530,16K0F2D,
