frequency,location,lat,lon,mode,alphatag
148.5875,COLLARENEBRI,-29.545359,148.577589,16K0F2D,
148.5875,GRAWIN,-29.669444,147.616267,16K0F2D,
148.5875,BOGGABILLA,-28.606754,150.356027,16K0F2D,
148.5875,BENDEMEER,-30.747984,151.199643,16K0F2D,
148.5875,MT CAIRNCROSS,-31.341348,152.682513,16K0F2D,
148.5875,NORTH ARM COVE,-32.658280,152.041169,16K0F2D,
148.5875,MCLEODS SHOOT,-28.660016,153.560704,16K0F2D,
148.5875,BYRON BAY,-28.678457,153.597442,16K0F2D,
148.5875,ALBURY,-36.077661,146.915736,16K0F2D,
148.5875,MIDDLE BROTHER,-31.705857,152.673626,16K0F2D,
148.5875,KIMBRIKI,-31.922141,152.181657,16K0F2D,
148.5875,BATLOW,-35.495522,148.009957,16K0F2D,
415.1125,MUNGINDI,-28.966094,149.048418,10K1F3E,
418.225,DARNICK RAILWAY STATION,-32.882721,143.573125,10K1F3E,
148.5875,BOURKE,-30.040240,145.953014,16K0F2D,
148.5875,RHINE FALLS,-36.191369,148.883137,16K0F2D,
461.225,COOLAMON,-34.805610,147.196879,16K0F2D,
148.5875,OAKLANDS,-35.541051,146.166975,16K0F2D,
148.5875,WIRRINYA,-33.585459,147.782144,16K0F2D,
412.7,WAMBOIN PLAINS,-31.754994,148.926587,10K1F3E,
148.5875,URANA,-35.268320,146.382010,16K0F2D,
148.5875,POONCARIE,-33.385844,142.571393,16K0F2D,
148.5875,BLACK TRIG,-34.818539,148.728567,16K0F2D,
148.5875,MUSWELLBROOK,-32.363383,150.858919,16K0F2D,
148.5875,WOOLGOOLGA,-30.127250,153.181380,16K0F2D,
133.2,STATEWIDE,0.0,0.0,6K00A3E,
123.65,STATEWIDE,0.0,0.0,6K00A3E,
148.5875,COROWA,-35.986245,146.366267,16K0F2D,
148.5875,COOLATAI,-29.241680,150.687604,16K0F2D,
148.5875,MANILLA,-30.730242,150.648587,16K0F2D,
148.5875,KURRAJONG HEIGHTS,-33.520252,150.620627,16K0F2D,
148.5875,MT KEIRA,-34.401865,150.856681,16K0F2D,
148.5875,TAMWORTH,-31.075685,150.958646,16K0F2D,
148.5875,BUCKETTY,-33.138309,151.202095,16K0F2D,
148.5875,SADDLEBACK MOUNTAIN,-34.698130,150.791728,16K0F2D,
148.5875,DUBBO,-32.215428,148.570351,16K0F2D,
148.5875,HOMELEIGH,-28.571032,153.070907,16K0F2D,
148.5875,GIBBERAGEE,-29.309801,153.086341,16K0F2D,
148.5875,BUDAWANG,-35.479975,149.995640,16K0F2D,
148.5875,SANDY HILL,-28.9489,152.306990,16K0F2D,
77.8875,YOUNG,-34.373760,148.277170,10K1F3E,
161.0625,STATEWIDE,0.0,0.0,10K1F3E,
152.4625,DORRIGO MOUNTAIN,-30.396516,152.688203,10K0F2D,
148.5875,SMITHS LAKE,-32.377910,152.501782,16K0F2D,
413.175,BOURKE,-30.198581,146.239669,10K1F3E,
413.1125,NEW YEARS RANGE,-30.473960,146.844915,10K1F3E,
413.2875,BOURKE,-30.198581,146.239669,10K1F3E,
413.3625,MENINDEE,-32.189089,142.971598,10K1F3E,
148.5875,TINTENBAR,-28.793369,153.499332,16K0F2D,
412.625,COBAR,-31.559547,145.878973,10K1F3E,
148.5875,CUMBOOGLE,-32.341853,148.596809,16K0F2E,
161.4,SPRINGDALE HEIGHTS,-36.020257,146.961538,10K1F2D,
476.6,COBAR,-31.559547,145.878973,16K0F3E,
148.5875,TRANGIE,-32.033624,147.978252,16K0F2D,
148.5875,COOTAMUNDRA,-34.631042,148.035254,16K0F2D,
148.5875,TEMORA,-34.475368,147.533840,16K0F2D,
148.5875,MOUNT TOMAH,-33.556582,150.421741,16K0F2D,
148.5875,TINGHA,-29.952964,151.222660,16K0F2D,
148.5875,BUSBYS FLAT,-29.126510,152.739950,16K0F2D,
148.5875,BOCOBLE,-32.806630,149.750663,16K0F2D,
148.5875,HASSANS WALLS,-33.513053,150.150378,16K0F2D,
148.5875,KNOCKROW,-28.769026,153.534485,16K0F2D,
413.375,IVANHOE,-32.826573,144.277989,10K1F3E,
148.5875,MUSWELLBROOK,-32.294998,150.873536,16K0F2D,
152.8125,STATEWIDE,0.0,0.0,10K1F3E,
413.3,GWABEGAR,-30.612918,148.974918,10K1F3E,
148.5875,BINGARA,-29.976387,150.650603,16K0F2D,
412.65,COBAR,-30.932049,146.261904,10K1F3E,
148.5875,SILVERDALE,-33.931065,150.575586,16K0F2D,
148.5875,COONABARABRAN,-31.268534,149.285630,16K0F2D,
148.5875,BUCKOMBIL MOUNTAIN,-28.933154,153.422360,16K0F2D,
161.25,CAMPBELLTOWN,-34.039538,150.847377,10K1F3E,
161.3875,REGENTVILLE,-33.774239,150.676645,10K1F3E,
148.5875,COOLAH,-31.681772,149.838814,16K0F2D,
78.2125,JEWS MTN,-33.232388,149.991962,10K1F3E,
476.55,SILVERTON,-31.815336,141.207901,16K0F3E,
148.5875,MOUNT KAPUTAR NATIONAL PARK,-30.278821,150.152139,16K0F2D,
148.5875,MADDENS PLAINS,-34.263419,150.954547,16K0F2D,
148.5875,COBAR,-31.417955,145.286602,16K0F2D,
148.5875,DARLINGTON POINT,-34.576441,145.486078,16K0F2D,
413.3,TRUNDLE,-32.771097,147.576671,10K1F3E,
148.5875,LILLI PILLI,-34.063302,151.119081,16K0F2E,
161.1125,STATEWIDE,0.0,0.0,10K1F3E,
160.21,DUNGOG,-32.411069,151.651728,16K0F3E,
168.9,DORRIGO MOUNTAIN,-30.396516,152.688203,10K1F3E,
71.625,THE MULLION,-35.175115,148.885659,16K0F3E,
161.05,STATEWIDE,0.0,0.0,10K1F3E,
161.1875,STATEWIDE,0.0,0.0,10K1F3E,
148.5875,BOGGABRI,-30.704574,150.040972,16K0F2D,
148.5875,GLEN INNES,-29.743776,151.751146,16K0F2D,
148.5875,EBOR,-30.481464,152.392978,16K0F2D,
148.5875,TOONUMBAR,-28.507862,152.840429,16K0F2D,
148.5875,BIGGA,-34.160731,149.238193,16K0F2D,
148.5875,BOLWARRA,-32.689068,151.578659,16K0F2D,
148.5875,COOLAMON,-34.805610,147.196879,16K0F2D,
148.5875,DEEPWATER,-29.376913,152.009964,16K0F2D,
148.5875,DENMAN,-32.383699,150.657378,16K0F2D,
148.5875,DUBBO,-32.246485,148.603278,16K0F2D,
148.5875,WALGETT,-30.020845,148.112859,16K0F2D,
148.5875,BREWARRINA,-29.954331,146.865163,16K0F2D,
77.65,KIMBRIKI,-31.922141,152.181657,10K1F3E,
148.5875,HAY,-34.498105,144.834880,16K0F2D,
148.5875,BILLYS LOOKOUT,-33.704555,147.322483,16K0F2D,
148.5875,TOOMA,-35.898127,147.9491,16K0F2D,
148.5875,GRENFELL,-33.879989,148.140991,16K0F2D,
148.5875,DUBBO,-32.344905,148.381825,16K0F2D,
148.5875,VINCENTIA,-35.085058,150.678449,16K0F2D,
148.5875,YETHOLME,-33.431856,149.810418,16K0F2D,
148.5875,GARAH,-28.897756,149.798847,16K0F2D,
148.5875,WATAGAN,-33.044229,151.264477,16K0F2D,
148.5875,RAZORBACK RANGE,-34.147242,150.670770,16K0F2D,
148.5875,HANGING ROCK,-31.446691,151.206093,16K0F2D,
148.5875,MT WARRIGAL,-34.546469,150.842256,16K0F2D,
161.0375,STATEWIDE,0.0,0.0,10K1F3E,
161.15,STATEWIDE,0.0,0.0,10K1F3E,
152.4625,TERREY HILLS,-33.692724,151.222139,10K0F2D,
152.4625,ATHOLWOOD,-29.063314,151.102271,10K0F2D,
152.4625,TUMUT,-35.194748,148.374621,10K0F2D,
148.5875,KATOOMBA,-33.710004,150.3003,16K0F2D,
413.3125,TILPA,-30.869883,144.407919,10K1F3E,
413.2875,SANDY CAMP,-30.880990,147.752472,10K1F3E,
413.3875,BROKEN HILL,-32.823770,141.400333,10K1F3E,
461.98125,MIDDLE BROTHER,-31.705857,152.673626,10K1F2D,
461.04375,KINGSWOOD,-33.755810,150.714383,10K1F2D,
476.55,IVANHOE,-32.826573,144.277989,16K0F3E,
148.5875,BOOBEROI HILLS,-33.844157,147.375483,16K0F2D,
148.5875,MT WANDERA,-35.794687,150.006294,16K0F2D,
148.5875,CENTRAL MANGROVE,-33.289838,151.237199,16K0F2D,
148.5875,HEATHCOTE,-34.084850,151.016259,16K0F2D,
77.65,STATEWIDE,0.0,0.0,10K1F3E,
148.5875,WAHROONGA,-33.733869,151.099709,16K0F2D,
148.5875,BULLIO,-34.346158,150.225284,16K0F2D,
148.5875,MOAMA,-36.031309,144.797561,16K0F2D,
415.075,POONCARIE,-33.504323,142.094387,10K1F3E,
161.0375,HORNSBY HEIGHTS,-33.676480,151.097197,10K1F3E,
161.4625,WYONG,-33.285929,151.426348,10K1F3E,
161.4125,KATOOMBA,-33.709418,150.300275,10K1F3E,
161.45,MITTAGONG,-34.450217,150.435959,10K1F3E,
148.5875,CONDOBOLIN,-33.088022,147.151014,16K0F2D,
148.5875,MT PANORAMA,-33.458986,149.547605,16K0F2D,
71.625,WEE JASPER,-35.105977,148.682744,16K0F3E,
476.45,BROKEN HILL,-32.823770,141.400333,16K0F3E,
78.7375,TERREY HILLS,-33.692724,151.222139,10K1F3E,
148.5875,CASSILIS,-31.819213,150.162854,16K0F2D,
148.5875,UPPER MYALL,-32.258206,152.120274,16K0F2D,
413.25,LOUTH,-30.720959,145.155719,10K1F3E,
148.5875,TEN MILE MOUNTAIN,-31.895848,150.478103,16K0F2D,
148.5875,CARRATHOOL,-33.946810,145.296876,16K0F2D,
148.5875,COBAR,-31.559547,145.878973,16K0F2D,
152.4625,NELSON BAY,-32.731550,152.131310,10K1F2D,
148.5875,GWANDALAN,-33.144346,151.581008,16K0F2D,
161.0875,STATEWIDE,0.0,0.0,10K1F3E,
171.21,BYRON BAY,-28.672192,153.574623,16K0F3E,
171.93,WELLINGTON,-32.425676,149.104091,16K0F3E,
161.45,STATEWIDE,0.0,0.0,10K1F3E,
163.4125,STATEWIDE,0.0,0.0,10K1F3E,
163.9125,STATEWIDE,0.0,0.0,10K1F3E,
164.125,STATEWIDE,0.0,0.0,10K1F3E,
164.325,STATEWIDE,0.0,0.0,10K1F3E,
148.5875,KALANG,-30.506679,152.765452,16K0F2E,
148.5875,LIGHTNING RIDGE,-29.431278,147.981758,16K0F2D,
148.5875,CUMBORAH VILLAGE,-29.818435,147.772207,16K0F2D,
148.5875,COONAMBLE,-30.945290,148.375195,16K0F2D,
419.9375,ARUMPO,-33.218746,143.628896,10K1F3E,
148.5875,MT HYLAND,-30.165961,152.430917,16K0F2D,
148.5875,GRIFFITH,-34.277103,146.057769,16K0F2D,
148.5875,DUMARESQ,-30.377312,151.601147,16K0F2D,
148.5875,BEN LOMOND,-30.007480,151.683440,16K0F2D,
148.5875,DINGO FOREST,-31.660760,152.142490,16K0F2D,
148.5875,TALOUMBI,-29.585045,153.277150,16K0F2D,
148.5875,CROOKWELL,-34.384948,149.473164,16K0F2D,
148.5875,FOREST HILL,-30.945012,151.395784,16K0F2D,
148.5875,GOODOOGA,-29.113965,147.453383,16K0F2D,
148.5875,BALRANALD,-34.556750,143.586098,16K0F2D,
148.5875,McCullys Gap,-32.206253,150.986465,16K0F2D,
148.5875,BENANDARAH,-35.630823,150.221139,16K0F2D,
148.5875,MUDGEE,-32.652818,149.842918,16K0F2D,
148.5875,GRIFFITH,-34.291814,146.056996,16K0F2D,
148.5875,BOOROWA,-34.421647,148.750124,16K0F2D,
148.5875,COONABARABRAN,-31.346311,149.026186,16K0F2D,
124.45,STATEWIDE,0.0,0.0,6K00A3E,
148.5875,YATTEYATTAH,-35.245208,150.437983,16K0F2D,
161.4,NATTAI,-34.0686,150.441870,10K1F2D,
148.5875,MUNGINDI,-28.966094,149.048418,16K0F2D,
148.5875,WINIFRED,-36.519586,149.343902,16K0F2D,
413.1875,WAMBOIN PLAINS,-31.754994,148.926587,10K1F3E,
148.5875,Sydney Olympic Park,-33.844533,151.074899,16K0F2D,
161.15,Sydney Olympic Park,-33.844533,151.074899,10K1F3E,
161.075,STATEWIDE,0.0,0.0,10K1F3E,
152.4625,HORNSBY HEIGHTS,-33.676480,151.097197,10K0F2D,
152.4625,ABERDEEN,-32.142888,150.781429,10K0F2D,
152.4625,KATOOMBA,-33.709418,150.300275,10K0F2D,
461.31875,HASSANS WALLS,-33.505920,150.1478,10K1F2D,
413.3125,ROTO,-33.046976,145.395078,10K1F3E,
413.3375,MT BRANDON,-29.589231,148.492519,10K1F3E,
148.5875,PATONGA,-33.546171,151.270015,16K0F2D,
148.5875,McCullys Gap,-32.206302,150.986466,16K0F2D,
461.11875,GOONELLABAH,-28.822242,153.317369,10K1F2D,
148.5875,KOOLKHAN,-29.622185,152.929827,16K0F2D,
148.5875,BOURNEWOOD,-32.732480,148.768160,16K0F2D,
418.375,WARREN,-31.696265,147.839466,10K1F3E,
148.5875,GRUNDY MTN,-31.326561,151.655579,16K0F2D,
148.5875,MEGALONG VALLEY,-33.787733,150.260525,16K0F2D,
77.8875,STATEWIDE,0.0,0.0,10K1F3E,
148.5875,MATHOURA,-35.800230,144.900311,16K0F2D,
148.5875,MOOLBONG,-33.352478,144.962907,16K0F2D,
148.5875,BUMBALDRY,-33.832987,148.378813,16K0F2D,
148.5875,WESTBROOK,-32.400837,151.248605,16K0F2D,
148.5875,SWAN HILL,-35.332614,143.612642,16K0F2D,
148.5875,DENILIQUIN,-35.537275,144.944354,16K0F2D,
148.5875,NABIAC,-32.060282,152.377668,16K0F2E,
148.5875,BILGOLA PLATEAU,-33.643139,151.313738,16K0F2D,
413.2875,BURREN JUNCTION,-30.110937,148.976155,10K1F3E,
413.15,PILLIGA,-30.352201,148.883320,10K1F3E,
413.3375,BALRANALD,-34.556750,143.586098,10K1F3E,
148.5875,NEWCASTLE,-32.890673,151.538615,16K0F2D,
161.0875,PRESTONS,-33.955908,150.880973,10K1F3E,
161.3625,NARRELAN,-34.044719,150.734276,10K1F3E,
148.5875,BUNGENDORE,-35.255053,149.440243,16K0F2D,
148.5875,MOUNT GEORGE,-32.538270,151.524872,16K0F2D,
148.5875,ELLSMORE,-34.579534,150.209004,16K0F2D,
413.3625,COBAR,-31.928392,145.094724,10K1F3E,
152.4625,KATOOMBA,-33.710004,150.3003,10K1F2D,
78.9875,RAZORBACK RANGE,-34.147242,150.670770,10K1F3E,
78.8,COWAN,-33.578404,151.184432,10K1F3E,
78.825,HILLSIDE,-33.599733,150.975762,10K1F3E,
148.5875,PEAK ALONE,-36.303791,149.783906,16K0F2D,
148.5875,BARRABA,-30.222172,150.493916,16K0F2D,
148.5875,WAKOOL,-35.469138,144.396322,16K0F2D,
148.5875,GRANTS HEAD,-31.599101,152.841395,16K0F2D,
148.5875,OBERON,-33.702760,149.839370,16K0F2D,
148.5875,Dark Corner,-33.297050,149.877273,16K0F2D,
148.5875,WISEMANS FERRY,-33.398767,150.984909,16K0F2D,
148.5875,CANBERRA,-35.094459,149.083737,16K0F3E,
148.5875,BOAMBEE,-30.333075,153.033031,16K0F2D,
148.5875,KORORA,-30.257338,153.109399,16K0F3E,
148.5875,COFFS HARBOUR,-30.290328,153.112867,16K0F3E,
