frequency,location,lat,lon,mode,alphatag
420.0125,MOREE,-29.470596,149.750975,10K1F9W,
420.0875,DUMARESQ,-30.377312,151.601147,10K1F9W,
420.2375,MT RAGAN,-33.288634,149.266485,10K1F9W,
420.05,KERRS CREEK,-33.091690,149.138570,10K1F9W,
420.1,UAMBI,-29.830980,151.087092,10K1F9W,
422.05,MOONBI TRIG,-30.946168,151.145191,10K1F9W,
424.1,COLO HEIGHTS,-33.238824,150.648146,10K1F9W,
424.075,KURRAJONG HEIGHTS,-33.520252,150.620627,10K1F9W,
420.0875,MT DUVAL,-30.406347,151.636895,10K1F9W,
420.15,BENDEMEER,-30.747984,151.199643,10K1F9W,
420.0625,EUSTON,-34.526662,142.809797,10K1F9W,
420.0375,ARUMPO,-33.890111,142.649972,10K1F9W,
420.0125,ARUMPO,-33.218746,143.628896,10K1F9W,
420.025,CONARGO,-35.307335,145.180242,10K1F9W,
420.0125,MOAMA,-36.031309,144.797561,10K1F9W,
422.05,MT DELEGATE,-37.111912,148.898146,10K1F9W,
420.025,LITTLE TOPAR,-31.585810,142.799660,10K1F9W,
420.0125,BROKEN HILL,-31.080449,141.446298,10K1F9W,
420.1875,BOONA MTN,-32.656487,147.144526,10K1F9W,
422.0875,COPELAND,-31.972415,151.809048,10K1F9W,
424.0375,NELSON BAY,-32.731550,152.131310,10K1F9W,
422.1,BETHUNGRA,-34.820303,147.901399,10K1F9W,
420.1125,BULLOC HILL,-35.357989,147.157980,10K1F9W,
420.0125,KYEAMBA,-35.494368,147.612125,10K1F9W,
420.0125,TRUNDLE,-32.771097,147.576671,10K1F9W,
420.0125,HAY,-34.509236,144.842370,10K1F9W,
424.125,WARREN,-31.231245,147.631628,10K1F9W,
420.025,NYNGAN,-31.564355,147.194560,10K1F9W,
420.25,MOGRIGUY,-32.053404,148.629270,10K1F9W,
420.1125,DUBBO,-32.215428,148.570351,10K1F9W,
420.1,DUBBO,-32.344905,148.381825,10K1F9W,
420.1375,COONABARABRAN,-31.346311,149.026186,10K1F9W,
422.1,MULLUMBIMBY,-28.533883,153.407368,10K1F9W,
420.0125,BENANDARAH,-35.630823,150.221139,10K1F9W,
148.5875,HASSANS WALLS,-33.505920,150.1478,16K0F2D,
148.5875,SADDLEBACK MOUNTAIN,-34.698339,150.792174,16K0F2D,
420.25,TUENA,-33.992034,149.301967,10K1F9W,
420.0125,CROOKWELL,-34.384948,149.473164,10K1F9W,
420.0125,BOURKE,-29.272341,145.657863,10K1F9W,
422.05,BOURKE,-30.198581,146.239669,10K1F9W,
420.2125,MURRURUNDI,-31.728004,150.843170,10K1F9W,
422.0875,ALECTOWN,-32.902960,148.381510,10K1F9W,
148.5875,ROSELANDS,-33.931188,151.075262,16K0F2D,
422.0375,REIDS FLAT,-34.105163,148.938280,10K1F9W,
420.075,BARRABA,-30.222172,150.493916,10K1F9W,
420.05,MUNGINDI,-28.966094,149.048418,10K1F9W,
422.1875,BUSBYS FLAT,-29.126510,152.739950,10K1F9W,
420.1625,MT MOLOGONE,-33.695126,146.260675,10K1F9W,
422.1375,NEVILLE,-33.645628,149.181726,10K1F9W,
422.0125,WYANGALA,-33.915773,148.942737,10K1F9W,
420.1375,CLARKE TRIG,-33.570109,149.326133,10K1F9W,
422.025,SOMERSBY,-33.398017,151.295740,10K1F9W,
420.2375,GRUNDY MTN,-31.326561,151.655579,10K1F9W,
420.175,NARRANDERA,-34.751195,146.567489,10K1F9W,
415.525,NSW-WIDE,-31.9737,147.7538,10K1F3E,
426.0875,NSW-WIDE,-31.9737,147.7538,10K1F3E,
422.0625,SANDY HILL,-28.949155,152.307429,10K1F9W,
148.5875,CORRABARE,-32.978419,151.246156,16K0F2D,
148.5875,NEWCASTLE,-32.890673,151.538615,16K0F2D,
420.1625,HANGING ROCK,-31.446691,151.206093,10K1F9W,
420.1625,DEUA,-35.976375,149.858842,10K1F9W,
420.1125,MENINDEE,-32.189089,142.971598,10K1F9W,
420.1375,WANGANELLA,-35.037477,144.456371,10K1F9W,
420.075,MOULAMEIN,-35.075451,144.035401,10K1F9W,
420.0375,SWAN HILL,-35.332614,143.612642,10K1F9W,
420.175,LAKE CARGELLIGO,-33.365554,146.215951,10K1F9W,
420.1375,UPPER MYALL,-32.258520,152.120421,10K1F9W,
422.1,MIDDLE BROTHER,-31.705857,152.673626,10K1F9W,
422.0125,NABIAC,-32.060282,152.377668,10K1F9W,
420.125,MT BECKHAM,-34.478201,147.013896,10K1F9W,
422.1875,BATLOW,-35.495522,148.009957,10K1F9W,
422.05,TOOMA,-35.898127,147.9491,10K1F9W,
422.0375,MT YOUNGAL,-36.394897,148.118761,10K1F9W,
420.2125,CARRATHOOL,-34.426468,145.428541,10K1F9W,
422.0375,WAMBOIN PLAINS,-31.754994,148.926587,10K1F9W,
420.15,COOLAH,-31.681772,149.838814,10K1F9W,
422.0875,GUNNEDAH,-31.024321,150.191778,10K1F9W,
420.1,BETHUNGRA,-34.820303,147.901399,10K1F9W,
148.5875,MADDENS PLAINS,-34.263419,150.954547,16K0F2D,
148.5875,WENTWORTH FALLS,-33.753987,150.371969,16K0F2D,
420.225,NARRAWA,-34.394193,149.111691,10K1F9W,
422.0625,YANNERGEE,-31.5060,150.0179,10K1F9W,
422.025,COLLAROY,-32.132921,150.159138,10K1F9W,
420.125,MT HYLAND,-30.165961,152.430917,10K1F9W,
420.225,LAKE BATHURST,-35.043851,149.599683,10K1F9W,
420.1625,BIGGA,-34.160731,149.238193,10K1F9W,
420.0875,COLLERINA,-29.407405,146.685475,10K1F9W,
422.0875,BINALONG,-34.513127,148.658055,10K1F9W,
420.25,WERRIS CREEK,-31.301876,150.685618,10K1F9W,
420.025,SPRINGBROOK,-28.234454,153.289775,10K1F9W,
424.125,PALING YARDS,-34.145626,149.749788,10K1F9W,
422.05,TUBBUL,-34.224005,147.884545,10K1F9W,
422.0875,TEANGHI HILL,-30.226685,152.146876,10K1F9W,
420.1125,MOUNT RUMBEE,-29.959284,151.605113,10K1F9W,
420.025,CANOBOLAS,-33.345570,148.9811,10K1F9W,
420.0375,WOODENBONG,-28.386095,152.643634,10K1F9W,
420.1625,GIBRALTAR RANGE,-29.649805,152.140832,10K1F9W,
420.1,ACACIA PLATEAU,-28.394714,152.325308,10K1F9W,
424.25,SIMPSONS HILL,-33.410171,150.998043,10K1F9W,
422.0625,BUCKETTY,-33.138309,151.202095,10K1F9W,
424.175,COWAN,-33.578404,151.184432,10K1F9W,
424.15,BAR POINT,-33.484552,151.159314,10K1F9W,
422.225,WAHROONGA,-33.733869,151.099709,10K1F9W,
420.0625,CURRICABARK,-31.727410,151.7158,10K1F9W,
420.05,DINGO FOREST,-31.660760,152.142490,10K1F9W,
422.2,DARLINGTON POINT,-34.648569,146.034012,10K1F9W,
420.2,DARLINGTON POINT,-34.576441,145.486078,10K1F9W,
420.2,BOXERS CREEK,-34.784704,149.914190,10K1F9W,
148.5875,GLENBROOK,-33.774832,150.627753,16K0F2D,
148.5875,HELENSBURGH,-34.169084,150.969656,16K0F2D,
422.2125,BALD HILL,-35.303827,149.393950,10K1F9W,
420.0875,POONCARIE,-33.504323,142.094387,10K1F9W,
420.075,COOMEALLA,-34.0845,142.0149,10K1F9W,
420.025,BALRANALD,-34.556890,143.587609,10K1F9W,
420.1875,PINE LODGE,-35.691643,145.397068,10K1F9W,
420.125,BUNNALOO,-35.781038,144.593693,10K1F9W,
420.1125,WAUGORAH,-34.489766,143.849585,10K1F9W,
420.2,MOUNT PERISHER,-36.409247,148.386895,10K1F9W,
420.025,BROKEN HILL,-32.048149,141.171758,10K1F9W,
424.25,COBAR,-31.559547,145.878973,10K1F9W,
424.025,EREMERANG,-32.587990,146.4240,10K1F9W,
424.0125,COBAR,-31.928392,145.094724,10K1F9W,
420.175,KIMBRIKI,-31.922141,152.181657,10K1F9W,
420.025,PEPPERS MOUNTAIN,-32.329098,151.958812,10K1F9W,
420.2375,COONABARABRAN,-31.274154,149.059980,10K1F9W,
420.15,MAUDE,-34.457443,144.349969,10K1F9W,
420.1375,RANKIN SPRINGS,-33.839107,146.217385,10K1F9W,
420.075,WELLINGTON,-32.425676,149.104091,10K1F9W,
420.075,CANGAI EAST,-29.613986,152.479179,10K1F9W,
420.1125,BYRON BAY,-28.678457,153.597442,10K1F9W,
420.15,BEWONG,-35.063116,150.554399,10K1F9W,
420.1375,SASSAFRAS,-35.093343,150.242190,10K1F9W,
422.025,WOOMARGAMA,-35.802137,147.253658,10K1F9W,
420.1625,YOUNG,-34.373760,148.277170,10K1F9W,
422.0125,ABERDEEN,-32.142888,150.781429,10K1F9W,
420.25,WERRIS CREEK,-31.320891,150.749280,10K1F9W,
422.0625,TEMAGOG,-31.042475,152.573389,10K1F9W,
422.0125,COFFS HARBOUR,-30.219255,153.053358,10K1F9W,
420.1,NORTH  BOURKE,-29.660820,145.711535,10K1F9W,
420.075,YANTABULLA,-29.355460,145.214918,10K1F9W,
420.025,WANAARING,-29.737059,144.720724,10K1F9W,
420.1,BOOROOMA,-30.030625,147.469038,10K1F9W,
422.025,NEW YEARS RANGE,-30.473960,146.844915,10K1F9W,
422.0875,MT BECKHAM,-34.478201,147.013896,10K1F9W,
424.0375,MOUNT TOMAH,-33.556582,150.421741,10K1F9W,
424.1125,MOUNT LAMBIE,-33.471397,149.988367,10K1F9W,
420.225,HASSANS WALLS,-33.499938,150.1497,10K1F9W,
420.15,NARRAWA,-34.394193,149.111691,10K1F9W,
420.0625,YOUNG,-34.373760,148.277170,10K1F9W,
420.25,EBOR,-30.491067,152.320284,10K1F9W,
