frequency,location,lat,lon,mode,alphatag
470.4,HEATHCOTE,-34.084850,151.016259,10K1F9W,
472.15,ORCHARD HILLS,-33.809149,150.764358,10K1F9W,
466.6875,RED HILL,-35.324128,149.112480,10K1F9W,
466.6875,SEABIRD,-31.174325,115.501616,10K1F9W,
466.6875,BELLERIVE,-42.876267,147.375309,10K1F9W,
466.6875,OAK HILL,-35.141645,149.149501,10K1F9W,
464.7125,MOUNT COOT-THA,-27.463175,152.947118,10K1F9W,
79.5125,HOMEBUSH BAY,-33.846872,151.064854,10K1F3E,
79.525,COFFS HARBOUR,-30.306738,153.127967,10K1F3E,
412.1,MURWILLUMBAH,-28.322389,153.392533,10K1F3E,
411.4,MOORE PARK,-33.891165,151.224087,10K1F3E,
411.4,BIRCHGROVE,-33.850189,151.180786,10K1F3E,
78.6875,SUGARLOAF STATE CONSERVATION AREA,-32.944671,151.515857,10K1F3E,
412.1,JUNEE,-34.858229,147.571362,10K1F3E,
412.1,COOMA,-36.239975,149.120721,10K1F3E,
411.4,COFFS HARBOUR,-30.292849,153.119942,10K1F3E,
472.2,PYMBLE,-33.763184,151.135663,10K1F9W,
411.4,PALM BEACH,-33.591761,151.324803,10K1F3E,
472.2,COONABARABRAN,-31.277680,149.2785,10K1F9W,
470.15,BOWRAL,-34.464574,150.428225,10K1F9W,
412.1,Bathurst,-33.415511,149.601004,16K0F3E,
470.4,HURSTVILLE,-33.964260,151.093950,10K1F9W,
411.4,RANDWICK,-33.907306,151.229095,10K1F3E,
412.1,BYRON BAY,-28.646279,153.617508,10K1F3E,
411.4,SINGLETON,-32.568782,151.170213,10K1F3E,
411.4,ULTIMO,-33.877825,151.194092,10K1F3E,
412.1,CENTENNIAL PARK,-33.896305,151.234167,10K1F3E,
412.1,INVERELL,-29.784318,151.120458,10K1F3E,
412.1,BALLINA,-28.865207,153.554560,10K1F3E,
411.4,WENTWORTH FALLS,-33.707477,150.370691,10K1F3E,
412.1,HAWKESBURY,-33.611156,150.780639,10K1F3E,
411.4,MACQUARIE PARK,-33.777235,151.138230,10K1F3E,
412.1,BUNGENDORE,-35.242647,149.411170,10K1F3E,
472.2,TAHMOOR,-34.219464,150.576185,10K1F9W,
472.15,PENNANT HILLS,-33.742954,151.079605,10K1F9W,
472.2,WENTWORTH FALLS,-33.707477,150.370691,10K1F9W,
472.15,SUTHERLAND,-34.041523,151.055114,10K1F9W,
472.2,PENRITH,-33.757159,150.683691,10K1F9W,
472.15,PENRITH,-33.723135,150.671431,10K1F9W,
472.2,HEATHCOTE,-34.088354,151.008786,10K1F9W,
472.15,NSW-WIDE,-31.9737,147.7538,10K1F9W,
412.1,MORUYA,-35.916674,150.079158,10K1F3E,
412.1,BLAXLAND,-33.750703,150.610413,10K1F3E,
411.4,YOUNG,-34.314492,148.315661,10K1F3E,
412.1,PARAMATTA,-33.807567,151.000454,10K1F3E,
79.525,BONDI JUNCTION,-33.8916,151.250136,10K1F3E,
79.525,BLAXLAND,-33.750703,150.610413,10K1F3E,
412.1,GRAFTON,-29.685808,152.940252,10K1F3E,
411.4,COOMA,-36.239975,149.120721,10K1F3E,
472.2,KATOOMBA,-33.731294,150.298813,10K1F9W,
412.1,WOLLONGONG,-34.426938,150.902882,10K1F3E,
472.2,WAGGA WAGGA,-35.125931,147.352455,10K1F9W,
412.1,PALM BEACH,-33.591761,151.324803,10K1F3E,
412.1,HORSLEY PARK,-33.846938,150.857301,10K1F3E,
411.4,Cowra,-33.832214,148.676277,10K1F3E,
472.15,Cowra,-33.832214,148.676277,10K1F9W,
412.1,COONABARABRAN,-31.277680,149.2785,16K0F3E,
411.4,NEWCASTLE WEST,-32.929740,151.759312,16K0F3E,
411.4,Bathurst,-33.415511,149.601004,16K0F3E,
411.4,KIAMA,-34.675907,150.854293,10K1F3E,
78.6875,BLAXLAND,-33.750703,150.610413,10K1F3E,
462.85,COFFS HARBOUR,-30.219255,153.053358,10K1F9W,
411.4,KATOOMBA,-33.731294,150.298813,10K1F3E,
412.1,HEATHCOTE,-34.088354,151.008786,10K1F3E,
412.1,CHERRYBROOK,-33.719418,151.044531,10K1F3E,
411.4,TAHMOOR,-34.219464,150.576185,10K1F3E,
411.4,BUNGENDORE,-35.242647,149.411170,10K1F3E,
411.4,ALBURY,-36.063699,146.935739,10K1F3E,
472.15,ORAN PARK,-34.009218,150.729655,10K1F9W,
472.2,LAWSON,-33.7238,150.432178,10K1F9W,
472.15,CAMDEN,-34.054517,150.692008,10K1F9W,
472.2,CAMDEN,-34.054517,150.692008,10K1F9W,
472.2,PENRITH,-33.723135,150.671431,10K1F9W,
472.15,LAPSTONE,-33.771980,150.635605,10K1F9W,
472.15,HORNSBY HEIGHTS,-33.676480,151.097197,10K1F9W,
465.9875,NSW-WIDE,-31.9737,147.7538,10K1F9W,
466.6875,YULARA,-25.237690,130.986932,10K1F9W,
464.7125,BRISBANE,-27.470269,153.030363,10K1F9W,
412.1,MUSWELLBROOK,-32.278923,150.896418,10K1F3E,
411.4,BLACKTOWN,-33.766653,150.900889,10K1F3E,
411.1,PARAMATTA,-33.807567,151.000454,10K1F3E,
411.4,ROSEHILL,-33.824043,151.023461,10K1F3E,
412.1,RANDWICK,-33.907306,151.229095,10K1F3E,
84.15,TAMWORTH,-31.107557,150.898733,16K0F3E,
78.6875,SADDLEBACK MOUNTAIN,-34.698130,150.791728,10K1F3E,
462.85,MT PANORAMA,-33.458986,149.547605,10K1F9W,
84.1125,NSW-WIDE,-31.9737,147.7538,10K1F3E,
79.525,MT PANORAMA,-33.458986,149.547605,10K1F3E,
411.4,WAGGA WAGGA,-35.125931,147.352455,10K1F3E,
412.1,SURRY HILLS,-33.878685,151.211047,10K1F3E,
411.4,PRAIRIEWOOD,-33.866566,150.904445,10K1F3E,
411.4,FAIRFIELD,-33.874321,150.962013,10K1F3E,
412.1,EASTERN CREEK,-33.803437,150.870570,10K1F3E,
472.2,Cowra,-33.832214,148.676277,10K1F9W,
412.1,KIAMA,-34.675907,150.854293,10K1F3E,
412.1,BRUNSWICK HEADS,-28.547932,153.545478,10K1F3E,
412.1,BROKEN HILL,-31.955997,141.449011,10K1F3E,
411.4,BOWRAL,-34.482216,150.425020,10K1F3E,
411.4,ARMIDALE,-30.515147,151.674980,10K1F3E,
412.1,SINGLETON,-32.568782,151.170213,10K1F3E,
411.4,INVERELL,-29.784318,151.120458,10K1F3E,
411.4,LAWSON,-33.7238,150.432178,10K1F3E,
412.1,LAWSON,-33.7238,150.432178,10K1F3E,
412.1,WENTWORTH FALLS,-33.707477,150.370691,10K1F3E,
412.1,KATOOMBA,-33.731294,150.298813,10K1F3E,
411.4,PENRITH,-33.723135,150.671431,10K1F3E,
412.1,PENRITH,-33.723135,150.671431,10K1F3E,
411.4,CAMDEN,-34.054517,150.692008,10K1F3E,
412.1,LOWER PORTLAND,-33.455253,150.903297,10K1F3E,
412.1,ORAN PARK,-34.009218,150.729655,10K1F3E,
411.4,MAITLAND,-32.745709,151.561598,10K1F3E,
79.5125,POKOLBIN,-32.763513,151.223085,10K1F3E,
472.2,LAPSTONE,-33.771980,150.635605,10K1F9W,
472.15,NSW-WIDE,-31.9737,147.7538,10K1F9W,
466.6875,MT HOTHAM,-36.975218,147.128055,10K1F9W,
464.7125,FRANKSTON,-38.142289,145.121875,10K1F9W,
464.7125,MELBOURNE AIRPORT,-37.658025,144.831417,10K1F9W,
462.85,ADELAIDE,-34.924572,138.600830,10K1F9W,
412.1,ORANGE,-33.270481,149.111406,10K1F3E,
411.4,BLAXLAND,-33.750703,150.610413,10K1F3E,
411.4,GOSFORD,-33.423671,151.325351,10K1F3E,
412.1,GOSFORD,-33.423671,151.325351,10K1F3E,
412.1,ULLADULLA,-35.365944,150.463540,10K1F3E,
412.1,MOORE PARK,-33.891165,151.224087,10K1F3E,
79.525,SOMERSBY,-33.398017,151.295740,10K1F3E,
84.15,BROCKLEHURST,-32.177797,148.621724,16K0F3E,
412.1,FORSTER,-32.172011,152.492997,10K1F3E,
411.4,JUNEE,-34.858229,147.571362,10K1F3E,
412.1,GRIFFITH,-34.283258,146.029497,10K1F3E,
411.4,GRAFTON,-29.685808,152.940252,10K1F3E,
411.4,GOULBURN,-34.770150,149.718342,10K1F3E,
412.1,GOULBURN,-34.770150,149.718342,10K1F3E,
412.1,FORBES,-33.387228,147.997155,10K1F3E,
412.1,COFFS HARBOUR,-30.292849,153.119942,10K1F3E,
470.4,SADDLEBACK MOUNTAIN,-34.698130,150.791728,10K1F9W,
412.1,PYMBLE,-33.763184,151.135663,10K1F3E,
411.4,BALMAIN EAST,-33.857585,151.193103,10K1F3E,
472.15,COOTAMUNDRA,-34.639137,148.037755,10K1F9W,
411.4,WARWICK FARM,-33.913125,150.942163,16K0F3E,
470.15,COONABARABRAN,-31.346311,149.026186,10K1F9W,
412.1,BIRCHGROVE,-33.850189,151.180786,16K0F3E,
412.1,BURWOOD,-33.876670,151.105208,10K1F3E,
78.7,HORNSBY,-33.689879,151.100677,10K1F3E,
78.7,BEROWRA,-33.620876,151.146926,10K1F3E,
472.15,LOWER PORTLAND,-33.455253,150.903297,10K1F9W,
