frequency,location,lat,lon,mode,alphatag
468.7625,MEERSCHAUM VALE,-28.933665,153.422517,10K1F3E,
468.575,WOODBURN,-29.109753,153.258430,10K1F3E,
467.7125,GLOUCESTER,-32.106904,151.766755,10K1F3E,
467.6,SCOTIA,-33.021275,141.651824,10K1F3E,
467.6,WEREBOLDERA,-35.360444,148.216340,10K1F3E,
467.7,WENTWORTH,-33.898862,141.389991,10K1F1E,
468.45,ARUMPO,-33.890111,142.649972,10K1F1E,
469.5,COOKARDINIA,-35.556533,147.170655,10K1F3E,
469.71875,TAMWORTH,-31.074071,150.925250,16K0F3E,
467.7375,DUVAL,-30.403909,151.634486,10K1F3E,
422.8375,NSW-WIDE,-31.9737,147.7538,10K1F3E,
468.575,BARRACK HEIGHTS,-34.557579,150.846481,10K1F3E,
469.6,ECHUCA,-36.129906,144.724584,10K1F3E,
467.7,STONEY CROSSING,-35.100087,143.528858,10K1F3E,
467.6,BOMBALA,-36.931153,149.279401,10K1F3E,
467.7375,MOREE,-29.470596,149.750975,10K1F3E,
469.45,NARRABRI,-30.803078,149.484306,10K1F3E,
467.51875,NARRABRI,-30.329036,149.7859,16K0F3E,
469.45,SOUTH GRAFTON,-29.730995,152.921829,10K1F3E,
469.4125,MOUNT CRAWNEY,-31.587659,150.992754,10K1F3E,
468.225,GRUNDY MTN,-31.326561,151.655579,10K1F3E,
415.55,NSW-WIDE,-31.9737,147.7538,10K1F3E,
467.74375,NSW-WIDE,-31.9737,147.7538,25K0F9W,
468.775,COROWA,-35.994520,146.381070,10K1F3E,
469.05,BOOMI CREEK,-28.516180,152.623310,10K1F3E,
468.5625,GRIFFITH,-34.277103,146.057769,10K1F3E,
468.05,DORRIGO MOUNTAIN,-30.396516,152.688203,10K1F3E,
469.975,HARTWOOD,-35.366072,145.324627,10K1F3E,
468.775,ANABRANCH SOUTH,-34.018048,141.764968,10K1F3E,
468.7625,PERISHER VALLEY,-36.409109,148.386529,10K1F3E,
467.7625,HILLSTON,-33.539480,145.870175,10K1F3E,
467.625,GOOLGOWI,-33.980110,145.709460,10K1F3E,
469.6,COOTAMUNDRA,-34.629463,148.092289,10K1F3E,
469.6875,WOOMARGAMA,-35.933070,147.6001,10K1F3E,
468.375,POONCARIE,-33.385483,142.573841,10K1F3E,
468.325,POONCARIE,-33.504323,142.094387,10K1F3E,
468.2875,UPPER MYALL,-32.257231,152.120368,10K1F3E,
467.625,MT BOBBARA,-34.6398,148.5899,10K1F3E,
467.6,RYANS HILL,-35.807909,145.792865,10K1F3E,
467.9625,TUMORRAMA,-35.239366,148.500225,10K1F3E,
