frequency,location,lat,lon,mode,alphatag
415.4875,LITHGOW,-33.498768,150.127927,10K1F3E,
415.5375,GOULBURN,-34.743111,149.709702,10K1F3E,
413.075,MOUNT DRUITT,-33.765832,150.828985,10K1F3E,
415.5375,WOLLONGONG,-34.425512,150.883006,7K60FXE,
414.8875,RANDWICK,-33.918811,151.239142,10K1F1E,
426.125,BATHURST,-33.430381,149.567168,10K1F3E,
426.1,CAMDEN,-34.062345,150.694049,10K1F3E,
415.4875,BULLI,-34.335641,150.908238,7K60FXE,
415.5375,LISMORE,-28.809595,153.289744,10K1F3E,
426.125,CAMPBELLTOWN,-34.077870,150.806357,10K1F3E,
426.325,CAMPBELLTOWN,-34.077870,150.806357,10K1F3E,
413.0375,RANDWICK,-33.918811,151.239142,10K1F1E,
426.1,AIRDS,-34.088280,150.826280,10K1F3E,
467.575,LEWISHAM,-33.897374,151.146166,10K1F3E,
412.5375,WESTMEAD,-33.801370,150.991990,10K1F3E,
412.9625,WOY WOY,-33.4968,151.320932,10K1F3E,
412.9625,KILLARNEY VALE,-33.368881,151.468509,10K1F3E,
426.1,DUBBO,-32.227693,148.577724,10K1F3E,
415.2,RANDWICK,-33.918811,151.239142,10K1F1E,
168.34,TAMWORTH,-30.857039,150.505299,16K0F3E,
415.5375,LUCAS HEIGHTS,-34.051370,150.9787,10K1F3E,
415.4875,WERRINGTON,-33.764433,150.750859,10K1F3E,
469.525,GOULBURN,-34.747591,149.713303,10K1F1D,
467.6375,SOUTH GRAFTON,-29.726693,152.948448,10K1F3E,
163.95,TAMWORTH,-30.857039,150.505299,12K5FXW,
422.675,WOLLONGONG,-34.425512,150.883006,7K60FXE,
412.9625,BANKSTOWN,-33.911303,151.034890,10K1F3E,
413.325,KINGSWOOD,-33.759486,150.713665,10K1FXE,
415.5375,NOWRA,-34.868692,150.595711,7K60FXE,
413.275,NOWRA,-34.868692,150.595711,7K60FXE,
412.975,LISMORE,-28.809595,153.289744,10K1F3E,
422.675,LISMORE,-28.809595,153.289744,10K1F3E,
412.675,BERRY,-34.794061,150.703610,10K1F3E,
467.6375,CESSNOCK,-32.828209,151.332022,10K1F3E,
412.9375,RANDWICK,-33.918811,151.239142,10K1F1E,
