frequency,location,lat,lon,mode,alphatag
148.8125,BERRIDALE,-36.399452,148.739448,16K0F2D,
164.8125,VINCENTIA,-35.085058,150.678449,10K1F3E,
163.525,NELSON BAY,-32.731782,152.131062,10K1F3E,
164.6875,CANGAI EAST,-29.613986,152.479179,10K1F3E,
163.95,EBOR,-30.481464,152.392978,10K1F3E,
164.55,MOUNT MOONIMBA,-29.110836,153.258124,10K1F3E,
164.45,THE TOPS,-29.807612,150.278748,10K1F3E,
165.1375,EBOR,-30.481464,152.392978,10K1F3E,
164.0125,SANDY HOLLOW,-32.336627,150.486646,10K1F3E,
164.4,SYDNEY HARBOUR,-33.858384,151.257462,10K1F3E,
134.7,NSW-WIDE,-31.9737,147.7538,6K00A3E,
163.225,RICHLANDS,-34.286759,149.888741,10K1F3E,
162.7,NSW-WIDE,-31.9737,147.7538,10K1F3E,
119.6,PERISHER VALLEY,-36.405453,148.414461,6K00A3E,
164.1375,NSW-WIDE,-31.9737,147.7538,10K1F3E,
162.525,NSW-WIDE,-31.9737,147.7538,10K1F3E,
162.6375,NSW-WIDE,-31.9737,147.7538,10K1F3E,
162.6875,MT JINGELLIC,-35.932388,147.599889,10K1F3E,
163.45,MT YOUNGAL,-36.394897,148.118761,10K1F3E,
164.5625,MITTAGONG,-34.371084,150.335635,10K1F3E,
163.4375,MANGROVE MOUNTAIN,-33.288974,151.236658,10K1F3E,
164.6,HOWES VALLEY,-32.751897,150.865994,10K1F3E,
165.175,UPPER ALLYN,-32.126705,151.430340,10K1F3E,
162.0625,UPPER EDEN CREEK,-28.496430,152.878420,10K1F3E,
165.0,MOUNT KAPUTAR NATIONAL PARK,-30.278821,150.152139,10K1F3E,
161.175,NSW-WIDE,-31.9737,147.7538,10K1F3E,
162.525,NSW-WIDE,-31.9737,147.7538,10K1F3E,
163.3375,MATHOURA,-35.800230,144.900311,10K1F3E,
476.575,HOWES VALLEY,-32.751897,150.865994,16K0F3E,
162.7625,KOSCIUSZKO NATIONAL PARK,-35.873987,148.736664,10K1F3E,
162.325,HELENSBURGH,-34.170617,150.969881,10K1F3E,
163.6125,MT KEIRA,-34.401865,150.856681,10K1F3E,
162.375,BOCOBLE,-32.806630,149.750663,10K1F3E,
162.35,MEGALONG VALLEY,-33.787733,150.260525,10K1F3E,
164.5625,SANDY HOLLOW,-32.336627,150.486646,10K1F3E,
164.2125,MACLEAN,-29.355086,153.079786,10K1F3E,
164.5125,YABBRA,-28.621165,152.510042,10K1F3E,
164.675,TENTERFIELD,-28.801597,152.133239,10K1F3E,
163.0875,ATHOLWOOD,-29.063288,151.102397,10K1F3E,
164.475,TENTERFIELD,-29.086035,151.966834,10K1F3E,
164.475,WELLINGTON,-32.425676,149.104091,10K1F3E,
163.875,GWABEGAR,-30.598105,149.027098,10K1F3E,
163.825,NARRABRI,-30.803078,149.484306,10K1F3E,
163.1375,MT CENN CRUAICH,-31.342526,149.023751,10K1F3E,
163.975,DANDRY,-31.043984,149.372045,10K1F3E,
162.8125,BUDAWANG,-35.479975,149.995640,10K1F3E,
130.65,HOWES VALLEY,-32.751897,150.865994,6K00A3E,
122.85,NSW-WIDE,-31.9737,147.7538,6K00A3E,
125.45,NSW-WIDE,-31.9737,147.7538,6K00A3E,
461.86875,YALWAL,-34.905891,150.411230,10K1F2D,
461.95625,MT PERISHER,-36.409533,148.386463,12K5F2D,
163.2375,KERRS CREEK,-33.091690,149.138570,10K1F3E,
162.7,NSW-WIDE,-31.9737,147.7538,10K1F3E,
163.85,DEUA,-35.976375,149.858842,10K1F3E,
164.8,JERANGLE,-35.947945,149.510779,10K1F3E,
162.55,ELLSMORE TOWER,-34.586576,150.212469,10K1F3E,
162.1,BUDAWANG,-35.479975,149.995640,10K1F3E,
164.125,NSW-WIDE,-31.9737,147.7538,10K1F3E,
164.725,MOUNT ADRAH,-35.2214,147.834915,10K1F3E,
162.65,MT BLACK JACK,-35.974939,148.313252,10K1F3E,
162.3125,KINGS CROSS,-33.875899,151.222911,10K1F3E,
165.025,SUNNY CORNER,-33.382916,149.900188,10K1F3E,
163.7625,MT YOUNGAL,-36.394897,148.118761,10K1F3E,
