frequency,location,lat,lon,mode,alphatag
165.0625,WILCANNIA,-30.630090,143.346941,10K1F3E,
165.075,WHITE CLIFFS,-30.850526,143.097148,10K1F3E,
165.1875,MAC CULLOCHS RANGE,-31.685921,143.836525,10K1F3E,
165.0875,MADDENS PLAINS,-34.263419,150.954547,10K1F3E,
165.0875,SNOWY PLAIN,-36.064313,148.568250,10K1F3E,
165.1625,HAY,-34.498080,144.844625,10K1F3E,
165.1875,MAUDE,-34.6429,144.195830,10K1F3E,
165.125,LITTLE TOPAR,-31.585810,142.799660,10K1F3E,
165.0875,MOUNT CRAWNEY,-31.587432,150.993034,10K1F3E,
165.1625,MCLEODS SHOOT,-28.660016,153.560704,10K1F3E,
165.1125,WOLUMLA PEAK,-36.8638,149.729158,10K1F3E,
165.1125,BOOBEROI HILLS,-33.844157,147.375483,10K1F3E,
165.1125,DENILIQUIN,-35.646940,144.903147,10K1F3E,
162.925,DEEPWATER,-29.376913,152.009964,10K1F3E,
165.075,MT YOUNGAL,-36.394897,148.118761,10K1F3E,
165.125,BOOLIGAL,-33.768224,144.886353,10K1F3E,
426.2375,Bell,-33.548713,150.396370,10K1F1E,
165.0875,MENINDEE,-32.022143,142.255398,10K1F3E,
165.1125,MOUNT DERING,-31.485835,141.612876,10K1F3E,
165.0625,TIBOOBURRA,-29.431101,142.008881,10K1F3E,
165.1125,URISINO,-29.707659,143.681896,10K1F3E,
165.1625,WILCANNIA,-31.554641,143.375648,10K1F3E,
165.1875,BARRAT TRIG,-34.470954,146.634574,10K1F3E,
162.9375,MT YAVEN,-35.221267,147.834696,10K1F3E,
162.925,SADDLEBACK MOUNTAIN,-34.698130,150.791728,10K1F3E,
165.075,BROOMAN,-35.452467,150.320570,10K1F3E,
165.1875,TURPENTINE RANGE,-35.102770,150.407812,10K1F3E,
165.15,PEAK ALONE,-36.303791,149.783906,10K1F3E,
165.1125,BANGALORE TRIG,-34.865699,149.613593,10K1F3E,
422.8375,Bathurst,-33.413267,149.544342,10K1F1E,
426.2375,Bathurst,-33.413267,149.544342,10K1F1E,
415.4875,MARULAN,-34.704503,150.015295,10K1F3E,
162.925,KYEAMBA,-35.502423,147.558358,10K1F3E,
165.075,CANGAI EAST,-29.613986,152.479179,10K1F3E,
165.075,TUMUT,-35.227335,148.125627,10K1F3E,
165.1125,EUSTON,-34.526662,142.809797,10K1F3E,
468.475,WYMAH,-36.037643,147.266981,10K1F3E,
426.2375,Blackheath,-33.617127,150.274382,10K1F1E,
422.8375,Bell,-33.548713,150.396370,10K1F1E,
165.1625,PACKSADDLE HILL,-30.577267,141.975425,10K1F3E,
165.175,WANGANELLA,-35.054370,144.814363,10K1F3E,
165.125,MILPARINKA,-29.913353,141.563970,10K1F3E,
165.0875,WHITE CLIFFS,-30.268445,143.596532,10K1F3E,
165.1625,URALLA,-30.733264,151.485049,10K1F3E,
165.1875,WARDELL,-28.968011,153.416847,10K1F3E,
165.0625,SANDY HILL,-28.949079,152.306979,10K1F3E,
165.0875,EUBERTA,-35.073466,147.271995,10K1F3E,
165.125,MT CRACKENBACK,-36.493124,148.287472,10K1F3E,
165.0875,CAIRNCROSS,-31.341013,152.682993,10K1F3E,
165.0625,DARLINGTON POINT,-34.576441,145.486078,10K1F3E,
165.1625,BLACK TRIG,-34.818539,148.728567,10K1F3E,
165.1625,BOMADERRY,-34.788481,150.542204,10K1F3E,
162.925,MIDDLE BROTHER,-31.705886,152.674238,10K1F3E,
162.925,MT ROBERTS,-35.983232,149.025707,10K1F3E,
422.8375,Blackheath,-33.617127,150.274382,10K1F1E,
165.075,WENDI,-32.552248,141.775810,10K1F3E,
165.1625,YAMBA TRIG,-35.772837,147.070730,10K1F3E,
165.0875,TIN MINE TRIG,-29.630833,151.904328,10K1F3E,
165.0625,BROKEN HILL,-31.974577,141.454506,10K1F3E,
162.9375,SAPPHIRE,-30.232470,153.126415,10K1F3E,
165.0625,TALBINGO,-35.6163,148.331463,10K1F3E,
165.075,BALRANALD,-34.635630,143.561728,10K1F3E,
426.2375,Dawes Point,-33.854535,151.209271,10K1F1E,
422.8375,Dawes Point,-33.854535,151.209271,10K1F1E,
165.1875,WHITE CLIFFS,-30.156679,142.893153,10K1F3E,
165.0875,GOOLGOWI,-33.980110,145.709460,10K1F3E,
165.075,MAIRJIMMY,-35.474606,145.732565,10K1F3E,
468.8375,SYDNEY,-33.849270,151.212903,10K1F3E,
