frequency,location,lat,lon,mode,alphatag
419.3875,ROUSE HILL,-33.683448,150.901726,10K1F9W,
419.4625,WENTWORTH FALLS,-33.731144,150.387085,10K1F9W,
418.6375,DAYMAR,-28.650347,149.176225,10K1F9W,
419.1125,EREMERANG,-32.587852,146.424103,10K1F9W,
419.6125,EREMERANG,-32.587852,146.424103,10K1F9W,
422.0875,WILCANNIA,-30.630390,143.346210,10K1F9W,
422.3375,WILCANNIA,-30.630390,143.346210,10K1F9W,
423.5875,WILCANNIA,-30.630390,143.346210,10K1F9W,
419.85,EUCHAREENA,-32.895218,149.137665,10K1F9W,
419.225,SQUARE HEAD,-34.551392,146.610277,10K1F9W,
419.5375,CONJOLA,-35.245208,150.437983,10K1F9W,
419.7875,CONJOLA,-35.245208,150.437983,10K1F9W,
418.7875,CONJOLA,-35.245208,150.437983,10K1F9W,
418.5375,CONJOLA,-35.245208,150.437983,10K1F9W,
419.5125,WYANGALA,-33.916091,148.942775,10K1F9W,
419.7625,WYANGALA,-33.916091,148.942775,10K1F9W,
419.75,NAROOMA,-36.220952,150.132198,10K1F9W,
418.8875,YAMBULLA,-37.117778,149.505767,10K1F9W,
419.1375,YAMBULLA,-37.117778,149.505767,10K1F9W,
418.7375,TUENA,-33.992034,149.301967,10K1F9W,
419.4875,TUENA,-33.992034,149.301967,10K1F9W,
418.8125,DUNEDOO,-32.021736,149.394512,10K1F9W,
418.6125,PARRAMATTA,-33.814269,151.001194,10K1F9W,
418.8625,PARRAMATTA,-33.814269,151.001194,10K1F9W,
421.6125,PARRAMATTA,-33.814269,151.001194,10K1F9W,
422.35,MURRAY DOWNS,-35.331944,143.612220,10K1F9W,
423.85,MURRAY DOWNS,-35.331944,143.612220,10K1F9W,
419.3875,MULWALA,-35.997808,145.996998,10K1F9W,
418.85,WENTWORTH,-33.898862,141.389991,10K1F9W,
423.0875,MILDURA,-34.191993,142.169039,10K1F9W,
420.425,CONIMBIA,-30.633662,148.066130,10K1F9W,
420.675,CONIMBIA,-30.633662,148.066130,10K1F9W,
420.5125,SYDNEY,-33.867659,151.204806,10K1F9W,
420.2625,SYDNEY,-33.867659,151.204806,10K1F9W,
420.0125,SYDNEY,-33.867659,151.204806,10K1F9W,
420.7625,SYDNEY,-33.867659,151.204806,10K1F9W,
420.15,LEN WATERS ESTATE,-33.915120,150.854640,10K1F9W,
420.65,LEN WATERS ESTATE,-33.915120,150.854640,10K1F9W,
420.4,LEN WATERS ESTATE,-33.915120,150.854640,10K1F9W,
420.325,Glendenning,-33.746774,150.847935,10K1F9W,
420.575,Glendenning,-33.746774,150.847935,10K1F9W,
420.3625,Glendenning,-33.746774,150.847935,10K1F9W,
420.2375,Glendenning,-33.746774,150.847935,10K1F9W,
420.6125,Glendenning,-33.746774,150.847935,10K1F9W,
420.075,Glendenning,-33.746774,150.847935,10K1F9W,
420.7375,Glendenning,-33.746774,150.847935,10K1F9W,
420.1125,Glendenning,-33.746774,150.847935,10K1F9W,
420.4875,Glendenning,-33.746774,150.847935,10K1F9W,
420.6875,Crows Nest,-33.825234,151.199080,10K1F9W,
420.4375,Crows Nest,-33.825234,151.199080,10K1F9W,
420.1875,Crows Nest,-33.825234,151.199080,10K1F9W,
420.2875,Brookvale,-33.766268,151.264280,10K1F9W,
420.0375,Brookvale,-33.766268,151.264280,10K1F9W,
420.5375,Brookvale,-33.766268,151.264280,10K1F9W,
420.7875,Brookvale,-33.766268,151.264280,10K1F9W,
420.6875,EDMONSON PARK,-33.971772,150.857806,10K1F9W,
420.4375,EDMONSON PARK,-33.971772,150.857806,10K1F9W,
420.4,EDMONSON PARK,-33.971772,150.857806,787KXXX,
420.3875,TERREY HILLS,-33.683321,151.231409,10K1F9W,
420.6375,TERREY HILLS,-33.683321,151.231409,10K1F9W,
420.1375,TERREY HILLS,-33.683321,151.231409,10K1F9W,
420.2875,GUYRA,-30.216728,151.682732,10K1F9W,
420.7875,GUYRA,-30.216728,151.682732,10K1F9W,
420.5375,GUYRA,-30.216728,151.682732,10K1F9W,
420.7375,NARRAWA,-34.392340,149.114140,10K1F9W,
420.4875,NARRAWA,-34.392340,149.114140,10K1F9W,
420.2375,NARRAWA,-34.392340,149.114140,10K1F9W,
420.3625,Merrylands,-33.835187,150.989702,10K1F9W,
420.1125,Merrylands,-33.835187,150.989702,10K1F9W,
420.6125,Merrylands,-33.835187,150.989702,10K1F9W,
420.7125,Waterloo,-33.898106,151.200408,10K1F9W,
420.2125,Waterloo,-33.898106,151.200408,10K1F9W,
420.4625,Waterloo,-33.898106,151.200408,10K1F9W,
420.75,TOMALLA,-31.749893,151.422482,10K1F9W,
420.5,TOMALLA,-31.749893,151.422482,10K1F9W,
420.1875,WHITE CLIFFS,-30.155891,142.893758,10K1F9W,
420.6875,WHITE CLIFFS,-30.155891,142.893758,10K1F9W,
420.4375,WHITE CLIFFS,-30.155891,142.893758,10K1F9W,
420.7125,Sydney Olympic Park,-33.847309,151.069613,10K1F9W,
420.4625,Sydney Olympic Park,-33.847309,151.069613,10K1F9W,
420.2125,Sydney Olympic Park,-33.847309,151.069613,10K1F9W,
420.4625,LUDDENHAM,-33.886323,150.7191,10K1F9W,
420.2125,LUDDENHAM,-33.886323,150.7191,10K1F9W,
420.7125,LUDDENHAM,-33.886323,150.7191,10K1F9W,
420.6625,CAPTAINS FLAT,-35.530623,149.517890,10K1F9W,
420.4125,CAPTAINS FLAT,-35.530623,149.517890,10K1F9W,
420.475,CHATSWOOD,-33.796391,151.178976,10K1F9W,
420.6,CHATSWOOD,-33.796391,151.178976,10K1F9W,
420.725,CHATSWOOD,-33.796391,151.178976,10K1F9W,
420.225,CHATSWOOD,-33.796391,151.178976,10K1F9W,
420.35,CHATSWOOD,-33.796391,151.178976,10K1F9W,
420.1,CHATSWOOD,-33.796391,151.178976,10K1F9W,
420.6125,CABRAMATTA,-33.893647,150.935636,10K1F9W,
420.1125,CABRAMATTA,-33.893647,150.935636,10K1F9W,
420.3625,CABRAMATTA,-33.893647,150.935636,10K1F9W,
