frequency,location,lat,lon,mode,alphatag
461.68125,BERRIMAH,-12.415270,130.926204,10K0F2D,
461.33125,CASUARINA,-12.375727,130.878414,10K0F2D,
461.14375,ALICE SPRINGS,-23.722555,133.857595,10K1F2D,
148.5875,NHULUNBUY,-12.181399,136.776970,16K0F2D,
461.41875,ALICE SPRINGS,-23.722555,133.857595,10K1F2D,
461.73125,KATHERINE,-14.446119,132.296190,10K1F2D,
461.98125,PALMERSTON,-12.472041,130.984880,10K0F2D,
148.5875,JABIRU,-12.669437,132.833725,16K0F2D,
461.31875,DARWIN,-12.458896,130.836978,10K1F2D,
461.66875,DARWIN,-12.465094,130.842633,10K0F2D,
461.99375,KARAMA,-12.417121,130.921353,10K0F2D,
461.99375,TENNANT CREEK,-19.646642,134.189925,10K0F2D,
461.28125,MARRARA,-12.398610,130.886652,10K1F2D,
461.41875,DARWIN,-12.458896,130.836978,10K1F1D,
461.53125,CASUARINA,-12.375727,130.878414,10K0F2D,
461.74375,JABIRU,-12.669437,132.833725,10K0F2D,
422.825,NT-WIDE,-18.852156,133.479175,10K1F1E,
422.925,NT-WIDE,-18.852156,133.479175,10K1F1E,
461.39375,MARRARA,-12.398610,130.886652,10K0F2D,
461.99375,NHULUNBUY,-12.181399,136.776970,10K0F2D,
461.99375,YULARA,-25.225624,130.975304,10K0F2D,
469.5,NT-WIDE,-18.852156,133.479175,16K0F3E,
422.65,NT-WIDE,-18.852156,133.479175,10K1F1E,
461.30625,BERRIMAH,-12.415270,130.926204,10K0F2D,
148.5875,KATHERINE,-14.471723,132.284941,16K0F2D,
148.5875,DARWIN,-12.465094,130.842633,16K0F2D,
461.73125,KATHERINE,-14.471723,132.284941,10K0F2D,
461.63125,TIWI,-12.355592,130.881856,10K1F2D,
148.5875,HUMPTY DOO,-12.575142,131.103394,16K0F2D,
148.5875,YULARA,-25.237571,130.987069,16K0F2D,
148.5875,TENNANT CREEK,-19.645033,134.183714,16K0F2D,
461.94375,PALMERSTON,-12.472041,130.984880,10K0F2D,
461.21875,DARWIN,-12.458896,130.836978,10K1F2D,
422.725,NT-WIDE,-18.852156,133.479175,10K1F1E,
148.5875,ALICE SPRINGS,-23.722188,133.856696,16K0F2D,
148.5875,PALMERSTON,-12.472041,130.984880,16K0F2D,
461.43125,HUMPTY DOO,-12.575142,131.103394,10K1F2D,
461.29375,DARWIN,-12.465094,130.842633,10K1F2D,
461.98125,ALICE SPRINGS,-23.722555,133.857595,10K1F2D,
