frequency,location,lat,lon,mode,alphatag
468.875,BORROLOOLA,-16.053538,136.300698,10K1F9W,
468.8875,GUNBALANYA,-12.325139,133.054401,10K1F9W,
468.825,ORMISTON GORGE,-23.619306,132.743083,10K1F9W,
467.8125,HOWARD SPRINGS,-12.493014,131.016492,10K1F9W,
415.6625,HOWARD SPRINGS,-12.493014,131.016492,10K1F9W,
417.1625,HOWARD SPRINGS,-12.493014,131.016492,10K1F9W,
172.925,NT-WIDE,-18.852156,133.479175,11K2F3D,
468.1625,KARAMA,-12.417121,130.921353,10K1F9W,
467.5625,DARWIN,-12.458896,130.836978,10K1F9W,
468.3,NT-WIDE,-18.852156,133.479175,10K1F9W,
469.15,NT-WIDE,-18.852156,133.479175,10K1F9W,
416.0875,YULARA,-25.237571,130.987069,8K10F1E,
417.0875,YULARA,-25.237571,130.987069,8K10F1E,
417.6,CASUARINA,-12.376112,130.879061,10K1F3E,
415.5875,KATHERINE,-14.446119,132.296190,10K1F3E,
416.5875,KATHERINE,-14.446119,132.296190,10K1F3E,
417.15,DARWIN,-12.465094,130.842633,10K1F3E,
468.95,NT-WIDE,-18.852156,133.479175,10K1F9W,
469.575,NT-WIDE,-18.852156,133.479175,10K1F9W,
426.125,NT-WIDE,-18.852156,133.479175,10K1F1E,
416.375,FARRAR,-12.478778,130.991139,8K10F1E,
417.125,FARRAR,-12.478778,130.991139,8K10F1E,
468.9,BATHURST ISLAND,-11.565058,130.315945,10K1F9W,
468.85,GROOTE EYLANDT,-13.847163,136.434502,10K1F9W,
426.35,NT-WIDE,-18.852156,133.479175,10K1F1E,
469.4125,NT-WIDE,-18.852156,133.479175,10K1F9W,
468.7,NT-WIDE,-18.852156,133.479175,10K1F9W,
415.6,CASUARINA,-12.376112,130.879061,10K1F3E,
417.1875,HUMPTY DOO,-12.575142,131.103394,10K1F3E,
417.0875,KATHERINE,-14.446119,132.296190,10K1F3E,
415.6125,TIWI,-12.355592,130.881856,10K1F3E,
417.1375,ALICE SPRINGS,-23.722188,133.856696,10K1F3E,
468.875,MT LEISLER,-23.330185,129.363604,10K1F9W,
468.675,NT-WIDE,-18.852156,133.479175,10K1F9W,
468.9625,NT-WIDE,-18.852156,133.479175,10K1F9W,
469.6,NT-WIDE,-18.852156,133.479175,10K1F9W,
469.675,NT-WIDE,-18.852156,133.479175,10K1F9W,
415.625,FARRAR,-12.478778,130.991139,8K10F1E,
469.0,CENTRAL MOUNT WEDGE,-22.856902,131.826267,10K1F9W,
467.8,JABIRU,-12.669437,132.833725,10K1F9W,
468.85,ALI CURUNG,-21.003202,134.402865,10K1F9W,
469.025,MINYERRI,-15.219739,134.080276,10K1F9W,
416.6625,HOWARD SPRINGS,-12.493014,131.016492,10K1F9W,
416.5875,NHULUNBUY,-12.181399,136.776970,8K10F1E,
468.8625,KULGERA,-25.842861,133.3015,10K1F9W,
469.7125,NT-WIDE,-18.852156,133.479175,10K1F9W,
469.75,NT-WIDE,-18.852156,133.479175,10K1F9W,
467.9625,NT-WIDE,-18.852156,133.479175,10K1F9W,
416.2,BERRY SPRINGS,-12.656774,131.037649,10K1F3E,
416.7,BERRY SPRINGS,-12.656774,131.037649,10K1F3E,
416.1125,TIWI,-12.355592,130.881856,10K1F3E,
