frequency,location,lat,lon,mode,alphatag
152.9,KAKADU,-13.553820,132.273430,10K1F3E,
161.075,GULUNG MARDRULK,-13.434403,132.415077,10K1F3E,
471.4,KAKADU,-12.927779,132.571388,10K1F1D,
163.675,SOUTH ALLIGATOR,-12.707810,132.435330,10K1F3E,
162.95,MT BASEDOW,-12.990753,132.685438,10K1F3E,
164.35,KAKADU NATIONAL PARK,-13.488680,132.4493,10K1F3E,
165.1,MT EVELYN,-13.597542,132.895256,10K1F3E,
152.75,KAKADU,-13.3116,132.7820,10K1F3E,
152.85,JABIRU,-12.673630,132.815550,10K1F3E,
163.875,JABIRU,-12.673630,132.815550,10K1F3E,
152.975,KAKADU,-12.6838,132.4713,10K1F3E,
163.8125,NT-WIDE,-18.852156,133.479175,10K1F3E,
164.775,OLD GOODPARLA,-13.449690,132.292350,10K1F3E,
163.4125,JABIRU,-12.515930,132.940225,10K1F3E,
164.575,MT BASEDOW,-13.319240,132.706677,10K1F3E,
152.6,KAKADU,-12.433408,132.951546,10K1F3E,
163.925,KAKADU,-12.525783,132.124256,10K1F3E,
163.2125,MT HOOPER,-12.260990,132.352462,10K1F3E,
164.075,KAKADU NATIONAL PARK,-13.192660,132.301020,10K1F3E,
152.675,KAKADU,-12.175481,132.240833,10K1F3E,
