frequency,location,lat,lon,mode,alphatag
471.275,CULLEN RIVER,-14.032082,131.944273,10K1F1D,
165.425,PORT LINCOLN,-34.726089,135.864593,10K1F3E,
464.15,WHYALLA,-32.997359,137.524265,10K1F3E,
411.375,ALICE SPRINGS,-23.696497,133.873288,10K1F3E,
410.625,PORT AUGUSTA,-32.464099,137.767442,10K1F3E,
410.625,KATHERINE,-14.510525,132.250636,10K1F3E,
411.375,BERRIMAH,-12.433037,130.922887,10K1F3E,
412.375,OSBORNE,-34.801325,138.506017,10K1F3E,
418.3,PORT ADELAIDE,-34.835011,138.514356,10K1F3E,
418.325,DARWIN,-12.487929,130.899642,16K0F3E,
471.5,KILBURN,-34.870209,138.582471,16K0F2D,
165.73,PORT LINCOLN,-34.726089,135.864593,16K0F3E,
471.95,FERGUSSON RIVER,-14.074524,131.982195,10K1F1D,
418.3875,IRON KNOB,-32.753849,137.137556,10K1F3E,
418.925,WHYALLA,-32.997359,137.524265,10K1F3E,
464.825,WHYALLA,-32.997359,137.524265,10K1F3E,
472.2,DRY CREEK,-34.816116,138.593618,16K0F2D,
418.3,PIMBA,-31.246550,136.803848,10K1F3E,
418.475,EAST ARM,-12.4891,130.8821,10K1F3E,
408.875,ALICE SPRINGS,-23.696497,133.873288,16K0F3E,
465.975,WIRRIDA,-29.503355,134.548153,10K1F3E,
471.575,EDITH RIVER,-14.184523,132.037834,10K1F1D,
418.175,CRAFERS,-34.982397,138.708346,10K1F3E,
168.64,PORT LINCOLN,-34.726089,135.864593,16K0F3E,
412.375,CEDUNA,-32.147221,133.653114,10K1F3E,
410.625,TAILEM BEND,-35.247408,139.450215,10K1F3E,
412.375,DRY CREEK,-34.824467,138.591953,10K1F3E,
411.625,EAST ARM,-12.4891,130.8821,10K1F3E,
472.175,KILBURN,-34.870209,138.582471,16K0F2D,
465.975,KATHERINE,-14.510525,132.250636,10K1F3E,
472.0,KATHERINE RIVER,-14.496302,132.231585,10K1F1D,
418.55,MIDDLEBACK,-33.111832,137.141930,10K1F3E,
464.475,WHYALLA,-32.997359,137.524265,10K1F3E,
168.52,PORT LINCOLN,-34.726089,135.864593,16K0F3E,
168.58,PORT LINCOLN,-34.726089,135.864593,16K0F3E,
164.975,MOUNT PRISCILLA,-33.804170,136.403687,10K1F3E,
418.3625,ALICE SPRINGS,-23.696497,133.873288,10K1F3E,
471.225,KILBURN,-34.870209,138.582471,16K0F2D,
450.4125,NATIONWIDE,-27.84,133.21,10K1F3E,
450.4125,NATIONWIDE,-27.84,133.21,10K1F3E,
168.55,WANILLA,-34.513069,135.714448,16K0F3E,
411.625,PORT ADELAIDE,-34.837333,138.514497,10K1F3E,
418.2375,BERRIMAH,-12.433037,130.922887,10K1F3E,
418.1625,EAST ARM,-12.4891,130.8821,10K1F3E,
418.4375,EAST ARM,-12.4891,130.8821,10K1F3E,
465.975,BERRIMAH,-12.433037,130.922887,10K1F3E,
471.95,ELIZABETH RIVER,-12.537224,130.978773,10K1F1D,
418.3,WHYALLA,-32.997359,137.524265,10K1F3E,
418.1375,EAST ARM,-12.4891,130.8821,10K1F3E,
418.375,CEDUNA,-32.147221,133.653114,10K1F3E,
411.625,ALICE SPRINGS,-23.696497,133.873288,10K1F3E,
410.625,NATIONWIDE,-27.84,133.21,10K1F3E,
