frequency,location,lat,lon,mode,alphatag
79.4625,DALBY,-27.185467,151.259862,10K1F3E,
79.75,COLUMBOOLA,-26.650601,150.270411,10K1F3E,
79.65,ST GEORGE,-27.943364,148.521118,10K1F3E,
79.8,BONY MOUNTAIN,-28.097588,151.873406,10K1F3E,
412.65,NOONDOO,-28.580853,148.406772,10K1F3E,
79.7375,CUNNAMULLA,-28.046376,145.674449,10K1F3E,
426.3625,QLD-WIDE,-20.2600,146.4869,10K1F3E,
413.425,WILKES KNOB,-26.778944,152.915450,10K1F3E,
79.7375,TARA,-27.130317,150.484238,10K1F3E,
426.05,QLD-WIDE,-20.2600,146.4869,10K1F3E,
426.175,QLD-WIDE,-20.2600,146.4869,10K1F3E,
426.3,QLD-WIDE,-20.2600,146.4869,10K1F3E,
413.1375,PASSCHENDAELE,-28.538481,151.830512,10K1F3E,
412.9625,MT ENGLAND,-26.173548,151.959764,10K1F3E,
412.475,PROSTON,-26.138389,151.608836,10K1F3E,
412.825,HANNAFORD HILL,-27.377466,150.070534,10K1F3E,
79.7625,HANNAFORD HILL,-27.377466,150.070534,10K1F3E,
413.15,INGLEWOOD,-28.411445,151.070348,10K1F3E,
422.975,QLD-WIDE,-20.2600,146.4869,10K1F3E,
426.2,QLD-WIDE,-20.2600,146.4869,10K1F3E,
414.9625,QLD-WIDE,-20.2600,146.4869,10K1F3E,
79.4875,BENARKIN,-26.863190,152.182433,10K1F3E,
79.6375,NORTH STAR,-29.045529,150.443437,10K1F3E,
413.075,GRAFTON RANGE,-26.414981,148.911078,10K1F3E,
415.35,GEEBUNG,-27.366596,153.057715,10K1F3E,
413.3875,CHILDERS,-25.235469,152.280469,10K1F3E,
413.3875,COEN,-13.945712,143.198317,10K1F3E,
413.125,WARWICK,-28.226554,152.001368,10K1F3E,
79.775,JANDOWAE,-26.781281,151.112257,10K1F3E,
79.775,NONDA,-20.680381,142.481573,10K1F3E,
414.8125,DULACCA HILL,-26.636222,149.853760,10K1F3E,
79.975,QLD-WIDE,-20.2600,146.4869,10K1F3E,
426.25,QLD-WIDE,-20.2600,146.4869,10K1F3E,
458.625,QLD-WIDE,-20.2600,146.4869,10K1FXW,
458.725,QLD-WIDE,-20.2600,146.4869,10K1FXW,
79.675,TEXAS,-28.842653,151.204881,10K1F3E,
