frequency,location,lat,lon,mode,alphatag
476.55,IRVINEBANK,-17.428450,145.243624,10K1F3E,
469.9125,MT MOWBULLAN,-26.888643,151.600672,10K1F3E,
469.8625,TAROOM,-25.643910,149.804880,10K1F3E,
469.6625,INJUNE,-25.885790,148.520369,10K1F3E,
71.4375,MT INKERMAN,-19.745665,147.495833,10K1F3E,
469.1125,DOUGLAS,-19.319124,146.761375,10K1F3E,
469.1625,YARRABAH,-16.904073,145.841529,10K1F3E,
469.3625,LAMBS HEAD,-17.017742,145.634651,10K1F3E,
469.5625,BELL PEAK NORTH,-17.086522,145.879643,10K1F3E,
469.9625,ARAMAC,-22.971821,145.240524,10K1F3E,
469.6625,MENA PARK,-24.119320,145.335204,10K1F3E,
469.2125,MT BLUEY,-19.530746,146.140340,10K1F3E,
469.5125,MT MISERY,-20.364738,145.632587,10K1F3E,
469.7625,CLERMONT,-22.5496,147.945760,10K1F3E,
469.8625,MT TABLETOP,-23.529655,147.293125,10K1F3E,
468.6625,MT MACKAY,-17.9463,145.975197,10K1F3E,
469.8625,CAMERON HILL,-19.743678,146.858710,10K1F3E,
469.0625,QUAGGY MTN,-25.435557,150.705101,10K1F3E,
461.75625,YARRABAH,-16.904073,145.841529,10K1F2D,
72.5125,QLD-WIDE,-20.2600,146.4869,10K1F3E,
77.7625,APIS CREEK,-22.883276,149.489137,10K1F3E,
77.7375,YELARBON,-28.478385,150.721375,10K1F3E,
77.9375,MT JANET,-20.542568,146.445669,10K1F3E,
469.8625,TOONBORO MOUNTAIN,-24.744217,151.677467,10K1F3E,
469.4125,MT MOWBULLAN,-26.888643,151.600672,10K1F3E,
468.9625,Mount Kelly,-19.662104,147.313255,10K1F3E,
469.2625,BOWEN,-20.004832,148.235716,10K1F3E,
469.7125,BOWENIA,-22.880830,150.626840,10K1F3E,
469.3625,PALM ISLAND,-18.739297,146.609146,10K1F3E,
469.7625,GRAFTON RANGE,-26.414981,148.911078,10K1F3E,
469.7625,AUGATHELLA,-25.795970,146.586127,10K1F3E,
469.8625,MT KIANGAROW,-26.830664,151.548911,10K1F3E,
469.5625,AYR,-19.571572,147.409554,10K1F3E,
469.6125,GOOMBURRA,-28.006032,152.254770,10K1F3E,
469.9625,BRAESIDE,-28.382913,151.899480,10K1F3E,
78.6625,IRVINEBANK,-17.428450,145.243624,10K1F3E,
469.2625,NEBO,-21.600646,148.967883,10K1F3E,
469.2625,MT ALLAN,-26.639453,152.634434,10K1F3E,
469.6625,NORTH STAR,-29.045529,150.443437,10K1F3E,
122.65,QLD-WIDE,-20.2600,146.4869,6K00A3E,
469.6625,RIORDANVALE,-20.276320,148.661469,10K1F3E,
469.7125,MT LOWE,-22.905965,148.149787,10K1F3E,
469.0125,CHARTERS TOWERS,-20.089922,146.253135,10K1F3E,
469.9125,APIS CREEK,-22.883276,149.489137,10K1F3E,
469.2125,MT ENGLAND,-26.173458,151.959715,10K1F3E,
461.01875,TOOWOOMBA,-27.509629,151.954263,10K1F2D,
72.7125,QLD-WIDE,-20.2600,146.4869,10K1F3E,
469.9125,IRVINEBANK,-17.428450,145.243624,10K1F3E,
469.4625,BLACK MOUNTAIN,-26.422157,152.854740,10K1F3E,
469.5625,MOTHAR MTN,-26.246035,152.811904,10K1F3E,
469.4125,GYMPIE,-26.192138,152.667488,10K1F3E,
77.7,PLAIN CREEK,-21.502812,146.587830,10K1F3E,
469.7625,BENARKIN,-26.863190,152.182433,10K1F3E,
469.0625,PINE MOUNTAIN,-22.760366,149.849568,10K1F3E,
469.9625,DULACCA HILL,-26.636222,149.853760,10K1F3E,
469.5125,STANTHORPE,-28.653650,151.946494,10K1F3E,
469.9625,DIRRANBANDI,-28.582761,148.223420,10K1F3E,
