frequency,location,lat,lon,mode,alphatag
469.475,URANGAN,-25.282539,152.900789,10K1F2D,
469.875,COLORADO,-23.626235,146.255508,10K1F3E,
469.075,MT MOWBULLAN,-26.888643,151.600672,10K1F3E,
469.7,TARA,-27.278142,150.460129,10K1F3E,
469.725,DULACCA HILL,-26.636222,149.853760,10K1F3E,
467.5375,ROMA,-26.572553,148.850082,10K1F3E,
469.675,ROMA,-26.569734,148.783767,10K1F3E,
469.725,SLOPING HUMMOCK,-24.843029,152.426390,10K1F2D,
469.35,MT BARMOYA,-23.105251,150.706594,10K1F3E,
469.25,RAGLAN,-23.729347,150.815072,10K1F3E,
469.975,ST GEORGE,-27.914231,149.302370,10K1F3E,
469.4,DOUBLE MOUNTAIN,-22.555346,150.301737,10K1F3E,
469.675,CRACOW,-25.287328,150.292981,10K1F3E,
469.575,MT MARGARET,-24.828657,150.896444,10K1F3E,
469.25,LINDEMAN ISLAND,-20.453805,149.037622,10K1F3E,
469.35,PROSERPINE,-20.401528,148.575514,10K1F3E,
469.375,MT LUCAS,-20.326326,148.586061,10K1F3E,
467.5375,AIRLIE BEACH,-20.268317,148.742332,10K1F3E,
469.5,KIRWAN,-19.309520,146.730881,10K1F3E,
469.8,MORANBAH,-21.995809,148.031337,10K1F2D,
469.625,TOOWOOMBA,-27.509629,151.954263,10K1F3E,
469.775,MACKAY,-21.064218,149.095535,10K1F3E,
469.675,CAIRNS,-16.926447,145.775623,10K1F2D,
468.925,KELSO,-19.379498,146.671858,10K1F2D,
469.725,MT PINNACLE,-21.157335,148.656172,10K1F3E,
469.15,CHARTERS TOWERS,-20.088870,146.252212,10K1F2D,
469.55,BAMAGA,-10.899150,142.389078,10K1F3E,
467.5375,CHARTERS TOWERS,-20.088870,146.252212,10K1F3E,
468.775,QLD-WIDE,-20.2600,146.4869,10K1FXW,
467.75,QLD-WIDE,-20.2600,146.4869,10K1FXW,
468.85,QLD-WIDE,-20.2600,146.4869,10K1FXW,
469.925,MT ENGLAND,-26.173458,151.959715,10K1F2D,
469.925,DULONG,-26.625251,152.911446,10K1F3E,
469.0,MT HOPE,-23.818025,150.405413,10K1F3E,
