frequency,location,lat,lon,mode,alphatag
79.725,HANN TABLELAND,-16.916101,145.252179,10K1F3E,
78.6625,QUAGGY MTN,-25.435557,150.705101,10K1F3E,
78.375,GREENVALE,-18.642492,144.890135,10K1F3E,
79.85,ROSEDALE,-24.630928,151.914660,10K1F3E,
79.8875,ROSEDALE,-24.630928,151.914660,10K1F3E,
79.8125,ROSEDALE,-24.630928,151.914660,10K1F3E,
77.3125,ROSEDALE,-24.630928,151.914660,10K1F3E,
79.875,ROSEDALE,-24.630928,151.914660,10K1F3E,
77.2375,ROSEDALE,-24.630928,151.914660,10K1F3E,
77.125,ROSEDALE,-24.630928,151.914660,10K1F3E,
79.9875,ROSEDALE,-24.630928,151.914660,10K1F3E,
77.2875,ROSEDALE,-24.630928,151.914660,10K1F3E,
79.95,ROSEDALE,-24.630928,151.914660,10K1F3E,
79.9125,ROSEDALE,-24.630928,151.914660,10K1F3E,
79.8875,COOWONGA,-23.280651,150.723877,10K1F3E,
79.8125,COOWONGA,-23.280651,150.723877,10K1F3E,
79.9875,COOWONGA,-23.280651,150.723877,10K1F3E,
77.3125,COOWONGA,-23.280651,150.723877,10K1F3E,
79.95,COOWONGA,-23.280651,150.723877,10K1F3E,
79.875,COOWONGA,-23.280651,150.723877,10K1F3E,
79.85,COOWONGA,-23.280651,150.723877,10K1F3E,
77.2875,COOWONGA,-23.280651,150.723877,10K1F3E,
79.9125,COOWONGA,-23.280651,150.723877,10K1F3E,
77.2375,COOWONGA,-23.280651,150.723877,10K1F3E,
77.125,COOWONGA,-23.280651,150.723877,10K1F3E,
77.7,SPRINGBROOK,-28.232629,153.290201,10K1F3E,
78.6625,MOTHAR MTN,-26.246035,152.811904,10K1F3E,
77.775,MT KANIGAN,-25.965687,152.584548,10K1F3E,
78.685,RICHMOND,-21.114882,142.717869,16K0F3E,
78.685,YALLEROI,-24.128989,145.717793,16K0F3E,
78.685,SAMFORD,-27.374707,152.883247,16K0F3E,
79.625,QLD-WIDE,-20.2600,146.4869,10K1F3E,
79.725,QLD-WIDE,-20.2600,146.4869,10K1F3E,
74.06,BLACKALL,-24.131830,145.301108,16K0F3E,
78.685,MAXWELTON,-20.788869,142.711271,16K0F3E,
78.685,YULEBA,-26.618676,149.380434,16K0F3E,
78.685,MCKINLAY,-21.508043,141.017088,16K0F3E,
