frequency,location,lat,lon,mode,alphatag
469.1875,MT LOWE,-22.905965,148.149787,10K1F3E,
476.425,CHILLAGOE,-17.206545,144.504976,16K0F3E,
469.3375,MT DOMVILLE,-28.012318,151.241518,10K1F3E,
469.7375,KELSO,-19.379498,146.671858,10K1F3E,
469.8375,TARA,-27.536723,150.113075,10K1F3E,
468.9875,MT INKERMAN,-19.745972,147.496015,10K1F3E,
469.9375,MT GAYNDAH,-25.604752,151.546120,10K1F3E,
469.8375,MEIKLEVILLE HILL,-23.117666,150.744158,10K1F3E,
469.5375,DAUAN ISLAND,-9.404329,142.530283,10K1F3E,
469.6875,BURKETOWN,-17.740182,139.546222,10K1F3E,
469.9375,NORMANTON,-17.670486,141.077223,10K1F3E,
469.7375,NAPRANUM,-12.663856,141.936425,10K1F3E,
469.4875,MT COOK,-15.490583,145.264185,10K1F3E,
469.9375,COOKTOWN,-15.483041,145.195837,10K1F3E,
469.4875,MOUNT CARBINE,-16.472230,144.869569,10K1F3E,
469.4375,ROLLESTON,-24.640737,148.542351,10K1F3E,
469.8375,LAUDERDALE STATION,-20.605925,145.368751,10K1F3E,
468.7875,QLD-WIDE,-20.2600,146.4869,10K1F3E,
469.1875,SADDLE MOUNTAIN,-16.818195,145.663041,10K1F3E,
469.0875,MT ALLAN,-26.639453,152.634434,10K1F3E,
469.0375,TARA,-27.130317,150.484238,10K1F3E,
469.7375,Monto,-24.655822,150.916836,10K1F3E,
469.6875,YARRAMAN,-26.834351,151.970420,10K1F3E,
469.7875,MT BOULDER,-26.252347,152.805485,10K1F3E,
476.5,MOA ISLAND,-10.147104,142.321959,16K0F3E,
160.7,MORETON ISLAND,-27.184059,153.370898,16K0F3E,
469.8875,COEN,-13.942780,143.205774,10K1F3E,
469.8875,BLACKALL,-24.418533,145.463754,10K1F3E,
469.0375,NOOSA HEADS,-26.389268,153.097528,10K1F3E,
469.5375,CHARTERS TOWERS,-20.088870,146.252212,10K1F3E,
469.6875,WARWICK,-28.226554,152.001368,10K1F3E,
469.7375,INNISFAIL,-17.522883,146.0302,10K1F3E,
469.8875,MORNINGTON ISLAND,-16.664769,139.184310,10K1F3E,
469.8375,CHRISTIE TARGET,-28.910770,151.840413,10K1F3E,
469.4375,DULONG,-26.643911,152.907111,10K1F3E,
469.2375,DALRYMPLE HEIGHTS,-21.058098,148.578888,10K1F3E,
469.7375,TAKURA HILL,-25.327597,152.706233,10K1F3E,
469.0875,GHOST HILL,-25.311177,152.832396,10K1F3E,
469.8375,MT JANET,-15.895573,144.711956,10K1F3E,
468.9375,PALM COVE,-16.736938,145.661751,10K1F3E,
468.9875,YARRABAH,-16.904073,145.841529,10K1F3E,
469.0375,HANN TABLELAND,-16.916101,145.252179,10K1F3E,
469.9375,TAMBO,-24.748029,146.282450,10K1F3E,
469.8375,CROYDON,-18.164690,142.211307,10K1F3E,
469.0875,DALBY,-27.185467,151.259862,10K1F3E,
469.7375,LITTLE MOUNTAIN,-26.785455,153.096043,10K1F3E,
468.8875,MACKAY,-21.064218,149.095535,10K1F3E,
469.7375,Valkyrie,-21.990728,148.531366,10K1F3E,
469.8875,AGNES WATER,-24.215909,151.896298,10K1F3E,
469.6375,BLACK MOUNTAIN,-26.422292,152.854490,10K1F3E,
469.4875,MT BRISBANE,-27.088754,152.526065,10K1F3E,
469.6375,SHEEP STATION CREEK,-26.849568,152.545889,10K1F3E,
476.575,DARNLEY ISLAND,-9.590272,143.765939,16K0F3E,
469.7875,TEXAS,-28.842653,151.204881,10K1F3E,
468.8875,MT CUDMORE EAST,-18.547791,146.216029,10K1F3E,
469.4875,GRAFTON RANGE,-26.414981,148.911078,10K1F3E,
469.5375,MT MERCER,-18.689736,146.214801,10K1F3E,
469.6875,PALUMA,-19.004024,146.060817,10K1F3E,
469.7875,SPRINGLANDS,-20.521545,147.833119,10K1F3E,
469.7875,MT FACING,-18.526250,145.759431,10K1F3E,
469.6375,BANANA RANGE,-24.448554,150.315810,10K1F3E,
469.4375,BERAJONDO,-24.542739,151.843283,10K1F3E,
469.0375,MORANBAH,-21.995809,148.031337,10K1F3E,
469.5875,MT LARCOM RANGE,-23.820008,151.084780,10K1F3E,
469.9375,CARMILA,-21.926048,149.410140,10K1F3E,
469.2875,BAMAGA,-10.899150,142.389078,10K1F3E,
469.5875,CHINCHILLA,-26.742201,150.625611,10K1F3E,
469.2375,RAVENSHOE,-17.610001,145.467968,10K1F3E,
469.9375,SAPPHIRE,-23.459125,147.719853,10K1F3E,
469.8875,BARRADEEN,-26.042081,146.430532,10K1F3E,
469.8875,WUJAL WUJAL,-15.947890,145.318131,10K1F3E,
476.5,KOWANYAMA,-15.436003,141.730167,16K0F3E,
469.8375,IRVINEBANK,-17.428450,145.243624,10K1F3E,
469.3875,MT PINNACLE,-21.157335,148.656172,10K1F3E,
469.7875,PINE MOUNTAIN,-22.760366,149.849568,10K1F3E,
469.8875,GIRU,-19.513282,147.107055,10K1F3E,
469.6875,MT HOPE,-23.818025,150.405413,10K1F3E,
469.2875,ALEXANDRA HILLS,-27.543964,153.231520,10K1F3E,
469.9375,TOOWOOMBA,-27.509629,151.954263,10K1F3E,
469.6375,GREENVALE,-18.999741,144.977678,10K1F3E,
469.6875,MT BELLENDEN KER,-17.264216,145.853685,10K1F3E,
469.1375,BLACKBUTT,-26.884750,152.110744,10K1F3E,
469.7375,CHRISTIE TARGET,-28.910770,151.840413,10K1F3E,
468.9375,COOLOOLA VILLAGE,-25.971020,152.968912,10K1F3E,
469.9375,DULONG,-26.643911,152.907111,10K1F3E,
468.8875,COLUMBOOLA,-26.650601,150.270411,10K1F3E,
469.8875,EULO,-28.038523,144.967077,10K1F3E,
469.6375,MT STUART,-19.346895,146.775683,10K1F3E,
469.4875,RAVENSWOOD,-20.099398,146.896455,10K1F3E,
469.9375,RIORDANVALE,-20.276320,148.661469,10K1F3E,
469.5375,MARYBOROUGH,-25.520273,152.689694,10K1F3E,
469.8875,CREDITON,-21.230217,148.537273,10K1F3E,
469.8875,MOUNT MORGAN,-23.649827,150.397722,10K1F3E,
469.9375,NEWCASTLE RANGE,-18.305545,143.779979,10K1F3E,
469.8875,GRAFTON RANGE,-26.414981,148.911078,10K1F3E,
469.7875,SAIBAI ISLAND,-9.378050,142.621150,10K1F3E,
