frequency,location,lat,lon,mode,alphatag
162.1375,MACKAY,-21.031638,148.943342,10K1F3E,
485.125,PLEYSTOWE,-21.143251,149.039205,16K0F3E,
162.85,MIRANI,-21.103210,148.854235,10K1F3E,
471.35,MARIAN,-21.144072,148.942562,16K0F3E,
471.75,MACKAY,-21.100795,149.101323,10K1F3E,
163.125,MACKAY,-21.031638,148.943342,10K1F3E,
471.95,MACKAY,-21.164402,149.132884,10K1F3E,
484.85,PLEYSTOWE,-21.143251,149.039205,16K0F3E,
73.46,PLEYSTOWE,-21.143245,149.039686,16K0F3E,
450.375,PLEYSTOWE,-21.143629,149.037862,16K0F2D,
472.175,MARIAN,-21.142596,148.941387,10K1F3E,
484.975,PLEYSTOWE,-21.143251,149.039205,16K0F3E,
163.075,MACKAY,-21.064039,149.095465,10K1F3E,
160.57,MACKAY,-21.164993,149.132613,16K0F3E,
75.5,PLEYSTOWE,-21.143245,149.039686,16K0F3E,
157.96,PLEYSTOWE,-21.143245,149.039686,16K0F3E,
450.05,PLEYSTOWE,-21.143629,149.037862,16K0F2D,
450.05,PLEYSTOWE,-21.143629,149.037862,16K0F2D,
164.3,CALEN,-20.912385,148.768824,10K1F3E,
476.425,MARIAN,-21.144442,148.939515,16K0F3E,
162.325,MT PINNACLE,-21.157335,148.656172,10K1F3E,
162.125,MT PINNACLE,-21.157335,148.656172,10K1F3E,
163.125,SARINA,-21.394248,149.237658,10K1F3E,
475.15,MARIAN,-21.142596,148.941387,10K1F3E,
470.175,MARIAN,-21.144072,148.942562,16K0F3E,
471.425,MARIAN,-21.142596,148.941387,16K0F3E,
450.25,PLEYSTOWE,-21.143629,149.037862,16K0F2D,
73.49,SEAFORTH,-20.951215,148.975942,16K0F3E,
164.625,MACKAY,-21.064039,149.095465,10K1F3E,
164.075,SEAFORTH,-20.951215,148.975942,10K1F3E,
164.4,SEAFORTH,-20.951215,148.975942,10K1F3E,
471.975,MARIAN,-21.142596,148.941387,10K1F3E,
450.375,PLEYSTOWE,-21.143629,149.037862,16K0F2D,
450.45,PLEYSTOWE,-21.143629,149.037862,16K0F2D,
162.5625,MACKAY,-21.031638,148.943342,10K1F3E,
163.55,MT PINNACLE,-21.157335,148.656172,10K1F3E,
160.48,MARIAN,-21.144314,148.941217,16K0F3E,
471.525,MACKAY,-21.164402,149.132884,16K0F2D,
471.85,PLEYSTOWE,-21.143629,149.037862,16K0F2D,
162.6,MACKAY,-21.031638,148.943342,10K1F3E,
162.075,MACKAY,-21.031638,148.943342,10K1F3E,
162.75,MACKAY,-21.031638,148.943342,10K1F3E,
471.55,MARIAN,-21.142596,148.941387,16K0F3E,
73.46,MACKAY,-21.064039,149.095465,16K0F3E,
472.1,MACKAY,-21.100795,149.101323,10K1F3E,
450.3,PLEYSTOWE,-21.143629,149.037862,16K0F2D,
471.325,MACKAY,-21.164993,149.132613,10K1F3E,
161.075,MACKAY,-21.164402,149.132884,10K1F3E,
474.825,MARIAN,-21.142596,148.941387,10K1F3E,
450.45,PLEYSTOWE,-21.143629,149.037862,16K0F2D,
450.25,PLEYSTOWE,-21.143629,149.037862,16K0F2D,
163.325,NEBO,-21.440099,148.709048,10K1F3E,
