frequency,location,lat,lon,mode,alphatag
72.375,TULLY,-17.935556,145.927014,10K1F3E,
509.5625,TULLY,-17.937272,145.926768,10K1F3E,
78.3375,TULLY,-17.969845,145.896372,10K1F3E,
471.7,TULLY,-17.937105,145.925901,10K1F3E,
471.85,TULLY,-17.937105,145.925901,10K1F3E,
471.475,TULLY,-17.937105,145.925901,10K1F3E,
70.0375,TULLY,-17.935556,145.927014,10K1F3E,
509.7125,TULLY,-17.937272,145.926768,10K1F3E,
509.65,TULLY,-17.937272,145.926768,10K1F3E,
75.2625,TULLY,-17.977548,145.924381,10K1F2D,
471.275,TULLY,-17.937105,145.925901,10K1F3E,
77.6625,FELUGA,-17.875012,146.010161,10K1F3E,
509.8625,TULLY,-17.937272,145.926768,10K1F3E,
