frequency,location,lat,lon,mode,alphatag
418.75,PHOSPHATE HILL,-21.882330,139.972620,16K0F3E,
418.5,HANN TABLELAND,-16.916357,145.252204,16K0F3E,
419.375,GILLIAT,-20.625549,141.357150,16K0F3E,
418.7,MT ALPIN,-21.678217,139.953616,16K0F3E,
418.75,DIMBULAH,-17.149679,145.111448,16K0F3E,
418.775,ALPHA WEST,-23.627012,146.520986,16K0F3E,
419.1,MARYBOROUGH,-25.537767,152.699662,16K0F3E,
418.7,SLOPING HUMMOCK,-24.843029,152.426390,16K0F3E,
418.75,RICHMOND,-20.735852,143.141821,16K0F3E,
418.8,DRONFIELD,-21.258609,140.032505,16K0F3E,
418.775,BURRA,-20.726721,145.181204,16K0F3E,
419.075,MT ALPIN,-21.678217,139.953616,16K0F3E,
418.75,SARINA,-21.452341,149.213059,16K0F3E,
418.7,DRILLHAM,-26.644830,150.036569,16K0F3E,
415.2875,MANLY,-27.455496,153.179955,10K1F3E,
418.625,TOWNSVILLE,-19.348096,146.853497,16K0F3E,
418.7,MAURICE HILL,-23.935977,151.242554,16K0F3E,
419.375,MT INKERMAN,-19.745982,147.495586,16K0F3E,
419.075,CARDWELL,-18.272646,146.029020,16K0F3E,
419.075,OORINDI,-20.693472,141.076534,16K0F3E,
418.7,RIFLE CREEK,-20.932262,139.556221,16K0F3E,
418.8,BULLOCK CREEK,-17.710856,144.514258,16K0F3E,
418.775,ILFRACOMBE,-23.485155,144.470174,16K0F3E,
414.9125,MOUNT COOT-THA,-27.479789,152.953942,12K5FXW,
418.575,SOUTH TOWNSVILLE,-19.259074,146.827997,16K0F3E,
418.775,CAPELLA,-23.083691,148.020805,16K0F3E,
415.1625,BRISBANE,-27.466298,153.025453,10K1F3E,
419.075,COOTHALLA,-26.596198,145.717401,16K0F3E,
418.775,PHOSPHATE HILL,-21.882330,139.972620,16K0F3E,
418.7,MOUNT STUART,-19.342683,146.782267,16K0F3E,
419.7,KUTTABUL,-21.036181,148.908335,16K0F3E,
418.5,BLOOMSBURY,-20.705708,148.595340,16K0F3E,
418.7,LYNDBROOK,-17.895090,144.437232,16K0F3E,
418.7,KOORBOORA,-17.377543,144.772463,16K0F3E,
419.075,CHARTERS TOWERS,-20.089922,146.253135,16K0F3E,
418.75,FORSAYTH,-18.587392,143.602444,16K0F3E,
418.8,YULEBA,-26.621432,149.451988,16K0F3E,
419.375,KALARKA,-22.157721,149.525336,16K0F3E,
419.375,PRAIRIE,-20.896785,144.592351,16K0F3E,
419.4,BRUSH CREEK,-28.535216,151.092265,16K0F3E,
419.4,HANNAFORD HILL,-27.377466,150.070534,16K0F3E,
418.5,KURANDA,-16.878047,145.671231,25K0FXW,
418.5,AMINUNGO,-21.073952,148.986933,16K0F3E,
419.075,QUARRELS,-20.650173,142.088802,16K0F3E,
418.8,MT WATALGAN,-24.702274,151.962385,16K0F3E,
419.075,YULEBA,-26.621432,149.451988,16K0F3E,
419.375,BINDANGO,-26.582122,148.544675,16K0F3E,
418.7,WIRRA WIRRA,-18.616406,143.767107,16K0F3E,
419.375,YARRABAH,-16.904073,145.841529,16K0F3E,
419.375,HERMIT,-23.676330,145.889915,16K0F3E,
419.075,MITCHELL,-26.540885,148.112520,16K0F3E,
419.375,SARINA,-21.452341,149.213059,16K0F3E,
418.5,WARREAH,-20.827849,144.802426,16K0F3E,
419.375,CLERMONT,-22.826182,147.640394,16K0F3E,
419.075,YELARBON,-28.478385,150.721375,16K0F3E,
419.075,TOWNSVILLE,-19.258560,146.802543,16K0F3E,
418.4,MINGELA,-19.878417,146.633056,16K0F3E,
418.125,ROCKHAMPTON,-23.390811,150.510859,16K0F3E,
415.375,MOUNT COOT-THA,-27.479789,152.953942,12K5FXW,
418.75,WESTWOOD RANGE,-24.311781,151.624440,16K0F3E,
419.075,SUMMER HILL,-20.053761,148.084635,16K0F3E,
419.075,HUGHENDEN,-20.848447,144.197167,16K0F3E,
418.775,SLOPING HUMMOCK,-24.843029,152.426390,16K0F3E,
418.8,MT INKERMAN,-19.745982,147.495586,16K0F3E,
418.6,STUART,-19.346644,146.835622,16K0F3E,
418.775,CARMILA,-21.910195,149.415620,16K0F3E,
418.8,HUGHENDEN,-20.848447,144.197167,16K0F3E,
418.5,JULIA CREEK,-20.658893,141.746756,16K0F3E,
419.075,ST LAWRENCE,-22.348825,149.523470,16K0F3E,
419.375,PENTLAND,-20.485559,145.408817,16K0F3E,
419.375,PYMURRA,-20.728701,140.748673,16K0F3E,
419.375,BROWNS CREEK,-20.976045,139.500499,16K0F3E,
418.775,GORE,-28.227005,151.488980,16K0F3E,
418.4125,HANNAFORD HILL,-27.377466,150.070534,12K5F7E,
419.375,TABLE MOUNTAIN,-23.516917,150.383195,16K0F3E,
418.5,MITCHELL,-26.540885,148.112520,16K0F3E,
418.775,CLONCURRY,-20.714242,140.517671,16K0F3E,
419.375,MARATHON,-20.862083,143.572724,16K0F3E,
418.775,MUNGALLALA NORTH,-26.405407,147.614212,16K0F3E,
419.375,CHARLEVILLE,-26.406571,146.243094,16K0F3E,
418.775,CAMERON HILL,-19.743823,146.858901,16K0F3E,
418.75,ROMA,-26.576181,148.792961,16K0F3E,
419.075,COLORADO,-23.626325,146.255606,16K0F3E,
418.575,MACKAY,-21.167880,149.159834,16K0F3E,
419.075,KOUMALA,-21.644666,149.260399,16K0F3E,
418.5,PYMURRA,-20.728701,140.748673,16K0F3E,
418.75,MOUNT ISA,-20.726089,139.484691,16K0F3E,
419.075,MOUNT ISA,-20.726089,139.484691,16K0F3E,
419.1,MT MOWBULLAN,-26.891080,151.605122,16K0F3E,
