frequency,location,lat,lon,mode,alphatag
163.8125,NATIONWIDE,-27.84,133.21,10K1F3E,
450.05,MERRIWA,-32.399621,150.128490,10K1F3E,
418.125,MALBOOMA SIDING,-30.673691,134.177688,16K0F3E,
418.2,IMMARNA SIDING,-30.485153,132.115404,16K0F3E,
418.15,HAIG,-31.005227,126.115205,16K0F3E,
450.05,NATIONWIDE,-27.84,133.21,10K1F3E,
464.7375,PORT WARATAH,-32.901867,151.768254,10K1F3E,
474.2875,NATIONWIDE,-27.84,133.21,10K1F3E,
418.575,PORT AUGUSTA,-32.496772,137.767023,16K0F3E,
418.525,RAINBOW,-30.933027,122.192745,16K0F3E,
418.55,REID,-30.818871,128.451008,16K0F3E,
418.55,LOONGANA,-30.946840,127.031967,16K0F3E,
418.55,WILBAN,-31.012758,125.696858,16K0F3E,
418.55,WIRRAMINNA SIDING,-31.167015,136.125620,16K0F3E,
418.125,RAWLINNA,-31.010714,125.331471,16K0F3E,
418.45,KITCHENER,-31.035348,124.037130,16K0F3E,
418.125,BLACK CAT,-30.977344,122.621129,16K0F3E,
418.575,PIMBA,-31.249399,136.797761,16K0F3E,
418.45,KINGOONYA,-30.910595,135.321460,16K0F3E,
418.15,TENT HILL,-32.347472,137.602553,16K0F3E,
418.475,TENT HILL,-32.347472,137.602553,16K0F3E,
411.625,WERRIS CREEK,-31.348428,150.647797,10K1F3E,
418.525,HESSO,-32.141877,137.453131,16K0F3E,
418.6,FORREST,-30.855085,128.066739,16K0F3E,
418.6,TARCOOLA,-30.711873,134.566304,16K0F3E,
418.525,FERGUSON SIDING,-30.842023,134.890954,16K0F3E,
418.15,KOORAGANG ISLAND,-32.866866,151.758692,10K1F3E,
418.1,GOLDEN HILL,-30.856952,121.677617,16K0F3E,
418.6,KALGOORLIE,-30.734742,121.483528,16K0F3E,
450.05,GRASSTREE,-32.287440,150.964862,10K1F3E,
418.275,KOORAGANG ISLAND,-32.866866,151.758692,10K1F3E,
450.05,WILLOW TREE,-31.615326,150.713112,10K1F3E,
450.05,WINGEN,-31.897038,150.880923,10K1F3E,
418.1,MOUNT CHRISTIE SIDING,-30.543889,133.216667,16K0F3E,
418.475,HAIG,-31.005227,126.115205,16K0F3E,
465.075,PORT WARATAH,-32.901867,151.768254,10K1F3E,
466.425,KOORAGANG ISLAND,-32.866866,151.758692,10K1F3E,
418.525,NURINA,-30.978157,126.574304,16K0F3E,
466.175,PORT WARATAH,-32.901867,151.768254,10K1F3E,
466.475,PORT WARATAH,-32.901867,151.768254,10K1F3E,
465.675,KOORAGANG ISLAND,-32.866866,151.758692,10K1F3E,
418.525,WIRRAPPA SIDING,-31.429612,136.993522,16K0F3E,
418.55,WIRRAPPA SIDING,-31.429612,136.993522,16K0F3E,
418.45,KALGOORLIE,-30.734742,121.483528,16K0F3E,
450.05,BELFORD,-32.657139,151.281991,10K1F3E,
418.15,FERGUSON SIDING,-30.842023,134.890954,16K0F3E,
418.45,MOUNT CHRISTIE SIDING,-30.543889,133.216667,16K0F3E,
418.125,MUNGALA SIDING,-30.571995,132.912171,16K0F3E,
418.45,WATSON,-30.485277,131.507923,16K0F3E,
418.125,FISHER SIDING,-30.549954,130.971590,16K0F3E,
418.475,DEAKIN,-30.767856,128.969919,16K0F3E,
418.125,FORREST,-30.855085,128.066739,16K0F3E,
418.15,WIRRAPPA SIDING,-31.429612,136.993522,16K0F3E,
418.525,FISHER SIDING,-30.549954,130.971590,16K0F3E,
418.525,HUGHES SIDING,-30.712574,129.509341,16K0F3E,
450.05,ROBERTSON,-34.573548,150.627918,10K1F3E,
418.575,MUNDRABILLA,-30.903289,127.536857,16K0F3E,
418.525,RAWLINNA,-31.010714,125.331471,16K0F3E,
418.525,MUNGALA SIDING,-30.571995,132.912171,16K0F3E,
418.525,WIRRAMINNA SIDING,-31.167015,136.125620,16K0F3E,
418.525,LYONS SIDING,-30.639765,133.952590,16K0F3E,
464.3375,PORT WARATAH,-32.901867,151.768254,10K1F3E,
418.55,BOONDEROO,-31.015241,124.486337,16K0F3E,
418.55,GOLDEN HILL,-30.856952,121.677617,16K0F3E,
418.6,PIMBA,-31.249399,136.797761,16K0F3E,
418.45,BLACK CAT,-30.977344,122.621129,16K0F3E,
418.175,KULTANABY SIDING,-31.013764,135.644750,16K0F3E,
418.225,OOLDEA SIDING,-30.459702,131.835540,16K0F3E,
418.175,DENMAN SIDING,-30.662588,129.976351,16K0F3E,
450.05,NATIONWIDE,-27.84,133.21,10K1F3E,
418.575,COOK,-30.615791,130.409269,16K0F3E,
418.15,DEAKIN,-30.767856,128.969919,16K0F3E,
418.2125,NATIONWIDE,-27.84,133.21,10K1F3E,
412.375,WERRIS CREEK,-31.348428,150.647797,10K1F3E,
418.525,IMMARNA SIDING,-30.485153,132.115404,16K0F3E,
463.8875,KENSINGTON,-37.800167,144.931989,10K1F3E,
418.6,KULTANABY SIDING,-31.013764,135.644750,16K0F3E,
450.05,MENANGLE,-34.134079,150.739529,10K1F3E,
418.475,NARETHA,-31.001595,124.831650,16K0F3E,
418.225,ZANTHUS,-31.032654,123.571610,16K0F3E,
418.475,ZANTHUS,-31.032654,123.571610,16K0F3E,
450.05,MT THORLEY,-32.628893,151.117894,10K1F3E,
418.425,NATIONWIDE,-27.84,133.21,10K0F3E,
418.575,NARETHA,-31.001595,124.831650,16K0F3E,
418.6,KITCHENER,-31.035348,124.037130,16K0F3E,
418.575,COONANA HILL,-31.024394,123.084328,16K0F3E,
418.6,BLACK CAT,-30.977344,122.621129,16K0F3E,
418.575,GOLDEN HILL,-30.856952,121.677617,16K0F3E,
163.8125,NATIONWIDE,-27.84,133.21,10K1F3E,
418.1,TARCOOLA,-30.713325,134.556106,16K0F3E,
418.225,BARTON SIDING,-30.523092,132.674675,16K0F3E,
418.1,BATES SIDING,-30.491144,132.342730,16K0F3E,
418.475,COOK,-30.613789,130.399398,16K0F3E,
418.175,LOONGANA,-30.946840,127.031967,16K0F3E,
418.175,BOOKALOO SIDING,-31.891556,137.356636,16K0F3E,
418.475,MCLEAY SIDING,-31.651659,137.147525,16K0F3E,
418.125,BURANDO SIDING,-31.220439,136.441780,16K0F3E,
465.475,PORT WARATAH,-32.901867,151.768254,10K1F3E,
418.575,DEAKIN,-30.767856,128.969919,16K0F3E,
418.6,PORT AUGUSTA,-32.496772,137.767023,16K0F3E,
418.55,FERGUSON SIDING,-30.842023,134.890954,16K0F3E,
418.575,BARTON SIDING,-30.523092,132.674675,16K0F3E,
418.4875,KOORAGANG ISLAND,-32.866866,151.758692,10K1F3E,
418.1,BOONDEROO,-31.015241,124.486337,16K0F3E,
418.125,RAINBOW,-30.933027,122.192745,16K0F3E,
418.6,BOOKALOO SIDING,-31.891556,137.356636,16K0F3E,
418.55,COONANA HILL,-31.024394,123.084328,16K0F3E,
418.525,ZANTHUS,-31.032654,123.571610,16K0F3E,
450.05,MAITLAND,-32.738367,151.551730,10K1F3E,
457.0375,NATIONWIDE,-27.84,133.21,10K1F2D,
418.3375,NATIONWIDE,-27.84,133.21,10K1F3E,
418.475,KINGOONYA,-30.910595,135.321460,16K0F3E,
418.2,LYONS SIDING,-30.639765,133.952590,16K0F3E,
418.1,WATSON,-30.485277,131.507923,16K0F3E,
418.2,COOK,-30.615791,130.409269,16K0F3E,
418.475,MUNDRABILLA,-30.903289,127.536857,16K0F3E,
418.475,BURANDO SIDING,-31.220439,136.441780,16K0F3E,
418.55,DENMAN SIDING,-30.662588,129.976351,16K0F3E,
