frequency,location,lat,lon,mode,alphatag
410.625,STUART,-19.345688,146.863714,12K5FXW,
412.45,ACACIA RIDGE,-27.582367,153.034223,10K1F3E,
450.05,ACACIA RIDGE,-27.582367,153.034223,12K5FXW,
462.475,WOREE,-16.960048,145.749706,12K5FXW,
418.275,ENFIELD,-33.900643,151.073631,12K5FXW,
465.775,GRETA,-32.678333,151.376393,12K5FXW,
466.35,GRETA,-32.678333,151.376393,12K5FXW,
410.625,KEWDALE,-31.984176,115.959705,12K5FXW,
467.275,ACACIA RIDGE,-27.578052,153.029882,12K5FXW,
418.2375,REGENCY PARK,-34.866958,138.575402,10K1F3E,
411.625,GRIFFITH,-34.286342,146.049467,12K5FXW,
411.625,PARKES,-33.133274,148.134526,12K5FXW,
411.625,CARDIFF,-32.938136,151.649480,12K5FXW,
411.625,WILPINJONG,-32.343252,149.877055,12K5FXW,
410.625,MAULES CREEK,-30.627911,150.146736,12K5FXW,
411.1375,PORT KEMBLA,-34.443463,150.888702,12K5FXW,
463.075,ACACIA RIDGE,-27.578052,153.029882,12K5FXW,
411.375,SAINT MARYS,-33.759841,150.770549,12K5FXW,
418.2,ACACIA RIDGE,-27.581584,153.030928,10K1F3E,
411.025,FOOTSCRAY,-37.803090,144.925083,10K1F3E,
412.375,NATIONWIDE,-27.84,133.21,10K1F3E,
472.5,SPOTSWOOD,-37.831320,144.880890,12K5FXW,
418.225,FOOTSCRAY,-37.802840,144.923671,10K1F3E,
418.3125,FOOTSCRAY,-37.802840,144.923671,10K1F3E,
418.1625,PARKES,-33.132239,148.102458,12K5FXW,
418.1375,STUART,-19.345688,146.863714,12K5FXW,
410.875,FOOTSCRAY,-37.803090,144.925083,12K5FXW,
411.375,WERRIS CREEK,-31.212406,150.384302,12K5FXW,
410.775,WOREE,-16.960048,145.749706,10K1F3E,
418.375,Banksmeadow ,-33.957962,151.220396,12K5FXW,
463.3875,PORT BOTANY,-33.965444,151.219805,12K5FXW,
418.35,PAGET,-21.178567,149.165510,12K5F7E,
418.3625,JUNEE,-34.870299,147.583589,12K5FXW,
