frequency,location,lat,lon,mode,alphatag
467.625,SA-WIDE,-32.1365,134.8854,10K1G9W,
160.9875,BORDERTOWN,-36.310311,140.769357,10K1F3E,
161.15,BORDERTOWN,-36.310311,140.769357,10K1F3E,
161.0125,LAMEROO,-35.329552,140.517743,10K1F3E,
162.175,PORT PIRIE,-33.189695,138.005798,10K1F3E,
160.9875,PINNAROO,-35.261276,140.909803,10K1F3E,
161.225,SA-WIDE,-32.1365,134.8854,10K1F3E,
161.0625,O`HALLORAN HILL,-35.054908,138.545049,10K1F3E,
163.25,SA-WIDE,-32.1365,134.8854,10K1G9W,
161.0,BORDERTOWN,-36.310311,140.769357,10K1F3E,
161.0125,BORDERTOWN,-36.310311,140.769357,10K1F3E,
161.175,NARACOORTE,-36.957297,140.739177,10K1F3E,
161.15,NARACOORTE,-36.957297,140.739177,10K1F3E,
161.2,NARACOORTE,-36.950761,140.769491,10K1F3E,
161.175,LAMEROO,-35.329552,140.517743,10K1F3E,
161.2,LAMEROO,-35.329552,140.517743,10K1F3E,
476.6,SA-WIDE,-32.1365,134.8854,10K1F3E,
162.2125,GAWLER,-34.603424,138.750141,10K1F3E,
161.225,PINNAROO,-35.261276,140.909803,10K1F3E,
161.0125,SA-WIDE,-32.1365,134.8854,10K1F3E,
161.1875,SA-WIDE,-32.1365,134.8854,10K1F3E,
161.175,GLEN OSMOND,-34.960966,138.644204,10K1F3E,
162.7625,SA-WIDE,-32.1365,134.8854,10K1G9W,
161.15,MT GAMBIER,-37.838016,140.806213,10K1F3E,
161.0,MT GAMBIER,-37.838016,140.806213,10K1F3E,
161.0875,NARACOORTE,-36.957297,140.739177,10K1F3E,
161.0,NARACOORTE,-36.957297,140.739177,10K1F3E,
161.225,PENOLA,-37.377961,140.839144,10K1F3E,
160.9875,LAMEROO,-35.329552,140.517743,10K1F3E,
163.375,SA-WIDE,-32.1365,134.8854,10K1G9W,
162.2125,PORT LINCOLN,-34.731638,135.865787,10K1F3E,
162.0625,MOUNT GAMBIER,-37.832092,140.784422,10K1F3E,
161.15,PINNAROO,-35.261276,140.909803,10K1F3E,
160.9875,PARINGA,-34.179654,140.783692,10K1F3E,
476.475,STENHOUSE BAY,-35.279944,136.939611,16K0F3E,
476.6,PANEY HOMESTEAD,-32.651960,135.626743,16K0F3E,
161.0375,SA-WIDE,-32.1365,134.8854,10K1F3E,
161.2125,SA-WIDE,-32.1365,134.8854,10K1F3E,
161.4,WHYALLA,-33.029033,137.551822,10K1F3E,
161.375,WALLAROO,-33.932827,137.625844,10K1F3E,
162.1875,SA-WIDE,-32.1365,134.8854,10K1G9W,
162.6875,SA-WIDE,-32.1365,134.8854,10K1G9W,
161.2,MT GAMBIER,-37.838016,140.806213,10K1F3E,
161.175,BORDERTOWN,-36.310311,140.769357,10K1F3E,
161.225,NARACOORTE,-36.950761,140.769491,10K1F3E,
161.0875,PORT MACDONNELL,-38.052412,140.702282,10K1F3E,
161.2,PORT MACDONNELL,-38.052412,140.702282,10K1F3E,
161.175,PINNAROO,-35.261276,140.909803,10K1F3E,
161.2,PINNAROO,-35.261276,140.909803,10K1F3E,
163.54,BENBONYATHE HILL,-30.408177,139.179352,16K0F3E,
160.9875,SA-WIDE,-32.1365,134.8854,10K1F3E,
161.1125,SA-WIDE,-32.1365,134.8854,10K1F3E,
161.0875,SA-WIDE,-32.1365,134.8854,10K1F3E,
160.9875,PORT AUGUSTA,-32.497713,137.770726,10K1F3E,
467.625,SA-WIDE,-32.1365,134.8854,10K1G9W,
161.225,MT GAMBIER,-37.838016,140.806213,10K1F3E,
161.2,BORDERTOWN,-36.310311,140.769357,10K1F3E,
160.9875,NARACOORTE,-36.957297,140.739177,10K1F3E,
161.225,NARACOORTE,-36.957297,140.739177,10K1F3E,
160.9875,NARACOORTE,-36.950761,140.769491,10K1F3E,
161.175,NARACOORTE,-36.950761,140.769491,10K1F3E,
161.15,NARACOORTE,-36.950761,140.769491,10K1F3E,
161.1125,PENOLA,-37.377961,140.839144,10K1F3E,
161.0875,PENOLA,-37.377961,140.839144,10K1F3E,
161.2,PENOLA,-37.377961,140.839144,10K1F3E,
161.1125,PORT MACDONNELL,-38.052412,140.702282,10K1F3E,
161.0375,LAMEROO,-35.329552,140.517743,10K1F3E,
161.15,LAMEROO,-35.329552,140.517743,10K1F3E,
162.2125,MURRAY BRIDGE,-35.133201,139.279220,10K1F3E,
162.175,LOXTON,-34.446322,140.578664,10K1F3E,
161.0,LAMEROO,-35.329552,140.517743,10K1F3E,
161.0,PINNAROO,-35.261276,140.909803,10K1F3E,
161.025,SA-WIDE,-32.1365,134.8854,10K1F3E,
161.175,SA-WIDE,-32.1365,134.8854,10K1F3E,
161.0625,SA-WIDE,-32.1365,134.8854,10K1F3E,
162.0625,TANUNDA,-34.517869,138.967712,10K1F3E,
161.3875,RENMARK,-34.174393,140.744696,10K1F3E,
161.2875,MOONTA,-34.068507,137.587451,10K1F3E,
163.0875,SA-WIDE,-32.1365,134.8854,10K1G9W,
161.1125,MT GAMBIER,-37.838016,140.806213,10K1F3E,
161.225,BORDERTOWN,-36.310311,140.769357,10K1F3E,
161.0375,BORDERTOWN,-36.310311,140.769357,10K1F3E,
161.0875,NARACOORTE,-36.950761,140.769491,10K1F3E,
161.0,PENOLA,-37.377961,140.839144,10K1F3E,
161.175,PORT MACDONNELL,-38.052412,140.702282,10K1F3E,
476.6,SA-WIDE,-32.1365,134.8854,10K1F3E,
163.2875,SA-WIDE,-32.1365,134.8854,10K1G9W,
162.0625,PETERBOROUGH,-32.969441,138.839567,10K1F3E,
161.0125,PARINGA,-34.179654,140.783692,10K1F3E,
161.0375,PARINGA,-34.179654,140.783692,10K1F3E,
161.2,PARINGA,-34.179654,140.783692,10K1F3E,
476.425,ROCKY RIVER,-35.980714,136.733018,16K0F3E,
161.125,SA-WIDE,-32.1365,134.8854,10K1F3E,
161.1375,SA-WIDE,-32.1365,134.8854,10K1F3E,
161.1625,SA-WIDE,-32.1365,134.8854,10K1F3E,
161.075,SA-WIDE,-32.1365,134.8854,10K1F3E,
161.1,SA-WIDE,-32.1365,134.8854,10K1F3E,
423.7375,TOTHILL BELT,-33.9777,138.960730,10K1F1E,
161.0875,MT GAMBIER,-37.838016,140.806213,10K1F3E,
160.9875,MT GAMBIER,-37.838016,140.806213,10K1F3E,
161.2,NARACOORTE,-36.957297,140.739177,10K1F3E,
161.1125,NARACOORTE,-36.950761,140.769491,10K1F3E,
161.0,NARACOORTE,-36.950761,140.769491,10K1F3E,
161.15,PENOLA,-37.377961,140.839144,10K1F3E,
161.175,PARINGA,-34.179654,140.783692,10K1F3E,
161.1125,NARACOORTE,-36.957297,140.739177,10K1F3E,
161.0,SA-WIDE,-32.1365,134.8854,10K1F3E,
161.15,SA-WIDE,-32.1365,134.8854,10K1F3E,
161.05,SA-WIDE,-32.1365,134.8854,10K1F3E,
469.5375,SA-WIDE,-32.1365,134.8854,10K1G9W,
161.375,VICTOR HARBOR,-35.549958,138.612908,10K1F3E,
162.4625,SA-WIDE,-32.1365,134.8854,10K1G9W,
160.9875,PENOLA,-37.377961,140.839144,10K1F3E,
161.175,PENOLA,-37.377961,140.839144,10K1F3E,
160.9875,PORT MACDONNELL,-38.052412,140.702282,10K1F3E,
161.225,LAMEROO,-35.329552,140.517743,10K1F3E,
476.6,SA-WIDE,-32.1365,134.8854,10K1F3E,
162.6,SA-WIDE,-32.1365,134.8854,10K1G9W,
162.0625,BERRI,-34.285783,140.597409,10K1F3E,
161.0125,PINNAROO,-35.261276,140.909803,10K1F3E,
161.0375,PINNAROO,-35.261276,140.909803,10K1F3E,
476.525,KINGSTON,-36.706983,140.164704,16K0F3E,
161.2,SA-WIDE,-32.1365,134.8854,10K1F3E,
165.125,SA-WIDE,-32.1365,134.8854,10K1G9W,
163.7875,SA-WIDE,-32.1365,134.8854,10K1G9W,
423.8625,MT BRYAN,-33.426020,138.974462,10K1F1E,
162.175,KAPUNDA,-34.343519,138.913780,10K1F3E,
161.175,KADINA,-33.961292,137.715223,10K1F3E,
161.175,MT GAMBIER,-37.838016,140.806213,10K1F3E,
