frequency,location,lat,lon,mode,alphatag
163.99,PORT LINCOLN,-34.722176,135.869641,16K0F3E,
164.625,SA-WIDE,-32.1365,134.8854,10K1F3E,
476.425,COPPUDURBA HILL,-31.950623,133.770226,16K0F3E,
168.6625,SA-WIDE,-32.1365,134.8854,10K1F3E,
153.1125,SA-WIDE,-32.1365,134.8854,10K1F3E,
162.3375,SA-WIDE,-32.1365,134.8854,10K1F3E,
476.55,ST FRANCIS ISLAND,-32.510866,133.306021,16K0F3E,
168.7375,SA-WIDE,-32.1365,134.8854,10K1F3E,
163.8125,SA-WIDE,-32.1365,134.8854,10K1F3E,
162.5,SA-WIDE,-32.1365,134.8854,10K1F3E,
165.67,COWELL,-33.685430,136.929025,16K0F3E,
167.41,TUMBY BAY,-34.346593,135.987563,16K0F3E,
163.2875,SA-WIDE,-32.1365,134.8854,10K1F3E,
152.65,SA-WIDE,-32.1365,134.8854,10K1F3E,
153.2625,SA-WIDE,-32.1365,134.8854,10K1F3E,
