frequency,location,lat,lon,mode,alphatag
417.0,NUNJIKOMPITA,-32.261441,134.260476,10K1F3E,
413.45,BUNABIE,-31.543670,129.217592,10K1F3E,
413.325,YANGOONABIE,-31.504570,130.011587,10K1F3E,
416.6875,PILLAWORTA HILL,-34.392486,135.954465,10K1F3E,
416.8125,PORT LINCOLN,-34.694583,135.830562,10K1F3E,
417.275,TOOLIGIE HILL,-33.796901,135.845472,10K1F3E,
417.225,CHERRY GARDENS,-35.071585,138.627476,10K1G9W,
418.5,YANKALILLA,-35.480670,138.288165,10K1G9W,
418.8125,ADELAIDE,-34.924828,138.598754,10K1G9W,
421.3875,MOUNT BARKER,-35.066685,138.921342,10K1G9W,
148.8125,STRATHALBYN,-35.277104,138.835858,16K0F1D,
416.525,WICKHAM HILL,-35.187597,138.655798,10K1G9W,
416.5,MT TERRIBLE,-35.329613,138.502184,10K1G9W,
415.6375,NITSCHKE HILL,-34.882778,138.871250,10K1G9W,
413.175,BEDFORD PARK,-35.021982,138.569418,10K1G9W,
414.6625,PENNESHAW,-35.768005,138.007947,10K1G9W,
414.525,KADAMERE,-35.917989,136.808781,10K1G9W,
414.775,KADAMERE,-35.917989,136.808781,10K1G9W,
421.875,BROWN HILL,-35.504608,138.646883,10K1G9W,
418.5375,DELAMERE,-35.606254,138.160374,10K1G9W,
421.5375,DELAMERE,-35.606254,138.160374,10K1G9W,
421.7875,DELAMERE,-35.606254,138.160374,10K1G9W,
415.2125,MOUNT GORE,-34.987054,137.265319,10K1G9W,
414.6125,PLAYFORD,-35.791902,136.780731,10K1G9W,
421.875,WEAVER HILL,-34.946691,137.681089,10K1G9W,
414.7875,MOONABIE,-33.264385,137.201635,10K1G9W,
420.5125,PARACHILNA,-31.399426,138.808410,10K1G9W,
420.55,MT NIELSEN,-31.148737,138.641886,10K1G9W,
421.475,WILPENA,-31.585870,138.548950,10K1G9W,
420.6875,PILLAWORTA HILL,-34.392486,135.954465,10K1G9W,
421.9375,PILLAWORTA HILL,-34.392486,135.954465,10K1G9W,
415.275,TOOLIGIE HILL,-33.796901,135.845472,10K1G9W,
418.775,TOOLIGIE HILL,-33.796901,135.845472,10K1G9W,
415.3,WONOKA HILL,-31.818594,138.409613,10K1G9W,
148.8125,WIGUNDA,-31.556579,130.395202,16K0F1D,
412.9875,MODBURY,-34.831791,138.690684,10K1G9W,
413.175,MODBURY,-34.831791,138.690684,10K1G9W,
414.6,NORTHFIELD,-34.846042,138.641734,10K1G9W,
420.65,KANGAROO CREEK,-34.874449,138.771582,10K1G9W,
421.475,MOUNT WEDGE,-33.475649,135.142178,10K1G9W,
422.1625,BAROSSA RANGE,-34.527076,139.035963,10K1G9W,
421.9625,MT REMARKABLE,-32.802229,138.039560,10K1G9W,
420.725,WICKHAM HILL,-35.187597,138.655798,10K1G9W,
421.425,MOONTA,-34.060820,137.598873,10K1G9W,
415.0,NUNJIKOMPITA,-32.261441,134.260476,10K1G9W,
414.975,POOCHERA HILL,-32.712715,134.871579,10K1G9W,
417.6375,NITSCHKE HILL,-34.882778,138.871250,10K1FXW,
416.8375,TALINGA,-35.343978,139.964908,10K1F3E,
148.8125,SALT CREEK,-36.138824,139.663509,16K0F1D,
416.6625,BAROSSA RANGE,-34.527076,139.035963,10K1FXW,
415.6625,BAROSSA RANGE,-34.527076,139.035963,10K1FXW,
416.05,BULL CREEK,-35.231149,138.779299,10K1FXW,
148.8125,PLAYFORD,-35.791902,136.780731,16K0F1D,
148.8125,KADAMERE,-35.917989,136.808781,16K0F1D,
417.1625,PENNESHAW,-35.768005,138.007947,10K1F3E,
416.8625,PLAYFORD,-35.791902,136.780731,10K1F3E,
412.775,KADAMERE,-35.917989,136.808781,10K1F3E,
413.275,KADAMERE,-35.917989,136.808781,10K1F3E,
416.275,KADAMERE,-35.917989,136.808781,10K1F3E,
412.6375,WOOMERA,-31.192064,136.814854,10K1F3E,
416.1375,DARTMOOR,-37.861337,141.053167,10K1FXW,
412.725,NARACOORTE,-36.975958,140.770134,10K1FXW,
416.075,KEITH NORTH,-35.772154,140.887845,10K1FXW,
413.05,HAHNDORF,-35.024259,138.800221,10K1G9W,
412.9125,MT ROBINSON,-35.545775,138.400736,10K1G9W,
418.8125,MENINGIE,-35.688571,139.347172,10K1G9W,
