frequency,location,lat,lon,mode,alphatag
412.5,MT MACEDON,-37.383441,144.576780,10K1F3E,
412.75,MT ROUSE,-37.882484,142.300573,12K5FXW,
413.425,ECHUCA,-36.141069,144.751954,10K1F3E,
412.525,RENNIES HILL,-37.218631,145.705835,10K1F3E,
413.025,Sale,-38.108767,147.080750,12K5FXW,
413.1,MT ST LEONARD,-37.567537,145.525550,10K1F3E,
163.3,MT ST LEONARD,-37.567537,145.525550,10K1F3E,
413.2,VIC-WIDE,-36.6535,144.8534,10K1F3E,
412.575,WARRNAMBOOL,-38.375968,142.480264,10K1F3E,
412.85,SHEPPARTON,-36.374855,145.399969,10K1F3E,
122.075,MT ST LEONARD,-37.567537,145.525550,6K00A3E,
132.75,ESSENDON FIELDS,-37.720116,144.898203,6K00A3E,
413.35,MT BUNINYONG,-37.654816,143.924895,10K1F3E,
415.425,DRIFFIELD,-38.240848,146.285988,10K1F3E,
413.1,VIC-WIDE,-36.6535,144.8534,10K1F3E,
413.175,VIC-WIDE,-36.6535,144.8534,10K1F3E,
412.475,GEELONG,-38.152056,144.365668,10K1F3E,
413.3,VIC-WIDE,-36.6535,144.8534,10K1F3E,
162.425,VIC-WIDE,-36.6535,144.8534,10K1F3E,
415.425,MT TASSIE,-38.393572,146.559260,10K1F3E,
413.225,BENDIGO,-36.802687,144.300976,10K1F3E,
412.975,WANGARATTA,-36.367148,146.298035,10K1F3E,
76.67,VIC-WIDE,-36.6535,144.8534,12K5FXW,
412.575,MT WARRNAMBOOL,-38.305857,142.739475,12K5FXW,
412.525,MT VICTORY,-37.147568,142.446743,12K5FXW,
415.425,MILDURA,-34.203516,142.151871,25K0FXW,
412.5,VIC-WIDE,-36.6535,144.8534,10K1F3E,
412.525,VIC-WIDE,-36.6535,144.8534,10K1F3E,
412.75,HAMILTON,-37.737594,142.032229,10K1F3E,
413.075,HORSHAM,-36.713140,142.200525,10K1F3E,
413.025,SWAN HILL,-35.338844,143.557345,10K1F3E,
76.67,MT MACEDON,-37.383441,144.576780,12K5FXW,
413.15,VIC-WIDE,-36.6535,144.8534,10K1F3E,
413.3,VIC-WIDE,-36.6535,144.8534,10K1F3E,
