frequency,location,lat,lon,mode,alphatag
161.0125,GEELONG,-38.146859,144.354902,10K1F3E,
161.0125,LARA,-38.003020,144.410187,10K1F3E,
161.125,LARA,-37.960002,144.420805,10K1F3E,
161.1,MT DANDENONG,-37.833498,145.355335,10K1F3E,
161.175,SHERBROOKE,-37.875880,145.357120,10K1F3E,
161.175,OLINDA,-37.859930,145.376799,10K1F3E,
161.2,OLINDA,-37.859930,145.376799,10K1F3E,
161.2,WARBURTON,-37.617753,145.770714,10K1F3E,
161.1,WARBURTON,-37.617753,145.770714,10K1F3E,
161.1125,TEMPLESTOWE,-37.744604,145.135312,10K1F3E,
161.2,FERNTREE GULLY,-37.889197,145.317365,10K1F3E,
161.1,FERNTREE GULLY,-37.889197,145.317365,10K1F3E,
161.15,DIGGERS REST,-37.667920,144.767644,10K1F3E,
161.0625,MT BLACKWOOD,-37.557265,144.360052,10K1F3E,
161.2,BALLARAT,-37.6048,143.857189,10K1F3E,
161.025,MT BUNINYONG,-37.652930,143.926465,10K1F3E,
161.0875,BEECHWORTH,-36.373452,146.680324,10K1F3E,
161.0875,TALLANGATTA,-36.216043,147.176710,10K1F3E,
161.0375,YARRAM,-38.559940,146.670039,10K1F3E,
161.0125,ALEXANDRA,-37.188254,145.700811,10K1F3E,
161.225,ALEXANDRA,-37.188254,145.700811,10K1F3E,
161.1375,ALEXANDRA,-37.188254,145.700811,10K1F3E,
161.225,BROADFORD,-37.206372,145.042749,10K1F3E,
161.1625,RAWSON,-37.952906,146.388895,10K1F3E,
161.0375,HEYFIELD,-37.976554,146.782890,10K1F3E,
161.0,YARRAM,-38.564640,146.674724,10K1F3E,
161.05,BAIRNSDALE,-37.843532,147.585477,10K1F3E,
160.9875,GEELONG,-38.147186,144.355461,10K1F3E,
161.125,GEELONG,-38.147186,144.355461,10K1F3E,
161.1125,WARRANDYTE,-37.734053,145.210470,10K1F3E,
161.1,KALLISTA,-37.885619,145.370549,10K1F3E,
