frequency,location,lat,lon,mode,alphatag
412.6375,VIC-WIDE,-36.6535,144.8534,10K1F9W,
412.7125,VIC-WIDE,-36.6535,144.8534,10K1F9W,
412.7625,VIC-WIDE,-36.6535,144.8534,10K1F9W,
413.2375,VIC-WIDE,-36.6535,144.8534,10K1F9W,
413.275,VIC-WIDE,-36.6535,144.8534,10K1F9W,
412.7,VIC-WIDE,-36.6535,144.8534,10K1F9W,
412.925,VIC-WIDE,-36.6535,144.8534,10K1F9W,
413.3125,VIC-WIDE,-36.6535,144.8534,10K1F9W,
412.6875,VIC-WIDE,-36.6535,144.8534,10K1F9W,
413.05,VIC-WIDE,-36.6535,144.8534,10K1F9W,
412.7375,VIC-WIDE,-36.6535,144.8534,10K1F9W,
412.8,VIC-WIDE,-36.6535,144.8534,10K1F9W,
412.825,VIC-WIDE,-36.6535,144.8534,10K1F9W,
413.0875,VIC-WIDE,-36.6535,144.8534,10K1F9W,
413.2625,VIC-WIDE,-36.6535,144.8534,10K1F9W,
412.8875,VIC-WIDE,-36.6535,144.8534,10K1F9W,
413.1875,VIC-WIDE,-36.6535,144.8534,10K1F9W,
412.7875,VIC-WIDE,-36.6535,144.8534,10K1F9W,
412.875,VIC-WIDE,-36.6535,144.8534,10K1F9W,
412.9,VIC-WIDE,-36.6535,144.8534,10K1F9W,
