frequency,location,lat,lon,mode,alphatag
162.0625,VIC-WIDE,-36.6535,144.8534,10K1F3E,
172.925,VIC-WIDE,-36.6535,144.8534,10K1F3E,
150.3375,MT ST LEONARD,-37.567537,145.525550,10K1F3E,
173.0125,VIC-WIDE,-36.6535,144.8534,10K1F3E,
168.7375,VIC-WIDE,-36.6535,144.8534,10K1F3E,
414.5625,VIC-WIDE,-36.6535,144.8534,10K1F3E,
151.325,VIC-WIDE,-36.6535,144.8534,10K1F3E,
150.7375,ARTHURS SEAT,-38.355408,144.951292,10K1F3E,
422.6125,VIC-WIDE,-36.6535,144.8534,10K1F3E,
152.575,BELL PARK,-38.101436,144.342506,10K1F3E,
423.925,VIC-WIDE,-36.6535,144.8534,10K1F3E,
163.075,MT MACEDON,-37.383441,144.576780,10K1F3E,
164.625,MOUNT VICTORIA,-37.725164,145.697283,10K1F3E,
414.55,VIC-WIDE,-36.6535,144.8534,10K1F3E,
173.0125,BELL PARK,-38.101436,144.342506,10K1F3E,
424.3,VIC-WIDE,-36.6535,144.8534,10K1F3E,
424.4625,VIC-WIDE,-36.6535,144.8534,10K1F3E,
424.6375,VIC-WIDE,-36.6535,144.8534,10K1F3E,
426.275,VIC-WIDE,-36.6535,144.8534,10K1F3E,
162.225,BELL PARK,-38.101436,144.342506,10K1F3E,
162.225,BELL PARK,-38.101436,144.342506,10K1F3E,
163.8125,VIC-WIDE,-36.6535,144.8534,10K1F3E,
162.175,VIC-WIDE,-36.6535,144.8534,10K1F3E,
163.025,HIGHTON,-38.157168,144.313919,10K1F3E,
150.125,MELBOURNE,-37.814922,144.970588,10K1F3E,
423.425,VIC-WIDE,-36.6535,144.8534,10K1F3E,
164.95,MT ANAKIE,-37.886475,144.269148,10K1F3E,
426.0125,VIC-WIDE,-36.6535,144.8534,10K1F3E,
149.7625,BELL PARK,-38.101436,144.342506,10K1F3E,
160.9875,BELL PARK,-38.101436,144.342506,10K1F3E,
162.175,BELL PARK,-38.101436,144.342506,10K1F3E,
149.7625,VIC-WIDE,-36.6535,144.8534,10K1F3E,
415.45,VIC-WIDE,-36.6535,144.8534,10K1F3E,
162.9625,MOUNT DANDENONG,-37.837476,145.346610,10K1F3E,
160.9875,VIC-WIDE,-36.6535,144.8534,10K1F3E,
414.4875,VIC-WIDE,-36.6535,144.8534,10K1F3E,
168.7375,BELL PARK,-38.101436,144.342506,10K1F3E,
162.225,VIC-WIDE,-36.6535,144.8534,10K1F3E,
422.875,VIC-WIDE,-36.6535,144.8534,10K1F3E,
152.575,VIC-WIDE,-36.6535,144.8534,10K1F3E,
412.5,VIC-WIDE,-36.6535,144.8534,10K1F3E,
162.0625,BELL PARK,-38.101436,144.342506,10K1F3E,
162.175,BELL PARK,-38.101436,144.342506,10K1F3E,
151.325,BELL PARK,-38.101436,144.342506,10K1F3E,
