frequency,location,lat,lon,mode,alphatag
163.95,BELGRAVE,-37.910364,145.358508,10K1F1E,
153.1125,EMERALD,-37.931098,145.459774,10K1F1E,
153.5125,Gembrook,-37.946841,145.533453,10K1F1E,
152.7125,EMERALD,-37.932392,145.443716,10K1F1E,
153.5125,BELGRAVE,-37.910364,145.358508,10K1F1E,
163.625,EMERALD,-37.932392,145.443716,10K1F1E,
162.45,Gembrook,-37.946841,145.533453,10K1F1E,
162.85,Gembrook,-37.946841,145.533453,10K1F1E,
152.7125,COCKATOO,-37.934514,145.491490,10K1F1E,
164.55,BELGRAVE,-37.910364,145.358508,10K1F1E,
153.5125,MENZIES CREEK,-37.920764,145.405090,10K1F1E,
152.7125,Gembrook,-37.946841,145.533453,10K1F1E,
153.5125,EMERALD,-37.932392,145.443716,10K1F1E,
163.0875,EMERALD,-37.932392,145.443716,10K1F1E,
162.1,Gembrook,-37.946841,145.533453,10K1F1E,
152.7125,MENZIES CREEK,-37.920764,145.405090,10K1F1E,
162.35,BELGRAVE,-37.910364,145.358508,10K1F1E,
164.1,EMERALD,-37.932392,145.443716,10K1F1E,
163.425,Gembrook,-37.946841,145.533453,10K1F1E,
162.6625,EMERALD,-37.932392,145.443716,10K1F1E,
163.325,BELGRAVE,-37.910364,145.358508,10K1F1E,
153.1125,BELGRAVE,-37.906647,145.357958,10K1F1E,
153.5125,COCKATOO,-37.934514,145.491490,10K1F1E,
