frequency,location,lat,lon,mode,alphatag
418.275,GEELONG,-38.144158,144.3550,10K1F3E,
418.2375,MELBOURNE,-37.814485,144.949983,10K1F3E,
418.4375,MELBOURNE,-37.814485,144.949983,10K1F3E,
418.425,SOUTH GEELONG,-38.151764,144.352672,10K1F3E,
450.05,Ouyen,-35.070642,142.318144,10K1F3E,
418.4375,SUNSHINE,-37.789447,144.832622,10K1F3E,
414.7125,MELBOURNE,-37.818668,144.965714,10K1F3E,
418.2375,QUARRY HILL,-36.765849,144.283283,10K1F3E,
418.1625,NEWPORT,-37.849375,144.882645,10K1F3E,
418.425,Marshall,-38.200794,144.354143,10K1F3E,
471.8125,VIC-WIDE,-36.6535,144.8534,10K1F3E,
418.1875,Carlton,-37.799855,144.959633,7K60FXE,
418.4875,Carlton,-37.799855,144.959633,7K60FXE,
418.4125,Melbourne,-37.817030,144.966952,7K60FXE,
484.8,VIC-WIDE,-36.6535,144.8534,10K1F3E,
418.3125,SYDENHAM,-37.701602,144.774596,10K1F3E,
508.45,SOUTHBANK,-37.821606,144.964668,10K1F2D,
508.775,MELBOURNE,-37.816356,144.962313,10K1F2D,
450.05,North Shore,-38.099803,144.365170,10K1F3E,
418.375,MOE,-38.176672,146.261633,10K1F3E,
418.3625,FRANKSTON,-38.141665,145.126775,10K1F3E,
450.05,Maddingley,-37.701724,144.415609,10K1F3E,
418.4375,Maddingley,-37.701724,144.415609,10K1F3E,
507.6,MELBOURNE,-37.818520,144.957141,10K1F2D,
418.425,WEST MELBOURNE,-37.801428,144.933026,10K1F3E,
411.375,WEST MELBOURNE,-37.801428,144.933026,10K1F3E,
412.375,WEST MELBOURNE,-37.801428,144.933026,10K1F3E,
418.1125,NEWPORT,-37.849375,144.882645,10K1F3E,
450.05,NEWPORT,-37.842906,144.883740,10K1F3E,
450.05,Boorcan,-38.213847,143.013733,10K1F3E,
450.05,PAKENHAM,-38.078066,145.474118,10K1F3E,
418.425,Boorcan,-38.213847,143.013733,10K1F3E,
450.05,WALLAN EAST,-37.416821,145.005337,10K1F3E,
410.65,West Melbourne,-37.803053,144.923258,10K1F3E,
418.225,GEELONG,-38.144158,144.3550,10K1F3E,
418.1375,MELBOURNE,-37.814485,144.949983,10K1F3E,
418.3375,MELBOURNE,-37.814485,144.949983,10K1F3E,
418.3875,MELBOURNE,-37.814485,144.949983,10K1F3E,
509.375,MELBOURNE,-37.811038,144.962232,10K1F2D,
415.0625,MELBOURNE,-37.818668,144.965714,10K1F3E,
418.1125,GEELONG,-38.144158,144.3550,10K1F3E,
450.05,Shepparton,-36.360159,145.431193,10K1F3E,
418.1375,Shepparton,-36.360159,145.431193,10K1F3E,
450.05,Marshall,-38.200794,144.354143,10K1F3E,
450.05,Geelong,-38.140590,144.354437,10K1F3E,
418.1875,Melbourne,-37.817030,144.966952,7K60FXE,
418.4875,WENDOUREE,-37.539520,143.818924,10K1F3E,
450.05,GOLDEN SQUARE,-36.773822,144.261561,10K1F3E,
450.05,MOE,-38.176672,146.261633,10K1F3E,
418.425,North Shore,-38.099803,144.365170,10K1F3E,
418.3125,CARLSRUHE,-37.307306,144.484720,10K1F3E,
450.05,DUNOLLY,-36.864161,143.729812,10K1F3E,
418.3125,CLARKEFIELD,-37.483401,144.745228,10K1F3E,
450.05,KILMORE EAST,-37.293107,144.983061,10K1F3E,
418.3625,Hastings,-38.305111,145.186112,10K1F3E,
418.175,MELBOURNE,-37.812130,144.955046,10K1F3E,
418.3625,MELBOURNE,-37.812130,144.955046,7K60FXE,
418.1875,KILMORE EAST,-37.293107,144.983061,10K1F3E,
410.65,Brooklyn,-37.812187,144.833769,10K1F3E,
418.1625,WALLAN EAST,-37.416821,145.005337,10K1F3E,
450.05,ROXBRUGH PARK,-37.639636,144.936056,10K1F3E,
450.05,MARYBOROUGH,-37.049848,143.743368,10K1F3E,
418.3875,WEST MELBOURNE,-37.801428,144.933026,10K1F3E,
418.35,WEST MELBOURNE,-37.801428,144.933026,10K1F3E,
418.4875,MT BUNINYONG,-37.652930,143.926465,10K1F3E,
450.05,LITTLE RIVER,-37.960711,144.501586,10K1F3E,
418.1375,WEST MELBOURNE,-37.801428,144.933026,10K1F3E,
418.4125,GEELONG NORTH,-38.114370,144.352654,10K1F3E,
418.4375,GEELONG NORTH,-38.114370,144.352654,10K1F3E,
450.05,FRANKSTON,-38.141665,145.126775,10K1F3E,
418.275,Melbourne,-37.833063,144.9723,7K60FXE,
418.375,PAKENHAM,-38.078066,145.474118,10K1F3E,
410.625,VIC-WIDE,-36.6535,144.8534,10K1F3E,
411.625,VIC-WIDE,-36.6535,144.8534,10K1F3E,
461.24375,MT BUNINYONG,-37.652930,143.926465,10K1F2D,
418.3625,Bonbeach,-38.062898,145.119641,10K1F3E,
418.375,MELBOURNE,-37.815975,144.955905,7K60FXE,
418.375,SOUTHBANK,-37.821606,144.964668,7K60FXE,
418.4875,RAVENHALL,-37.771174,144.747797,10K1F3E,
418.2375,BALLARAT,-37.558480,143.859266,10K1F3E,
418.1625,Shepparton,-36.360159,145.431193,10K1F3E,
418.1625,Mooroopna,-36.399271,145.357454,10K1F3E,
418.1625,SEYMOUR,-37.024128,145.139463,10K1F3E,
418.425,MAMBOURIN,-37.925551,144.592718,10K1F3E,
418.4125,Carlton,-37.799855,144.959633,7K60FXE,
418.3375,Melbourne,-37.807663,144.962403,7K60FXE,
450.05,BALLAN,-37.604360,144.2255,10K1F3E,
418.425,Geelong,-38.140590,144.354437,10K1F3E,
418.375,SALE,-38.103396,147.054383,10K1F3E,
450.05,KYNETON,-37.259341,144.451648,10K1F3E,
450.05,HARCOURT,-36.966475,144.245201,10K1F3E,
509.075,MELBOURNE,-37.816356,144.962313,10K1F2D,
508.475,MELBOURNE,-37.816356,144.962313,10K1F2D,
508.175,MELBOURNE,-37.816356,144.962313,10K1F2D,
418.1875,MADDINGLEY,-37.688341,144.438201,10K1F3E,
450.05,Seaford,-38.103911,145.128134,10K1F3E,
418.275,North Melbourne,-37.801080,144.941448,7K60FXE,
450.05,CRAIGIEBURN,-37.594471,144.946070,10K1F3E,
450.05,MORWELL,-38.236322,146.438368,10K1F3E,
450.05,YARRAMAN,-37.979999,145.194471,10K1F3E,
418.2875,OUYEN HILL,-35.072509,142.312237,10K1F3E,
450.05,SOUTH GEELONG,-38.151764,144.352672,10K1F3E,
418.4875,Maddingley,-37.701724,144.415609,10K1F3E,
450.05,Swan Hill,-35.342885,143.562479,10K1F3E,
418.2625,WEST MELBOURNE,-37.801428,144.933026,10K1F3E,
418.325,GEELONG NORTH,-38.114370,144.352654,10K1F3E,
450.05,Tourello,-37.348534,143.796543,10K1F3E,
412.0,Maryvale,-38.190105,146.446060,10K1F3E,
410.65,Kilmore East,-37.272979,144.995837,10K1F3E,
450.05,SEYMOUR,-37.024095,145.138466,10K1F3E,
450.05,SUNSHINE,-37.787081,144.831851,10K1F3E,
418.1125,WEST MELBOURNE,-37.801428,144.933026,10K1F3E,
418.3875,RAVENHALL,-37.771174,144.747797,10K1F3E,
418.4875,PARWAN,-37.706096,144.469864,10K1F3E,
418.4875,Maddingley,-37.695572,144.391652,10K1F3E,
450.05,STONY POINT,-38.374050,145.221645,10K1F3E,
418.4125,Melbourne,-37.833063,144.9723,7K60FXE,
411.375,VIC-WIDE,-36.6535,144.8534,10K1F3E,
418.325,WEST MELBOURNE,-37.801428,144.933026,10K1F3E,
418.425,Warrnambool,-38.387052,142.479401,10K1F3E,
450.05,Bonbeach,-38.062898,145.119641,10K1F3E,
450.05,MADDINGLEY,-37.688341,144.438201,10K1F3E,
418.4875,MELBOURNE,-37.814485,144.949983,10K1F3E,
474.225,RICHMOND,-37.824494,144.990248,7K60FXE,
418.4625,WEST MELBOURNE,-37.801428,144.933026,10K1F3E,
418.3625,Seaford,-38.103911,145.128134,10K1F3E,
450.05,SALE,-38.103396,147.054383,10K1F3E,
418.275,Melbourne,-37.807663,144.962403,7K60FXE,
418.4125,Melbourne,-37.807663,144.962403,7K60FXE,
418.4875,Melbourne,-37.807663,144.962403,7K60FXE,
412.375,FOOTSCRAY,-37.8025,144.901930,10K1F3E,
507.5,MELBOURNE,-37.811038,144.962232,10K0F3E,
450.05,TARADALE,-37.127554,144.353329,10K1F3E,
507.225,MELBOURNE,-37.811038,144.962232,10K1F2D,
507.85,SOUTHBANK,-37.821606,144.964668,10K1F2D,
507.575,MELBOURNE,-37.814922,144.970588,10K1F2D,
418.4125,North Melbourne,-37.801080,144.941448,7K60FXE,
450.05,TOTTENHAM,-37.799189,144.863183,10K1F3E,
418.3125,CASTLEMAINE,-37.062980,144.213995,10K1F3E,
418.375,MORWELL,-38.237251,146.398482,10K1F3E,
418.3125,KYNETON,-37.259341,144.451648,10K1F3E,
418.375,MORWELL,-38.236322,146.438368,10K1F3E,
450.05,SPRINGVALE,-37.949109,145.153164,10K1F3E,
418.15,MELBOURNE,-37.811313,144.972958,10K1F3E,
450.05,Nagambie,-36.785786,145.160346,10K1F3E,
418.2875,NEWPORT,-37.849375,144.882645,10K1F3E,
411.375,MELBOURNE,-37.816197,144.950981,10K1F3E,
418.4375,TRARALGON,-38.199179,146.537596,10K1F3E,
450.05,BACCHUS MARSH,-37.684778,144.362340,10K1F3E,
450.05,CAULFIELD,-37.878333,145.043716,10K1F3E,
450.05,MORWELL,-38.235980,146.4039,10K1F3E,
450.05,NEW GISBORNE,-37.459153,144.599546,10K1F3E,
418.375,WARRAGUL,-38.164569,145.931448,10K1F3E,
418.2125,WEST MELBOURNE,-37.801428,144.933026,10K1F3E,
418.3875,SUNSHINE,-37.789447,144.832622,10K1F3E,
450.05,ROCKBANK,-37.728732,144.649034,10K1F3E,
418.1875,Melbourne,-37.833063,144.9723,7K60FXE,
418.2375,Melbourne,-37.833063,144.9723,7K60FXE,
418.15,MELBOURNE,-37.818668,144.965714,10K1F3E,
418.3625,MELBOURNE,-37.818668,144.965714,10K1F3E,
450.05,Wyndham Vale,-37.852158,144.608831,10K1F3E,
450.05,BAIRNSDALE,-37.828803,147.627633,10K1F3E,
418.275,MELBOURNE,-37.814485,144.949983,10K1F3E,
450.05,Waurn Ponds,-38.225222,144.262531,10K1F3E,
418.1375,GEELONG,-38.144158,144.3550,10K1F3E,
450.05,Murchison East,-36.612317,145.240550,10K1F3E,
418.1625,Murchison East,-36.612317,145.240550,10K1F3E,
471.6375,VIC-WIDE,-36.6535,144.8534,10K1F3E,
471.775,VIC-WIDE,-36.6535,144.8534,10K1F3E,
450.4125,VIC-WIDE,-36.6535,144.8534,10K1F3E,
418.275,Carlton,-37.799855,144.959633,7K60FXE,
418.4875,BALLAN,-37.604360,144.2255,10K1F3E,
450.05,Clayton Monash,-37.922170,145.117010,10K1F3E,
450.05,MELBOURNE,-37.814485,144.949983,10K1F3E,
450.05,SUNSHINE,-37.789447,144.832622,10K1F3E,
450.05,CARLSRUHE,-37.307306,144.484720,10K1F3E,
450.05,SYDENHAM,-37.701602,144.774596,10K1F3E,
508.125,FRANKSTON,-38.174357,145.142559,10K1F2D,
507.825,MT WAVERLEY,-37.874602,145.138177,10K1F2D,
507.55,SOUTHBANK,-37.821606,144.964668,10K1F2D,
507.25,MELBOURNE,-37.818520,144.957141,10K1F2D,
507.875,MELBOURNE,-37.818520,144.957141,10K1F2D,
507.275,MELBOURNE,-37.814922,144.970588,10K1F2D,
410.7,VIC-WIDE,-36.6535,144.8534,10K1F3E,
418.1875,North Melbourne,-37.801080,144.941448,7K60FXE,
418.3375,North Melbourne,-37.801080,144.941448,7K60FXE,
418.4875,North Melbourne,-37.801080,144.941448,7K60FXE,
450.05,DANDENONG,-37.990451,145.207901,10K1F3E,
450.05,BROADMEADOWS,-37.682605,144.920169,10K1F3E,
418.1125,GEELONG NORTH,-38.114370,144.352654,10K1F3E,
418.2125,GEELONG NORTH,-38.114370,144.352654,10K1F3E,
450.05,WENDOUREE,-37.539520,143.818924,10K1F3E,
450.05,Toolamba,-36.489785,145.338428,10K1F3E,
418.4875,Ouyen,-35.074495,142.318295,10K1F3E,
418.4,SUNSHINE,-37.789447,144.832622,10K1F3E,
418.3625,NEWPORT,-37.849375,144.882645,10K1F3E,
418.4875,Tourello,-37.348534,143.796543,10K1F3E,
418.4875,BACCHUS MARSH,-37.684778,144.362340,10K1F3E,
418.3125,SUNBURY,-37.578732,144.728529,10K1F3E,
450.05,RAVENHALL,-37.771174,144.747797,10K1F3E,
450.05,MT BUNINYONG,-37.652930,143.926465,10K1F3E,
450.05,PARWAN,-37.706096,144.469864,10K1F3E,
418.4875,ROCKBANK,-37.728732,144.649034,10K1F3E,
450.05,LARA,-38.020694,144.417276,10K1F3E,
450.05,Maddingley,-37.695572,144.391652,10K1F3E,
418.3375,Melbourne,-37.833063,144.9723,7K60FXE,
412.375,VIC-WIDE,-36.6535,144.8534,10K1F3E,
418.2375,Wyndham Vale,-37.852158,144.608831,10K1F3E,
411.375,Marshall,-38.200794,144.354143,10K1F3E,
418.25,MELBOURNE,-37.815975,144.955905,7K60FXE,
418.25,SOUTHBANK,-37.821606,144.964668,7K60FXE,
418.4375,BALLARAT,-37.558480,143.859266,10K1F3E,
418.1875,MELBOURNE,-37.814485,144.949983,10K1F3E,
450.05,MARSHALL,-38.198748,144.354841,10K1F3E,
450.05,SEYMOUR,-37.024128,145.139463,10K1F3E,
472.0625,VIC-WIDE,-36.6535,144.8534,10K1F3E,
