frequency,location,lat,lon,mode,alphatag
425.625,CHELTENHAM,-37.957334,145.036443,10K1D7W,
421.95,MELBOURNE AIRPORT,-37.669122,144.854732,10K1D7W,
425.525,MELBOURNE AIRPORT,-37.669122,144.854732,10K1D7W,
420.125,MT COTTRELL,-37.763158,144.621872,10K1D7W,
420.425,MT COTTRELL,-37.763158,144.621872,10K1D7W,
420.4,EAST MELBOURNE,-37.821139,144.983595,10K1D7W,
422.1375,MT BLACKWOOD,-37.557265,144.360052,10K1D7W,
420.6875,MT EVELYN,-37.787519,145.380202,10K1D7W,
420.2375,KINGLAKE,-37.515708,145.316285,10K1D7W,
420.2375,PHEASANT CREEK,-37.482879,145.271049,10K1D7W,
468.675,MOUNT DANDENONG,-37.837476,145.346610,10K1D7W,
468.675,FERNY CREEK,-37.879210,145.334230,10K1D7W,
469.125,MT MACEDON,-37.383441,144.576780,10K1D7W,
422.9625,MOUNT VICTORIA,-37.725164,145.697283,10K1D7W,
423.15,MT TOWT,-38.015589,145.684698,10K1D7W,
423.15,TYNONG,-38.073129,145.653411,10K1D7W,
425.425,MT TOWT,-38.015589,145.684698,10K1D7W,
425.425,TYNONG,-38.073129,145.653411,10K1D7W,
421.65,MT COWLEY,-38.547604,143.859661,10K1D7W,
423.2125,MT COWLEY,-38.547604,143.859661,10K1D7W,
420.575,VIC-WIDE,-36.6535,144.8534,10K1D7W,
420.15,VIC-WIDE,-36.6535,144.8534,10K1D7W,
420.3875,LAKE MOUNTAIN,-37.503930,145.880626,10K1D7W,
421.325,CRANBOURNE,-38.116546,145.272989,10K1D7W,
420.7,ARTHURS SEAT,-38.354435,144.952293,10K1D7W,
421.975,ARTHURS SEAT,-38.354435,144.952293,10K1D7W,
422.3125,KEILOR,-37.738454,144.848590,10K1D7W,
422.65,DONCASTER,-37.786699,145.133062,10K1D7W,
425.7,DONCASTER,-37.786699,145.133062,10K1D7W,
419.1,PARK ORCHARDS,-37.784250,145.200914,10K1D7W,
418.8125,RESEARCH,-37.715053,145.175602,10K1D7W,
469.1375,CAMPBELLFIELD,-37.656439,144.954452,10K1D7W,
469.05,MT ST LEONARD,-37.567537,145.525550,10K1D7W,
468.2625,WHITTLESEA,-37.515570,145.138992,10K1D7W,
423.05,PAKENHAM UPPER,-38.003470,145.499776,10K1D7W,
419.0125,BEACONSFIELD UPPER,-38.016338,145.413224,10K1D7W,
419.3875,BEACONSFIELD UPPER,-38.016338,145.413224,10K1D7W,
425.2625,BEACONSFIELD UPPER,-38.016338,145.413224,10K1D7W,
420.1125,BERWICK,-38.013817,145.347371,10K1D7W,
421.775,MOUNT HELEN,-37.628330,143.885091,10K1D7W,
469.2125,MELBOURNE AIRPORT,-37.669122,144.854732,10K1D7W,
469.225,CAPE SCHANCK,-38.459293,144.909327,10K1D7W,
468.2375,HASTINGS,-38.314330,145.181587,10K1D7W,
469.2625,KINGLAKE,-37.515708,145.316285,10K1D7W,
469.2625,PHEASANT CREEK,-37.482879,145.271049,10K1D7W,
468.7125,MT BLACKWOOD,-37.557265,144.360052,10K1D7W,
469.375,WHITTLESEA,-37.515570,145.138992,10K1D7W,
422.4125,Greensborough,-37.692290,145.093580,10K1D7W,
422.4125,EPPING,-37.648534,145.019274,10K1D7W,
425.2875,EPPING,-37.648534,145.019274,10K1D7W,
425.2875,Greensborough,-37.692290,145.093580,10K1D7W,
467.925,MELBOURNE,-37.813822,144.969482,10K1D7W,
421.775,Werribee,-37.926350,144.646484,10K1D7W,
420.325,OCEAN GROVE,-38.253391,144.538382,10K1D7W,
468.15,MELTON,-37.693199,144.603482,10K1D7W,
468.7375,POINT LEO,-38.403193,145.073469,10K1D7W,
469.4125,FRANKSTON,-38.1505,145.1269,10K1D7W,
469.4125,MT ELIZA,-38.205318,145.097919,10K1D7W,
422.375,MT ELIZA,-38.205318,145.097919,10K1D7W,
422.375,FRANKSTON,-38.1505,145.1269,10K1D7W,
422.975,MT ELIZA,-38.205318,145.097919,10K1D7W,
422.975,FRANKSTON,-38.1505,145.1269,10K1D7W,
421.7125,MELBOURNE,-37.814026,144.951041,10K1D7W,
421.7125,MELBOURNE,-37.818520,144.957141,10K1D7W,
421.7125,MELBOURNE,-37.814922,144.970588,10K1D7W,
421.7125,MELBOURNE,-37.811038,144.962232,10K1D7W,
418.675,MT GREGORY,-37.690370,146.132456,10K1D7W,
420.35,DROUIN,-38.112031,145.898840,10K1D7W,
425.3875,MT MACEDON,-37.383441,144.576780,10K1D7W,
425.9875,MT MACEDON,-37.383441,144.576780,10K1D7W,
422.0,DEER PARK,-37.750191,144.775058,10K1D7W,
425.7,HASTINGS,-38.314330,145.181587,10K1D7W,
420.375,GEELONG,-38.149018,144.355566,10K1D7W,
420.375,WANDANA HEIGHTS,-38.174398,144.298137,10K1D7W,
422.1,WANDANA HEIGHTS,-38.174398,144.298137,10K1D7W,
422.1,GEELONG,-38.149018,144.355566,10K1D7W,
425.3875,POINT LEO,-38.403193,145.073469,10K1D7W,
425.6875,POINT LEO,-38.403193,145.073469,10K1D7W,
421.675,WHITTLESEA,-37.515570,145.138992,10K1D7W,
421.5125,DARLEY,-37.644209,144.410239,10K1D7W,
425.2875,DARLEY,-37.644209,144.410239,10K1D7W,
422.225,MT ANAKIE,-37.886885,144.269360,10K1D7W,
468.025,UPPER BEACONSFIELD,-37.997983,145.428880,10K1D7W,
467.95,BASS HILL,-38.485018,145.545701,10K1D7W,
468.1875,CAMPBELLFIELD,-37.656439,144.954452,10K1D7W,
468.05,PHEASANT CREEK,-37.482879,145.271049,10K1D7W,
468.05,KINGLAKE,-37.515708,145.316285,10K1D7W,
468.0625,LAKE MOUNTAIN,-37.503930,145.880626,10K1D7W,
468.0625,MT ANAKIE,-37.886885,144.269360,10K1D7W,
468.4625,PHILLIP ISLAND,-38.485040,145.258608,10K1D7W,
467.9625,WHITTLESEA,-37.515570,145.138992,10K1D7W,
468.0,PARK ORCHARDS,-37.784250,145.200914,10K1D7W,
421.575,MT COTTRELL,-37.763158,144.621872,10K1D7W,
421.875,MT COTTRELL,-37.763158,144.621872,10K1D7W,
422.9,JAN JUC,-38.338656,144.290453,10K1D7W,
425.35,MELTON,-37.693199,144.603482,10K1D7W,
421.825,CAMPBELLFIELD,-37.656439,144.954452,10K1D7W,
422.8625,UPPER BEACONSFIELD,-37.997983,145.428880,10K1D7W,
425.9375,UPPER BEACONSFIELD,-37.997983,145.428880,10K1D7W,
420.5625,FERNY CREEK,-37.879210,145.334230,10K1D7W,
420.5625,MOUNT DANDENONG,-37.837476,145.346610,10K1D7W,
421.2875,MOUNT DANDENONG,-37.837476,145.346610,10K1D7W,
421.2875,FERNY CREEK,-37.879210,145.334230,10K1D7W,
420.65,DRYSDALE,-38.163411,144.603781,10K1D7W,
421.725,DRYSDALE,-38.163411,144.603781,10K1D7W,
