frequency,location,lat,lon,mode,alphatag
166.0875,MT SHADWELL,-38.055981,142.811751,10K1F9W,
167.9375,SHEPPARTON,-36.380501,145.400265,10K1F9W,
165.9,VIEWPOINT,-36.610823,143.232880,10K1F9W,
165.4625,WARRION,-38.223990,143.529468,10K1F9W,
166.65,CROWES,-38.695759,143.355213,10K1F9W,
165.525,HICKS HILL,-38.034365,141.914682,10K1F9W,
166.5,STRATHMERTON,-35.925856,145.350112,10K1F9W,
166.3125,WYE RIVER,-38.641508,143.893433,10K1F9W,
166.675,MARENGO,-38.780808,143.652909,10K1F9W,
165.4125,TOWER HILL,-38.317198,142.377837,10K1F9W,
167.4875,SHEPPARTON,-36.380501,145.400265,10K1F9W,
167.575,MAINDAMPLE,-37.042907,145.984823,10K1F9W,
167.0125,HUGHES CREEK HILL,-36.869656,145.135737,10K1F9W,
166.5875,PORT CAMPBELL,-38.6022,143.0113,10K1F9W,
166.55,BUNDALONG,-36.035292,146.157750,10K1F9W,
167.4125,NUMURKAH,-36.090591,145.443025,10K1F9W,
166.725,Delacombe,-37.569956,143.799846,10K1F9W,
166.35,CAPE SCHANCK,-38.459293,144.909327,10K1F9W,
168.0125,INVERLOCH,-38.632545,145.725994,10K1F9W,
166.1875,JINGELLIC,-35.932290,147.741914,10K1F9W,
168.1375,WULGULMERANG,-37.012696,148.299388,10K1F9W,
168.0875,JOHNNIES TOP,-36.750078,147.834638,10K1F9W,
165.9125,MT BARANDUDA,-36.2498,146.845728,10K1F9W,
167.325,Timbillica,-37.301790,149.709850,10K1F9W,
165.3125,WARRION,-38.223990,143.529468,10K1F9W,
166.85,Harrow,-37.160677,141.590130,10K1F9W,
167.7125,LOY YANG,-38.251730,146.578380,10K1F9W,
166.2,MOOROOLBARK,-37.762110,145.325869,10K1F9W,
165.9375,MT ST LEONARD,-37.567537,145.525550,10K1F9W,
166.825,MT BENAMBRA,-36.505446,147.574688,10K1F9W,
166.475,MT KERANG,-36.313450,143.552340,10K1F9W,
166.0375,MT WILLIAM,-37.292974,142.601168,10K1F9W,
166.0625,WERRIBEE,-37.9028,144.640468,10K1F9W,
165.375,BENDIGO,-36.758762,144.259830,10K1F9W,
167.4375,MURCHISON,-36.629477,145.211148,10K1F9W,
167.175,OUYEN,-35.071558,142.311870,10K1F9W,
166.8,YARRABY,-35.154457,143.216786,10K1F9W,
164.3125,LANCEFIELD,-37.225831,144.742642,10K1F9W,
165.825,KERANG,-35.733105,143.921415,10K1F9W,
165.3125,COHUNA,-35.820047,144.232958,10K1F9W,
166.925,INGLEWOOD,-36.522860,143.846116,10K1F9W,
165.9,WALPEUP,-35.112269,142.011856,10K1F9W,
165.35,MILDURA,-34.182870,142.161911,10K1F9W,
167.425,KYABRAM,-36.313040,145.045860,10K1F9W,
165.9625,LANCEFIELD,-37.225831,144.742642,10K1F9W,
166.95,DINGEE,-36.371677,144.244980,10K1F9W,
164.7,MOOROOLBARK,-37.762110,145.325869,10K1F9W,
164.6875,BERWICK,-38.013794,145.347698,10K1F9W,
167.1625,FERNY CREEK,-37.879210,145.334230,10K1F9W,
166.8625,FERNY CREEK,-37.879210,145.334230,10K1F9W,
167.2625,MT ELIZA,-38.205229,145.098035,10K1F9W,
165.9625,MT TOORONGO,-37.834897,146.103334,10K1F9W,
166.6875,MT BURRAMBOOT,-36.515369,144.760799,10K1F9W,
166.1,ARARAT,-37.270179,142.891908,10K1F9W,
165.4,MT BEPCHA,-37.207111,142.150872,10K1F9W,
166.35,EDENHOPE EAST,-37.054310,141.386547,10K1F9W,
166.3,KOONDROOK,-35.634355,144.122981,10K1F9W,
165.5,MELBOURNE,-37.814922,144.970588,10K1F9W,
167.9875,RYANSTON,-38.488576,145.551341,10K1F9W,
167.5375,RYANSTON,-38.488576,145.551341,10K1F9W,
167.275,KYABRAM,-36.313040,145.045860,10K1F9W,
165.8125,LANCEFIELD,-37.225831,144.742642,10K1F9W,
166.2625,MARYBOROUGH,-37.074162,143.748788,10K1F9W,
165.225,HICKS HILL,-38.034365,141.914682,10K1F9W,
165.55,MT BEPCHA,-37.207111,142.150872,10K1F9W,
