frequency,location,lat,lon,mode,alphatag
164.6875,WILLIAMS,-33.043112,116.826372,10K1F3E,
78.575,WILLIAMS,-33.043112,116.826372,10K1F3E,
467.95,WEST PERTH,-31.952954,115.844092,10K1F3E,
469.4875,WEST PERTH,-31.952954,115.844092,10K1F3E,
163.3625,BROOME,-17.887309,122.288344,10K1F3E,
78.575,BROOME,-17.887309,122.288344,10K1F3E,
467.5375,WA-WIDE,-23.763154,119.768237,8K10F1E,
468.05,CAPE RANGE,-21.890667,114.047247,10K1F3E,
161.675,POINT D`ENTRECASTEAUX,-34.838479,116.003828,16K0F3E,
78.5625,HYDEN,-32.395882,119.194850,10K1F3E,
162.525,HYDEN,-32.395882,119.194850,10K1F3E,
165.1375,YARLOOP,-32.937624,116.023879,10K1F3E,
78.375,YARLOOP,-32.937624,116.023879,10K1F3E,
78.5125,THREE SPRINGS,-29.543630,115.674137,10K1F3E,
162.525,THREE SPRINGS,-29.543630,115.674137,10K1F3E,
162.3375,WALEBING,-30.6833,116.238149,10K1F3E,
78.425,WALEBING,-30.6833,116.238149,10K1F3E,
164.9625,NORTHAM,-31.682776,116.616741,10K1F3E,
163.5125,BOULDER,-30.845866,121.507854,10K1F3E,
165.1,NOWERGUP,-31.658857,115.775975,10K1F3E,
76.55,BEVERLEY,-32.109296,116.923049,10K1F3E,
76.55,MEEKATHARRA,-26.591247,118.497741,16K0F3E,
76.55,MT MAGNET,-28.063666,117.846197,16K0F3E,
162.25,MUTHAWANDERY SPRING,-30.581222,115.755149,10K1F3E,
164.4,GERALDTON,-28.683059,114.677791,10K1F3E,
467.65,CAPE RANGE,-21.890667,114.047247,10K1F3E,
76.55,CUNDERDIN,-31.650188,117.237736,10K1F3E,
76.55,DALWALLINU,-30.276120,116.660103,10K1F3E,
76.55,DERBY,-17.304131,123.628887,16K0F3E,
161.4125,WA-WIDE,-23.763154,119.768237,10K1F3E,
76.55,KALBARRI,-27.713288,114.165240,10K1F3E,
152.8125,FORRESTFIELD,-31.976052,115.991443,10K1F3E,
153.4375,FORRESTFIELD,-31.976052,115.991443,10K1F3E,
169.0875,FORRESTFIELD,-31.976052,115.991443,10K1F3E,
169.25,FORRESTFIELD,-31.976052,115.991443,10K1F3E,
162.0875,SERPENTINE,-32.372429,116.021758,10K1F3E,
165.15,SERPENTINE,-32.372429,116.021758,10K1F3E,
162.5125,BYFORD,-32.241601,116.027823,10K1F3E,
467.7875,WA-WIDE,-23.763154,119.768237,10K1F3E,
162.1875,TRAYNING,-31.114880,117.791457,10K1F3E,
163.55,LANCELIN,-31.053181,115.4310,10K1F3E,
162.9375,LANCELIN,-31.053181,115.4310,10K1F3E,
162.925,GUILDERTON,-31.311493,115.532341,10K1F3E,
164.025,GUILDERTON,-31.311493,115.532341,10K1F3E,
163.475,GUILDERTON,-31.311493,115.532341,10K1F3E,
162.475,NOWERGUP,-31.658857,115.775975,10K1F3E,
163.2875,HACKETTS GULLY,-31.989068,116.130282,10K1F3E,
78.4375,WALPOLE,-34.960706,116.739521,10K1F3E,
76.55,RAVENSTHORPE,-33.580782,120.045362,16K0F3E,
467.9875,PERTH,-31.953469,115.862073,10K1F3E,
164.5375,YARLOOP,-32.937624,116.023879,10K1F3E,
76.55,COLLIE,-33.356691,116.148092,10K1F3E,
76.55,NORSEMAN,-32.198090,121.781360,16K0F3E,
78.125,MT BURDETT,-33.457591,122.142778,10K1F3E,
78.075,HOWICK HILL,-33.724575,122.751062,10K1F3E,
162.525,LEARMONTH,-22.103160,113.999633,10K1F3E,
163.3625,HALLS CREEK,-18.367066,128.632059,10K1F3E,
78.5625,HALLS CREEK,-18.367066,128.632059,10K1F3E,
161.675,ABROLHOS,-28.717390,113.785918,16K0F3E,
164.4,WIALKI,-30.441113,118.067887,10K1F3E,
78.575,WIALKI,-30.441113,118.067887,10K1F3E,
162.15,MERREDIN,-31.409076,118.272433,10K1F3E,
78.4625,MERREDIN,-31.409076,118.272433,10K1F3E,
78.425,BRUCE ROCK,-31.869866,118.113643,10K1F3E,
162.2625,BRUCE ROCK,-31.869866,118.113643,10K1F3E,
78.05,GLENTULLOCH,-34.041522,116.258263,10K1F3E,
164.4,GLENTULLOCH,-34.041522,116.258263,10K1F3E,
78.865,WA-WIDE,-23.763154,119.768237,16K0F3E,
78.4125,SALMON GUMS,-33.091816,121.594090,10K1F3E,
163.3125,SALMON GUMS,-33.091816,121.594090,10K1F3E,
78.3875,NYABING,-33.493995,118.230910,10K1F3E,
163.0125,NYABING,-33.493995,118.230910,10K1F3E,
162.625,WESTONIA,-31.164883,118.687231,10K1F3E,
78.525,GNOWANGERUP,-33.928279,118.001214,10K1F3E,
78.55,MARGARET RIVER,-34.167552,115.059565,10K1F3E,
162.3375,MARGARET RIVER,-34.167552,115.059565,10K1F3E,
78.4,MUNGLINUP,-33.655709,120.804969,10K1F3E,
163.2125,MUNGLINUP,-33.655709,120.804969,10K1F3E,
162.9125,WALKAWAY,-28.948308,114.7762,10K1F3E,
163.2875,WA-WIDE,-23.763154,119.768237,10K1F3E,
468.05,KUNUNURRA,-15.776515,128.732582,10K1F3E,
163.525,CANNING MILLS,-32.074437,116.082857,10K1F3E,
468.0875,WA-WIDE,-23.763154,119.768237,10K1F3E,
468.0375,BELMONT,-31.940833,115.937222,10K1F3E,
163.975,MOUNT MELVILLE,-35.018050,117.870931,10K1F3E,
78.0875,MOUNT MELVILLE,-35.018050,117.870931,10K1F3E,
161.725,DEEPDENE,-34.285849,115.085757,16K0F3E,
164.225,BALINGUP,-33.773508,115.969530,10K1F3E,
468.05,PORT HEDLAND,-20.311536,118.577918,10K1F3E,
467.8875,NORSEMAN,-32.202659,121.802571,10K1F3E,
469.5875,ESPERANCE,-33.877587,121.890671,10K1F3E,
468.05,BOULDER,-30.845866,121.507854,10K1F3E,
469.5875,BREMER BAY,-34.441431,119.372090,10K1F3E,
469.5875,GNARABUP,-33.986131,115.003762,10K1F3E,
78.4125,BINDOON,-31.382806,116.106795,10K1F3E,
78.4,WEST PERTH,-31.952954,115.844092,10K1F3E,
76.55,WICKHAM,-20.673891,117.141680,16K0F3E,
76.55,WILLIAMS,-33.026308,116.881720,16K0F3E,
76.55,WONGAN HILLS,-30.890959,116.715817,16K0F3E,
78.0625,ESPERANCE,-33.711675,121.429103,10K1F3E,
77.2,GERALDTON,-28.777190,114.602078,10K1F3E,
162.325,WA-WIDE,-23.763154,119.768237,10K1F3E,
163.5625,DERBY,-17.313020,123.655584,10K1F3E,
78.4125,MULLEWA,-28.598194,115.493283,10K1F3E,
162.5875,KULIN,-32.686509,118.913985,10K1F3E,
78.5875,KULIN,-32.686509,118.913985,10K1F3E,
78.5,MUKINBUDIN,-30.965992,118.098825,10K1F3E,
