frequency,location,lat,lon,mode,alphatag
79.85,KELLERBERRIN,-31.630915,117.720116,10K1F3E,
415.375,GIDGEGANNUP,-31.676826,116.184372,10K1F3E,
415.075,PINJARRA,-32.649848,115.989991,10K1F3E,
412.85,CANNING MILLS,-32.074437,116.082857,10K1F3E,
415.275,CARMEL,-32.012667,116.061768,10K1F3E,
78.6875,TAMBELLUP,-34.042994,117.638922,10K1F3E,
79.85,DONGARA,-29.264854,114.933301,10K1F3E,
412.65,PEMBERTON,-34.466448,116.011338,10K1F3E,
164.6,KARRATHA,-20.749047,116.831828,8K10F1E,
79.85,WONGAN HILLS,-30.894405,116.723759,10K1F3E,
79.85,WYNDHAM,-15.477205,128.127608,10K1F3E,
78.7375,HYDEN,-32.423077,119.000306,10K1F3E,
78.7375,WADDINGTON,-30.786319,116.241080,10K1F3E,
78.625,YERRAMIN,-34.209337,116.460466,10K1F3E,
161.675,KUNUNURRA,-15.765081,128.742530,10K1F3E,
78.65,DOWERIN,-31.160160,117.000942,10K1F3E,
78.65,KUNUNURRA,-15.765081,128.742530,10K1F3E,
78.6625,KONDININ,-32.491608,118.547058,10K1F3E,
78.7,REDHILL,-31.829306,116.101815,10K1F3E,
78.7625,KARRATHA,-20.753796,116.795251,10K1F3E,
78.7625,SHOVELANNA,-23.329162,120.021189,10K1F3E,
78.6875,ROELANDS,-33.286133,115.899129,10K1F3E,
78.6875,THREE SPRINGS,-29.543630,115.674137,10K1F3E,
78.7375,WAGIN,-33.314408,117.279268,10K1F3E,
78.675,PINJARRA,-32.636851,116.018526,10K1F3E,
78.725,GNOWANGERUP,-33.929992,118.229950,10K1F3E,
79.85,KUKERIN,-33.188028,118.082822,10K1F3E,
79.85,KULIN,-32.672355,118.153878,10K1F3E,
422.8125,WA-WIDE,-23.763154,119.768237,10K1F3E,
426.2125,WA-WIDE,-23.763154,119.768237,10K1F3E,
79.85,HARVEY,-33.081269,115.899674,10K1F3E,
163.6125,East Carnarvon,-24.869720,113.678410,8K30F1E,
79.85,JURIEN BAY,-30.306349,115.044254,10K1F3E,
79.85,ALBANY,-35.0172,117.893512,10K1F3E,
79.85,CARNARVON,-24.887032,113.658903,10K1F3E,
79.85,DOWERIN,-31.193537,117.044502,10K1F3E,
79.85,GNOWANGERUP,-33.932762,118.004512,10K1F3E,
79.85,JERRAMUNGUP,-33.932469,118.934922,10K1F3E,
162.625,BRIDGETOWN,-33.935796,116.159679,10K1F3E,
79.85,KATANNING,-33.683127,117.563480,10K1F3E,
79.85,KONDININ,-32.489969,118.265959,10K1F3E,
412.65,CENTRAL PARK,-31.953420,115.855619,10K1F3E,
79.85,MUKINBUDIN,-30.907287,118.206453,10K1F3E,
79.85,PEMBERTON,-34.445289,116.031606,10K1F3E,
79.85,THREE SPRINGS,-29.534439,115.759701,10K1F3E,
164.15,BROOME,-17.964225,122.221519,8K10F1E,
415.4,CENTRAL PARK,-31.953420,115.855619,10K1F3E,
412.925,PINJARRA,-32.649848,115.989991,10K1F3E,
415.0125,FREMANTLE,-32.057926,115.751211,10K1F3E,
415.0875,PADBURY,-31.814573,115.771243,10K1F3E,
415.0,REDHILL,-31.829306,116.101815,10K1F3E,
414.9875,ROCKINGHAM,-32.288505,115.745936,10K1F3E,
79.85,WALPOLE,-34.975466,116.730918,10K1F3E,
78.7375,CARNARVON,-24.975345,119.945159,16K0F3E,
78.7375,KELLERBERRIN,-31.622780,117.709847,10K1F3E,
78.65,BOYUP BROOK,-33.857767,116.408584,10K1F3E,
78.6625,DENMARK,-34.966874,117.279208,10K1F3E,
78.6625,WYNDHAM,-15.452150,128.121748,10K1F3E,
78.675,KAMBALDA,-31.195859,121.668510,10K1F3E,
78.7625,YALLINGUP,-33.616281,115.044246,10K1F3E,
78.7125,BEVERLEY,-32.244080,116.8951,10K1F3E,
78.7125,GAIRDNER,-34.234224,118.988970,10K1F3E,
78.7125,GOOMALLING,-31.330776,116.789980,10K1F3E,
79.85,CATABY,-30.752427,115.558642,10K1F3E,
78.7,ESPERANCE,-33.877587,121.890671,10K1F3E,
412.475,MANJIMUP,-34.254814,116.148110,16K0F3E,
468.5,BELMONT,-31.945059,115.921795,10K1F3E,
79.85,DUMBLEYUNG,-33.310501,117.740581,10K1F3E,
163.775,KALGOORLIE,-30.738556,121.478632,8K10F1E,
413.075,BYFORD,-32.218554,116.043253,16K0F1D,
79.85,KUNUNURRA,-15.775422,128.733274,10K1F3E,
79.85,LEINSTER,-27.817522,120.738485,10K1F3E,
79.85,LEONORA,-28.887260,121.330855,10K1F3E,
413.13125,CARMEL,-32.012667,116.061768,16K0F2D,
79.85,MOORA,-30.639734,116.000979,10K1F3E,
79.85,MOUNT BARKER,-34.626191,117.654756,10K1F3E,
415.3875,PADBURY,-31.814573,115.771243,10K1F3E,
415.025,WOOROLOO,-31.801841,116.276874,10K1F3E,
412.875,FREMANTLE,-32.057926,115.751211,10K1F3E,
412.9375,PADBURY,-31.814573,115.771243,10K1F3E,
412.8875,REDHILL,-31.829306,116.101815,10K1F3E,
78.75,MUNGLINUP,-33.703091,120.935497,10K1F3E,
78.7375,WALPOLE,-34.826429,116.788752,10K1F3E,
78.7375,WICKHAM,-20.632696,117.152738,10K1F3E,
78.75,DANDARAGAN,-30.440937,115.386221,10K1F3E,
79.85,GERALDTON,-28.769396,114.625603,10K1F3E,
78.6375,MANJIMUP,-34.235657,115.980485,10K1F3E,
78.65,GINGIN,-31.360911,115.921418,10K1F3E,
78.6625,BRIDGETOWN,-33.935796,116.159679,10K1F3E,
78.75,MORAWA,-29.215706,115.998081,10K1F3E,
78.75,QUAIRADING,-31.895157,117.273285,10K1F3E,
78.7625,BUNJIL,-29.653402,116.362872,10K1F3E,
78.7625,CUNDERDIN,-31.667025,117.231449,10K1F3E,
78.7625,EXMOUTH,-21.816375,114.166224,10K1F3E,
78.725,MARGARET RIVER,-33.934679,115.086445,10K1F3E,
78.675,ONSLOW,-21.652505,115.116942,10K1F3E,
78.7,BRUCE ROCK,-31.882249,118.151536,10K1F3E,
78.7,NARROGIN,-32.940530,117.152860,10K1F3E,
78.7125,KALGOORLIE,-30.738236,121.478376,10K1F3E,
78.725,MERREDIN,-31.433750,118.413693,10K1F3E,
413.35625,WOOROLOO,-31.801841,116.276874,16K0F2D,
164.6,NORSEMAN,-32.202659,121.802571,8K10F1E,
413.20625,QUINNS ROCK,-31.676581,115.704453,16K0F2D,
412.725,WA-WIDE,-23.763154,119.768237,10K1F3E,
413.175,PINJARRA,-32.649848,115.989991,16K0F1D,
79.85,BEVERLEY,-32.102575,116.922662,10K1F3E,
79.85,BODDINGTON,-32.802865,116.475977,10K1F3E,
79.85,BRIDGETOWN,-33.951845,116.131773,10K1F3E,
79.85,BROOME,-17.959218,122.236325,10K1F3E,
79.85,CUE,-27.421836,117.897646,10K1F3E,
79.85,EXMOUTH,-21.928124,114.119416,10K1F3E,
79.85,PORT HEDLAND,-20.401394,118.914068,10K1F3E,
79.85,KALGOORLIE,-30.740849,121.470344,10K1F3E,
164.6,NORTHAM,-31.682216,116.616521,8K10F1E,
164.15,Margaret River,-33.950492,115.069713,8K10F1E,
414.75625,GIDGEGANNUP,-31.676826,116.184372,16K0F2D,
79.85,NORTHAMPTON,-28.351816,114.634458,10K1F3E,
164.6,NEWMAN,-23.355518,119.715186,8K10F1E,
412.8375,QUINNS ROCK,-31.676581,115.704453,10K1F3E,
415.3125,FREMANTLE,-32.057926,115.751211,10K1F3E,
415.375,PINJARRA,-32.649848,115.989991,10K1F3E,
78.75,WILLIAMS,-33.043112,116.826372,10K1F3E,
162.075,WALPOLE,-34.960706,116.739521,10K1F3E,
163.775,YALLINGUP,-33.616281,115.044246,8K10F1E,
78.7625,PEMBERTON,-34.466448,116.011338,10K1F3E,
78.725,TOODYAY,-31.586191,116.498402,10K1F3E,
78.75,CARNARVON,-24.882269,113.710444,10K1F3E,
79.85,YORK,-31.888051,116.756161,10K1F3E,
78.65,CORRIGIN,-32.168341,117.850895,10K1F3E,
78.65,HOWICK HILL,-33.724575,122.751062,10K1F3E,
78.6625,PINGELLY,-32.466490,117.106105,10K1F3E,
78.675,KATANNING,-33.793985,117.521598,10K1F3E,
78.7,AUGUSTA,-34.305835,115.156071,10K1F3E,
78.6875,NORSEMAN,-32.202659,121.802571,10K1F3E,
422.8625,WA-WIDE,-23.763154,119.768237,10K1F3E,
164.725,BRUNSWICK JUNCTION,-33.271039,115.860665,8K30F1E,
79.85,BINDOON,-31.387091,116.099066,10K1F3E,
79.85,GERALDTON,-28.782315,114.611280,10K1F3E,
79.85,GOOMALLING,-31.303965,116.830181,10K1F3E,
79.85,KALGOORLIE,-30.741102,121.468878,10K1F3E,
412.65,CARMEL,-32.012667,116.061768,10K1F3E,
79.85,LAKE GRACE,-33.102077,118.453405,10K1F3E,
413.15,QUINNS ROCK,-31.676581,115.704453,16K0F1D,
79.85,NORTHAM,-31.650096,116.658167,10K1F3E,
79.85,SOUTHERN CROSS,-31.231112,119.337784,10K1F3E,
