frequency,location,lat,lon,mode,alphatag
418.3125,TARDUN,-28.793912,115.749889,12K5F9W,
418.2875,YANGEBUP,-32.126643,115.799378,11K0F3E,
418.375,KALGOORLIE,-30.752920,121.459878,11K0F3E,
418.25,WIDGIEMOOLTHA,-31.460832,121.622237,11K0F3E,
418.2125,CANNA,-28.899763,115.863480,12K5F9W,
418.4125,CUNDERDIN,-31.648056,117.252539,11K0F3E,
418.275,ENEABBA,-29.835670,115.256580,11K0F3E,
166.5,NARROGIN,-32.883187,117.197129,10K1F3E,
166.475,TOODYAY,-31.586419,116.498980,10K1F3E,
418.0125,COOMBERDALE,-30.544827,116.039171,11K0F3E,
417.9625,GILLINGARRA,-30.856255,116.056736,11K0F3E,
418.0125,MILLENDON,-31.762076,116.083840,11K0F3E,
417.9875,GINGIN,-31.328144,115.997675,11K0F3E,
418.1875,MULLEWA,-28.548620,115.500591,12K5F9W,
418.3875,BRUNSWICK,-33.245886,115.844161,11K0F3E,
418.2125,KOOLYANOBBING,-30.817357,119.460146,11K0F3E,
418.3125,KOOLYANOBBING,-30.835898,119.6610,11K0F3E,
418.3125,WALLAROO,-30.873510,120.555976,11K0F3E,
418.3125,NORTHERN GULLY,-28.708866,114.909528,12K5F9W,
418.325,KALGOORLIE,-30.854227,121.474230,11K0F3E,
418.225,SCADDAN,-33.461154,121.734234,11K0F3E,
418.3125,BEELA,-33.231190,115.908747,11K0F3E,
418.3125,WESTONIA,-31.394583,118.676972,11K0F3E,
166.575,GILLINGARRA,-30.856255,116.056736,11K0F3E,
418.4,NORTHAM,-31.649068,116.676208,11K0F3E,
166.475,GINGIN,-31.328144,115.997675,10K1F3E,
166.45,KATANNING,-33.792562,117.516707,10K1F3E,
166.65,MT BARKER,-34.627242,117.708765,10K1F3E,
418.1125,TOODYAY,-31.586419,116.498980,11K0F3E,
418.4625,KWINANA,-32.233470,115.784591,11K0F3E,
418.275,MERREDIN,-31.485171,118.251711,10K1F3E,
418.2125,ERADU,-28.695586,115.042298,12K5F9W,
418.1125,MORAWA,-29.208082,116.010326,12K5F9W,
418.4,BOWGADA,-29.406266,116.225715,12K5F9W,
418.4875,SOUTH TAMMIN,-31.653312,117.616093,11K0F3E,
418.2625,TOODYAY,-31.586419,116.498980,11K0F3E,
418.3875,NARNGULU,-28.812158,114.687713,11K0F3E,
169.0,WA-WIDE,-23.763154,119.768237,10K1F3E,
166.55,ENEABBA,-29.835670,115.256580,10K1F3E,
418.1875,MERREDIN,-31.485171,118.251711,11K0F3E,
166.65,YORK,-31.850528,116.760963,10K1F3E,
418.1875,BULLSBROOK,-31.655190,116.171483,11K0F3E,
418.275,KALGOORLIE,-30.752920,121.459878,11K0F3E,
418.3875,FORRESTFIELD,-31.954522,115.990733,11K0F3E,
418.1875,NARNGULU,-28.812158,114.687713,12K5F9W,
418.1125,STEWART,-30.913221,120.809180,11K0F3E,
418.3375,MARTIN,-32.093391,116.053526,11K0F3E,
418.225,KAMBALDA,-31.186605,121.624515,11K0F3E,
418.375,SALMON GUMS,-32.981678,121.646393,11K0F3E,
418.1125,MOUNT MELVILLE,-35.017898,117.870820,11K0F3E,
418.1125,WAGIN,-33.314408,117.279268,11K0F3E,
418.3125,MT BARKER,-34.627242,117.708765,11K0F3E,
418.1875,KATANNING,-33.792562,117.516707,11K0F3E,
418.2125,CRANBROOK,-34.300720,117.594625,11K0F3E,
418.1125,NOONGAR,-31.358483,118.965412,11K0F3E,
418.4375,KALGOORLIE,-30.752920,121.459878,11K0F3E,
418.2125,BURRACOPPIN,-31.388889,118.477042,11K0F3E,
166.625,COOMBERDALE,-30.544827,116.039171,10K1F3E,
418.4875,KEYSBROOK,-32.442867,115.976819,11K0F3E,
418.2875,COLLIE,-33.354735,116.139244,11K0F3E,
418.1875,JAURDI,-30.842094,120.206612,11K0F3E,
418.1875,COOLGARDIE,-30.841001,121.152688,11K0F3E,
418.1125,KOOLYANOBBING,-30.845329,119.854934,11K0F3E,
418.1125,GERALDTON,-28.784840,114.594868,12K5F9W,
418.4,PINDAR,-28.658470,115.662699,12K5F9W,
418.4125,PINTHARUKA,-29.093719,115.980892,12K5F9W,
418.4625,MERREDIN,-31.485171,118.251711,11K0F3E,
418.425,MANMANNING,-30.847467,117.098722,11K0F3E,
166.475,MANMANNING,-30.847467,117.098722,10K1F3E,
166.575,BURAKIN,-30.524088,117.172490,10K1F3E,
418.4,MARTIN,-32.093391,116.053526,11K0F3E,
166.65,WAGIN,-33.314408,117.279268,10K1F3E,
418.2125,MILLENDON,-31.762076,116.083840,11K0F3E,
418.2875,PICTON JUNCTION,-33.346565,115.711032,11K0F3E,
418.4875,TOODYAY,-31.586419,116.498980,11K0F3E,
418.4,KOJARENA,-28.723718,114.864553,12K5F9W,
418.1125,MARTIN,-32.093391,116.053526,11K0F3E,
418.25,NORSEMAN,-32.590394,121.580275,11K0F3E,
418.375,ESPERANCE,-33.869582,121.882128,11K0F3E,
418.1875,SOUTHERN CROSS,-31.213836,119.311867,11K0F3E,
418.375,NARROGIN,-32.883187,117.197129,11K0F3E,
418.325,WAGIN,-33.314408,117.279268,11K0F3E,
418.25,PINGELLY,-32.478917,117.121749,11K0F3E,
418.325,TOODYAY,-31.586419,116.498980,11K0F3E,
418.225,YORK,-31.850528,116.760963,11K0F3E,
418.4625,NORTHAM,-31.635166,116.894758,11K0F3E,
418.225,COOROW,-29.882490,116.020754,11K0F3E,
418.35,BURAKIN,-30.524088,117.172490,11K0F3E,
166.575,GOOMALLING,-31.298295,116.826818,10K1F3E,
166.5,AMERY,-31.150655,117.086972,10K1F3E,
418.4125,YANGEBUP,-32.126643,115.799378,11K0F3E,
418.1875,BOWGADA,-29.312579,116.138882,12K5F9W,
418.1125,TENINDEWA,-28.617978,115.374556,12K5F9W,
418.225,NORSEMAN,-32.185008,121.781676,11K0F3E,
418.375,HIGGINSVILLE,-31.754531,121.711353,11K0F3E,
418.3375,WORSLEY,-33.291903,116.013906,11K0F3E,
166.6,COOROW,-29.882490,116.020754,10K1F3E,
418.1,LEONORA,-28.885947,121.365123,11K0F3E,
418.35,TOODYAY,-31.586419,116.498980,11K0F3E,
418.45,GOOMALLING,-31.283262,116.852511,11K0F3E,
166.45,MOUNT MELVILLE,-35.017898,117.870820,10K1F3E,
418.275,NORTHAM,-31.641452,116.631305,10K1F3E,
450.05,WA-WIDE,-23.763154,119.768237,10K1F3E,
418.2125,KALGOORLIE,-30.752920,121.459878,11K0F3E,
