frequency,location,lat,lon,mode,alphatag
412.0,FORRESTFIELD,-31.957755,115.989038,10K1F3E,
411.75,COLLIE,-33.362607,116.239827,10K1F3E,
411.975,NORTHAM,-31.641452,116.631305,10K1F3E,
412.25,FORRESTFIELD,-31.957755,115.989038,10K1F3E,
412.45,GERALDTON,-28.778038,114.599038,10K1F3E,
411.9,FORRESTFIELD,-31.953451,115.990027,10K1F3E,
411.75,ESPERANCE,-33.853701,121.882106,10K1F3E,
412.025,MUCHEA,-31.533750,115.965490,10K1F3E,
411.9,BUNBURY,-33.314559,115.665097,10K1F3E,
412.025,FORRESTFIELD,-31.957755,115.989038,10K1F3E,
412.25,NAVAL BASE,-32.186126,115.777668,10K1F3E,
411.975,WAGERUP,-32.919051,115.910306,10K1F3E,
412.025,KOOLYANOBBING,-30.815054,119.537419,10K1F3E,
412.0,BUNBURY,-33.323943,115.657165,10K1F3E,
411.975,NARNGULU,-28.812158,114.687713,10K1F3E,
412.025,NORTHAM,-31.641452,116.631305,10K1F3E,
412.45,NORTHAM,-31.641452,116.631305,10K1F3E,
411.75,FORRESTFIELD,-31.953451,115.990027,10K1F3E,
412.025,KWINANA,-32.216196,115.771589,10K1F3E,
411.75,KWINANA,-32.203144,115.781048,10K1F3E,
412.45,PINJARRA,-32.649547,115.943486,10K1F3E,
