frequency,location,lat,lon,mode,alphatag
118.1,COOMA,-36.1802,148.5826,6K00A3E,YCOM CTAF
118.8,BACHUSS MARSH,-37.44,144.252,6K00A3E,YBSS CTAF
119,DENILLIQUIN,-35.3334,144.5647,6K00A3E,YDLQ CTAF
119,TORQUAY,-38.18,144.2154,6K00A3E,YTQY CTAF
119.1,SWAN HILL,-35.2233,143.3158,6K00A3E,YSWH CTAF
119.1,ECHUCA,-36.0926,144.4543,6K00A3E,YECH CTAF
119.1,WANGARATTA,-36.2457,146.1825,6K00A3E,YWGT CTAF
119.3,BENDIGO,-36.4421,144.1947,6K00A3E,YBDG CTAF
120.8,SYDNEY,-33.9497,151.1813,6K00A3E,VICTOR 1
121.1,MANGALORE,-36.5318,145.1103,6K00A3E,YMNG CTAF
122.65,CESSNOCK,-32.4715,151.203,6K00A3E,YCNK CTAF
125.6,BENALLA,-36.3315,146.0033,6K00A3E,YBLA CTAF
126.15,TEMORA,-34.2517,147.3042,6K00A3E,YTEM CTAF
126.2,POINT COOK,-37.5556,144.4512,6K00A3E,YMPC CTAF
126.55,GRIFFITH,-34.1503,146.0402,6K00A3E,YGTH CTAF
126.7,NATIONAL,0.0,0.0,6K00A3E,CTAF
126.95,WAGGA WAGGA,-35.0955,147.2759,6K00A3E,YSWG CTAF
127.15,GOULBURN,-34.800996,149.717663,6K00A3E,YGLB CTAF
127.35,BATHURST,-33.2434,149.3907,6K00A3E,YBTH CTAF
127.5,ARMIDALE,-30.3141,151.3702,6K00A3E,YARM CTAF
127.65,LETHBRIDGE,-37.5508,144.0604,6K00A3E,YLED CTAF
127.75,BALLARAT,-37.3042,143.4728,6K00A3E,YBLT CTAF
132.05,MORUYA,-35.898329,150.144999,6K00A3E,YMRY CTAF
132.45,CASINO,-28.5258,153.0401,6K00A3E,YCAS CTAF
132.85,NARRANDERA,-34.4208,146.3044,6K00A3E,YNAR CTAF
134,DUBBO,-32.2198,148.5687,6K00A3E,YSDU CTAF
122.5,NATIONAL,0.0,0.0,6K00A3E,GLIDING
122.7,NATIONAL,0.0,0.0,6K00A3E,GLIDING
122.9,NATIONAL,0.0,0.0,6K00A3E,GLIDING
123.45,NATIONAL,0.0,0.0,6K00A3E,AIR-TO-AIR
