frequency,location,lat,lon,mode,alphatag
120.65,CANBERRA,-35.304165,149.190332,6K00A3E,ACT ESA
124.25,CANBERRA,-35.304165,149.190332,6K00A3E,ACT ESA
126.4,CANBERRA,-35.304165,149.190332,6K00A3E,CORP AIR
129.15,CANBERRA,-35.304165,149.190332,6K00A3E,ACT ESA
129.5,CANBERRA,-35.304165,149.190332,6K00A3E,QANTAS
129.65,CANBERRA,-35.304165,149.190332,6K00A3E,34 SQN
130.55,STATEWIDE,0.0,0.0,6K00A3E,RFS VLAT OPS
131.775,CANBERRA,-35.304165,149.190332,6K00A3E,STAR AVIATION
132.75,STATEWIDE,0.0,0.0,6K00A3E,Air Ambulance
136.025,NOWRA,-34.936979,150.571649,6K00A3E,Eagle Ops
238.8,STATEWIDE,0.0,0.0,6K00A3E,3SQN F35
253.6,STATEWIDE,0.0,0.0,6K00A3E,2OCU F35
254.8,STATEWIDE,0.0,0.0,6K00A3E,2OCU F35
261.7,RICHMOND,-33.60049,150.767141,6K00A3E,RICCOM
279.8,STATEWIDE,0.0,0.0,6K00A3E,1SQN F18
282.5,STATEWIDE,0.0,0.0,6K00A3E,2OCU F35
282.8,STATEWIDE,0.0,0.0,6K00A3E,SAR
288.6,STATEWIDE,0.0,0.0,6K00A3E,3SQN F35
296.3,NOWRA,-34.936979,150.571649,6K00A3E,Nowra Training
301.5,STATEWIDE,0.0,0.0,6K00A3E,AAR PRIMARY
315.0,STATEWIDE,0.0,0.0,6K00A3E,1SQN FA18
316.2,STATEWIDE,0.0,0.0,6K00A3E,1SQN FA18
320.5,STATEWIDE,0.0,0.0,6K00A3E,1SQN FA18
324.4,STATEWIDE,0.0,0.0,6K00A3E,3SQN F35
328.0,STATEWIDE,0.0,0.0,6K00A3E,Taipan Air-Air
335.8,STATEWIDE,0.0,0.0,6K00A3E,ROULETTES
336.0,STATEWIDE,0.0,0.0,6K00A3E,2OCU F35
344.1,STATEWIDE,0.0,0.0,6K00A3E,1SQN FA18
350.5,STATEWIDE,0.0,0.0,6K00A3E,Seahawks
362.8,STATEWIDE,0.0,0.0,6K00A3E,1SQN FA18
363.0,STATEWIDE,0.0,0.0,6K00A3E,UNID
375.4,STATEWIDE,0.0,0.0,6K00A3E,ROULETTES
376.6,STATEWIDE,0.0,0.0,6K00A3E,3SQN F35
