frequency,location,lat,lon,mode,alphatag
43.55,OAKEY,-27.412658,151.735004,6K00A3E,OK APP/TWR
118.3,EDINBURGH,-34.706283,138.630241,6K00A3E,ED TWR
119.45,TOWNSVILLE,-19.189145,146.764722,6K00A3E,TL SMCV
119.55,DARWIN,-12.409831,130.874337,6K00A3E,DN SMCV
120.3,EVANS HEAD,-29.195636,153.387738,6K00A3E,EVD RANGE
121.65,RICHMOND,-33.60049,150.767141,6K00A3E,RI SMCV
121.925,AMBERLY,-27.649507,152.720715,6K00A3E,AM SMCV
123.3,EVANS HEAD,-29.195636,153.387738,6K00A3E,EVD RANGE
123.5,NOWRA,-34.936979,150.571649,6K00A3E,NW APP
125.2,DARWIN,-12.409831,130.874337,6K00A3E,DN APP E
126.25,EDINBURGH,-34.706283,138.630241,6K00A3E,ED ATIS
126.8,TOWNSVILLE,-19.189145,146.764722,6K00A3E,TL APP
128.1,TINDAL,-14.513776,132.44294,6K00A3E,TN ACD
128.1,TOWNSVILLE,-19.189145,146.764722,6K00A3E,TL ACD
130.35,WILLIAMTOWN,-32.793008,151.837614,6K00A3E,WM ACD
133.1,DARWIN,-12.409831,130.874337,6K00A3E,DN TWR
133.3,WILLIAMTOWN,-32.793008,151.837614,6K00A3E,WM ACC
133.35,OAKEY,-27.412658,151.735004,6K00A3E,OK ACD
133.5,TOWNSVILLE,-19.189145,146.764722,6K00A3E,TL ATIS
133.6,EAST SALE,-38.111267,147.157376,6K00A3E,ES ACD
134.45,WILLIAMTOWN,-32.793008,151.837614,6K00A3E,WM ATIS
134.6,AMBERLY,-27.649507,152.720715,6K00A3E,AM ACD
136.4,PEARCE,-31.651547,116.018078,6K00A3E,PEA ATIS
230.5,OAKEY,-27.412658,151.735004,6K00A3E,OK FINAL
236.1,TOWNSVILLE,-19.189145,146.764722,6K00A3E,TL ACD
237.3,DARWIN,-12.409831,130.874337,6K00A3E,DN ACD
241.2,TINDAL,-14.513776,132.44294,6K00A3E,TN ACD
243,NATIONAL,0.0,0.0,6K00A3E,MIL GUARD
254.7,TINDAL,-14.513776,132.44294,6K00A3E,TN TRAFFIC
257.3,RICHMOND,-33.60049,150.767141,6K00A3E,RI TWR
257.3,TINDAL,-14.513776,132.44294,6K00A3E,TN TWR
257.8,CURTIN,-17.586607,123.828598,6K00A3E,CIN TWR
257.8,DARWIN,-12.409831,130.874337,6K00A3E,DN TWR
257.8,EAST SALE,-38.111267,147.157376,6K00A3E,ES TWR
257.8,EDINBURGH,-34.706283,138.630241,6K00A3E,ED TWR
257.8,LEARMONTH,-22.232403,114.084244,6K00A3E,LM TWR
257.8,PEARCE,-31.651547,116.018078,6K00A3E,PEA TWR
257.8,TOWNSVILLE,-19.189145,146.764722,6K00A3E,TL TWR
257.8,WOOMERA,-31.196598,136.8164,6K00A3E,WR TWR
