frequency,location,lat,lon,mode,alphatag
161.150,NSW-WIDE,-31.9737,147.7538,10K1F9W,FIREGROUND 1
161.0625,NSW-WIDE,-31.9737,147.7538,10K1F9W,FIREGROUND 2
161.075,NSW-WIDE,-31.9737,147.7538,10K1F9W,FIREGROUND 3
161.1125,NSW-WIDE,-31.9737,147.7538,10K1F9W,FIREGROUND 4
161.0875,NSW-WIDE,-31.9737,147.7538,10K1F9W,FIREGROUND 5
161.0375,NSW-WIDE,-31.9737,147.7538,10K1F9W,FIREGROUND 6
161.0125,NSW-WIDE,-31.9737,147.7538,10K1F9W,FIREGROUND 7
161.05,NSW-WIDE,-31.9737,147.7538,10K1F9W,FIREGROUND 8
161.1875,NSW-WIDE,-31.9737,147.7538,10K1F9W,FIREGROUND 9
161.2125,NSW-WIDE,-31.9737,147.7538,10K1F9W,FIREGROUND 10
161.2250,NSW-WIDE,-31.9737,147.7538,10K1F9W,FIREGROUND 11
161.2375,NSW-WIDE,-31.9737,147.7538,10K1F9W,FIREGROUND 12
161.25,NSW-WIDE,-31.9737,147.7538,10K1F9W,FIREGROUND 13
161.3375,NSW-WIDE,-31.9737,147.7538,10K1F9W,FIREGROUND 14
161.3625,NSW-WIDE,-31.9737,147.7538,10K1F9W,FIREGROUND 15
161.375,NSW-WIDE,-31.9737,147.7538,10K1F9W,FIREGROUND 16
161.3875,NSW-WIDE,-31.9737,147.7538,10K1F9W,FIREGROUND 17
161.4125,NSW-WIDE,-31.9737,147.7538,10K1F9W,FIREGROUND 18
161.45,NSW-WIDE,-31.9737,147.7538,10K1F9W,FIREGROUND 19
161.4625,NSW-WIDE,-31.9737,147.7538,10K1F9W,FIREGROUND 20
163.125,NSW-WIDE,-31.9737,147.7538,10K1F9W,REPEATER 1
163.3875,NSW-WIDE,-31.9737,147.7538,10K1F9W,REPEATER 2
163.4125,NSW-WIDE,-31.9737,147.7538,10K1F9W,REPEATER 3
163.55,NSW-WIDE,-31.9737,147.7538,10K1F9W,REPEATER 4
