frequency,location,lat,lon,mode,alphatag
119.1,LAVINGTON,-36.039368,146.964066,6K00A3E,
119.1,BOURKE,-30.089831,145.936989,6K00A3E,
119.1,DUBBO,-32.252573,148.614667,6K00A3E,
119.1,GUNNEDAH,-30.976483,150.233245,6K00A3E,
119.1,WAGGA WAGGA,-35.129465,147.330507,6K00A3E,
119.1,MOREE,-29.485077,149.838557,6K00A3E,
119.1,TAREE,-31.899742,152.458159,6K00A3E,
119.1,GOULBURN,-34.760153,149.703759,6K00A3E,
119.1,WOLLONGONG,-34.434517,150.887567,6K00A3E,
119.1,CASINO,-28.879757,153.051636,6K00A3E,
119.1,GOONELLABAH,-28.822032,153.347706,6K00A3E,
119.1,FORBES,-33.350604,148.008795,6K00A3E,
119.1,SINGLETON,-32.564146,151.177070,6K00A3E,
