frequency,location,lat,lon,mode,alphatag
156.025,NATIONWIDE,-27.84,133.21,10K1F9W,60(Land) Public Correspondence
160.625,NATIONWIDE,-27.84,133.21,10K1F9W,60(Ship) Public Correspondence
156.05,NATIONWIDE,-27.84,133.21,10K1F9W,1(Land) Public Correspondence
160.65,NATIONWIDE,-27.84,133.21,10K1F9W,1(Ship) Public Correspondence
156.075,NATIONWIDE,-27.84,133.21,10K1F9W,61(Land) Public Correspondence
160.675,NATIONWIDE,-27.84,133.21,10K1F9W,61(Ship) Public Correspondence
156.1,NATIONWIDE,-27.84,133.21,10K1F9W,2(Land) Public Correspondence
160.7,NATIONWIDE,-27.84,133.21,10K1F9W,2(Ship) Public Correspondence
156.125,NATIONWIDE,-27.84,133.21,10K1F9W,62(Land) Public Correspondence
160.725,NATIONWIDE,-27.84,133.21,10K1F9W,62(Ship) Public Correspondence
156.15,NATIONWIDE,-27.84,133.21,10K1F9W,3(Land) Public Correspondence
160.75,NATIONWIDE,-27.84,133.21,10K1F9W,3(Ship) Public Correspondence
156.175,NATIONWIDE,-27.84,133.21,10K1F9W,63(Land) Public Correspondence
160.775,NATIONWIDE,-27.84,133.21,10K1F9W,63(Ship) Public Correspondence
156.2,NATIONWIDE,-27.84,133.21,10K1F9W,4(Land) Public Correspondence
160.8,NATIONWIDE,-27.84,133.21,10K1F9W,4(Ship) Public Correspondence
156.225,NATIONWIDE,-27.84,133.21,10K1F9W,64(Land) Port Operations
160.825,NATIONWIDE,-27.84,133.21,10K1F9W,64(Ship) Port Operations
156.25,NATIONWIDE,-27.84,133.21,10K1F9W,5(Land) Public Correspondence
160.85,NATIONWIDE,-27.84,133.21,10K1F9W,5(Ship) Public Correspondence
156.275,NATIONWIDE,-27.84,133.21,10K1F9W,65(Land) Port Operations
160.875,NATIONWIDE,-27.84,133.21,10K1F9W,65(Ship) Port Operations
156.3,NATIONWIDE,-27.84,133.21,10K1F9W,6 Search and Rescue
156.325,NATIONWIDE,-27.84,133.21,10K1F9W,66(Land) Public Correspondence
160.925,NATIONWIDE,-27.84,133.21,10K1F9W,66(Ship) Public Correspondence
156.35,NATIONWIDE,-27.84,133.21,10K1F9W,7(Land) Public Correspondence
160.95,NATIONWIDE,-27.84,133.21,10K1F9W,7(Ship) Public Correspondence
156.375,NATIONWIDE,-27.84,133.21,10K1F9W,67 Distress urgency and Safety
156.4,NATIONWIDE,-27.84,133.21,10K1F9W,8 Port Operations
156.425,NATIONWIDE,-27.84,133.21,10K1F9W,68 Port Operations
156.45,NATIONWIDE,-27.84,133.21,10K1F9W,9 Port Operations
